uid,gid,cluster,size,seq,series,begin,end,id,book,tagged-text-ms,citation,cited_text
-5256449673487321301,-7811795109226784162,257698246077,3,1,Shamela0010710-ara1,518,945,Shamela0010710,0845Maqrizi.Rasail,8,f,f
2272027381099701341,-1855744953177641780,257698246077,3,8,Kraken210223142017-ara1,1348,1706,Kraken210223142017,0845Maqrizi.IghathaUmma,8,f,f
6937923639037322124,212890323489874678,8589935026,3,196,Shamela0012724-ara1.mARkdown,1061,1295,Shamela0012724,0852IbnHajarCasqalani.RafcIsr,8,f,f
2272027381099701341,-1855744953177641780,8589935026,3,8,Kraken210223142017-ara1,452,655,Kraken210223142017,0845Maqrizi.IghathaUmma,8,f,f
4844634165817767022,-7230665666601262348,111669175565,2,4,Shia003616Vols-ara1,543,774,Shia003616Vols,0845Maqrizi.ImtacAsmac,9,f,f
313413081782167746,-1855744953177641780,111669175565,2,9,Kraken210223142017-ara1,1147,1352,Kraken210223142017,0845Maqrizi.IghathaUmma,9,f,f
-1258709792187386160,-7230665666601262348,85899459181,2,5,Shia003616Vols-ara1,30,972,Shia003616Vols,0845Maqrizi.ImtacAsmac,10,f,f
-3633655425049452070,-1855744953177641780,85899459181,2,10,Kraken210223142017-ara1,788,1716,Kraken210223142017,0845Maqrizi.IghathaUmma,10,f,f
-1258709792187386160,-7230665666601262348,85899459182,2,5,Shia003616Vols-ara1,958,1834,Shia003616Vols,0845Maqrizi.ImtacAsmac,11,f,f
-3961151277284893870,-1855744953177641780,85899459182,2,11,Kraken210223142017-ara1,173,1079,Kraken210223142017,0845Maqrizi.IghathaUmma,11,f,f
-1236404844510236697,-1855744953177641780,257698120024,2,13,Kraken210223142017-ara1,722,875,Kraken210223142017,0845Maqrizi.IghathaUmma,13,f,f
-4723132473842411588,-7811795109226784162,85899453529,2,111,Shamela0010710-ara1,172,398,Shamela0010710,0845Maqrizi.Rasail,26,f,f
-7405432079044060467,-1855744953177641780,85899453529,2,26,Kraken210223142017-ara1,1075,1505,Kraken210223142017,0845Maqrizi.IghathaUmma,26,f,f
2609704608991713363,7233169600613410270,29103,199,1507,Shamela0023591-ara1.completed,71,1248,Shamela0023591,0745AbuHayyanGharnati.TafsirBahrMuhit,35,f,f
5466816556875887561,-1046024312310611920,29103,199,8476,Shamela0007289-ara1,1178,1574,Shamela0007289,0728IbnTaymiyya.MajmucFatawa,35,f,f
-5649525439825001856,136844116349508785,29103,199,84,JK007018-ara1,998,1504,JK007018,0660SultanCulamaCizzDinDimashqi.TafsirQuran,35,f,f
-1165910927724238965,136844116349508785,29103,199,85,JK007018-ara1,1,493,JK007018,0660SultanCulamaCizzDinDimashqi.TafsirQuran,35,f,f
-1165910927724238965,136844116349508785,29103,199,85,JK007018-ara1,1138,1567,JK007018,0660SultanCulamaCizzDinDimashqi.TafsirQuran,35,f,f
-4925784902007574735,-105464243037796122,29103,199,731,Shia002341Vols-ara1,827,1209,Shia002341Vols,0460ShaykhTusi.Tibyan,35,f,f
-6671158319313903633,-105464243037796122,29103,199,724,Shia002341Vols-ara1,1,1246,Shia002341Vols,0460ShaykhTusi.Tibyan,35,f,f
917864086690514487,2339727311156726948,29103,199,92,Sham19Y0018159-ara1,1316,1519,Sham19Y0018159,0751IbnQayyimJawziyya.TuruqHukmiyya,35,f,f
6405271760182404279,2843358340057833860,29103,199,935,Shamela0023613-ara1,1,688,Shamela0023613,0730NizamDinNaysaburi.GharaibQuran,35,f,f
-3034158947843666781,3149530288958082284,29103,199,130,Shamela0023606-ara1,1,654,Shamela0023606,0751IbnQayyimJawziyya.TafsirQuran,35,f,f
-3754486903562988485,7112032055995250684,29103,199,8357,Shamela0005756-ara1.completed,1,763,Shamela0005756,0855BadrDinCayni.CumdatQari,35,f,f
7277054770919719283,6336257935130615120,29103,199,505,Shamela0023578-ara1.completed,357,1521,Shamela0023578,0427AbuIshaqThaclabi.KashfWaBayan,35,f,f
3337607385132122218,6336257935130615120,29103,199,512,Shamela0023578-ara1.completed,827,1539,Shamela0023578,0427AbuIshaqThaclabi.KashfWaBayan,35,f,f
8467652517535505219,-1833309162274341300,29103,199,215,JK000917-ara1.completed,505,1545,JK000917,0543IbnCarabiIshbili.AhkamQuran,35,f,f
-7913518396558428708,-2887463091581347669,29103,199,177,JK006476-ara1,323,817,JK006476,0489IbnMuhammadSamcani.TafsirQuran,35,f,f
5616116047238808717,-2887463091581347669,29103,199,178,JK006476-ara1,1,235,JK006476,0489IbnMuhammadSamcani.TafsirQuran,35,f,f
-2623722749054386708,-7466559807426079585,29103,199,354,Zaydiyya0000064-ara1,104,817,Zaydiyya0000064,0298HadiIlaHaqqYahya.AhkamFiHalalWaHaram,35,f,f
-1923727754176623371,1533445134418962482,29103,199,429,Shamela0023628-ara1.completed,96,1490,Shamela0023628,0741KhazinBaghdadi.LubabTawil,35,f,f
-547272844832708642,1533445134418962482,29103,199,435,Shamela0023628-ara1.completed,591,1562,Shamela0023628,0741KhazinBaghdadi.LubabTawil,35,f,f
-4100716953488691144,3444048116613325864,29103,199,3092,Sham19Y0037618-ara1,1280,1485,Sham19Y0037618,0852IbnHajarCasqalani.MatalibCaliyya,35,f,f
-4775062150761742669,3444048116613325864,29103,199,3093,Sham19Y0037618-ara1,1,237,Sham19Y0037618,0852IbnHajarCasqalani.MatalibCaliyya,35,f,f
434804048950882641,-3828321945575048363,29103,199,376,Shamela0000041-ara1.completed,1,500,Shamela0000041,0510IbnMascudBaghawi.Tafsir,35,f,f
3525414197362349161,-3828321945575048363,29103,199,375,Shamela0000041-ara1.completed,156,380,Shamela0000041,0510IbnMascudBaghawi.Tafsir,35,f,f
-1431227865919197895,-3828321945575048363,29103,199,371,Shamela0000041-ara1.completed,1,1055,Shamela0000041,0510IbnMascudBaghawi.Tafsir,35,f,f
6607511278114412344,-4945071420828014136,29103,199,1811,Shamela0007798-ara1.inProgress,1197,1517,Shamela0007798,0310Tabari.JamicBayan,35,f,f
8915924348535621842,-4945071420828014136,29103,199,1842,Shamela0007798-ara1.inProgress,108,528,Shamela0007798,0310Tabari.JamicBayan,35,f,f
-647719496116062273,-4945071420828014136,29103,199,1812,Shamela0007798-ara1.inProgress,1,535,Shamela0007798,0310Tabari.JamicBayan,35,f,f
4027204169057671659,-4945071420828014136,29103,199,1818,Shamela0007798-ara1.inProgress,760,1099,Shamela0007798,0310Tabari.JamicBayan,35,f,f
-7113375225448189569,-2541181688625632309,29103,199,1718,JK009266-ara1,484,1410,JK009266,0800IbnCadilHanbali.LubabFiCulumKitab,35,f,f
867761461458016182,-2541181688625632309,29103,199,1690,JK009266-ara1,241,866,JK009266,0800IbnCadilHanbali.LubabFiCulumKitab,35,f,f
4226445872227823303,-2541181688625632309,29103,199,1689,JK009266-ara1,373,1174,JK009266,0800IbnCadilHanbali.LubabFiCulumKitab,35,f,f
3112969017475559545,-7232494376641847335,29103,199,1215,Shia002616Vols-ara1,676,1552,Shia002616Vols,0671AbuCabdAllahQurtubi.JamicLiAhkamQuran,35,f,f
2552838491297920114,-7232494376641847335,29103,199,1245,Shia002616Vols-ara1,1181,1562,Shia002616Vols,0671AbuCabdAllahQurtubi.JamicLiAhkamQuran,35,f,f
4813947221406538502,7171600287582588491,29103,199,62,JK000865-ara1,341,751,JK000865,0817MajdDinFiruzabadi.TanwirMiqbas,35,f,f
-3305403021538324037,6130368230293588214,29103,199,954,Sham19Y0020891-ara1,103,1322,Sham19Y0020891,0743SharafDinTibi.FutuhGhayb,35,f,f
7846148950594030766,6130368230293588214,29103,199,953,Sham19Y0020891-ara1,584,1282,Sham19Y0020891,0743SharafDinTibi.FutuhGhayb,35,f,f
4321537839130542004,-7103452367054795053,29103,199,189,Shamela0001394-ara1,1060,1595,Shamela0001394,0710IbnAhmadHafizDinNasafi.Tafsir,35,f,f
6256202737727784852,-7103452367054795053,29103,199,186,Shamela0001394-ara1,761,1532,Shamela0001394,0710IbnAhmadHafizDinNasafi.Tafsir,35,f,f
-2627919639193650214,-7103452367054795053,29103,199,187,Shamela0001394-ara1,1,966,Shamela0001394,0710IbnAhmadHafizDinNasafi.Tafsir,35,f,f
-7175576467302943673,-346789708134051998,29103,199,307,Tafsir02091-ara1,25,317,Tafsir02091,0360Tabarani.TafsirKabir,35,f,f
-4312140775629587906,4964885852090605611,29103,199,2030,Shamela0023635-ara1,481,1408,Shamela0023635,0606FakhrDinRazi.MafatihGhayb,35,f,f
