uid,gid,cluster,size,seq,series,begin,end,id,book,tagged-text-ms,citation,cited_text
-8616724283774152688,3848509968093163541,146028998485,2,971,Shamela0009429-ara1.mARkdown,1062,1356,Shamela0009429,0821Qalqashandi.SubhAcsha,62,f,f
-907236939920266976,-1855744953177641780,146028998485,2,62,Kraken210223142017-ara1,506,1141,Kraken210223142017,0845Maqrizi.IghathaUmma,62,f,f
3684825539145740208,-1855744953177641780,77309526968,3,68,Kraken210223142017-ara1,981,1164,Kraken210223142017,0845Maqrizi.IghathaUmma,68,f,f
5409294365080220669,-3654492682322209607,42949842141,2,231,Shamela0011566-ara1.completed,1,127,Shamela0011566,0845Maqrizi.Mawaciz,68,f,f
3684825539145740208,-1855744953177641780,42949842141,2,68,Kraken210223142017-ara1,509,635,Kraken210223142017,0845Maqrizi.IghathaUmma,68,f,f
-8168118940311169599,-2724963764368320069,17179948418,3,330,Shamela0000176-ara1.completed,235,1102,Shamela0000176,0845Maqrizi.ItticazHunafa,73,f,f
4131514449912828227,8837120293157966538,17179948418,3,1307,Shamela19Y0145334-ara1,1,678,Shamela19Y0145334,0845Maqrizi.Muqaffa,73,f,f
-852415470850487650,-1855744953177641780,17179948418,3,73,Kraken210223142017-ara1,61,881,Kraken210223142017,0845Maqrizi.IghathaUmma,73,f,f
-859499905232855267,-2724963764368320069,481036357845,2,385,Shamela0000176-ara1.completed,559,1199,Shamela0000176,0845Maqrizi.ItticazHunafa,79,f,f
-5631604671040616497,-1855744953177641780,481036357845,2,79,Kraken210223142017-ara1,827,1515,Kraken210223142017,0845Maqrizi.IghathaUmma,79,f,f
6352007937493905695,-2724963764368320069,420907018139,2,384,Shamela0000176-ara1.completed,1071,1420,Shamela0000176,0845Maqrizi.ItticazHunafa,79,f,f
-5631604671040616497,-1855744953177641780,420907018139,2,79,Kraken210223142017-ara1,473,819,Kraken210223142017,0845Maqrizi.IghathaUmma,79,f,f
873395209624148859,-3654492682322209607,77309609563,2,257,Shamela0011566-ara1.completed,194,509,Shamela0011566,0845Maqrizi.Mawaciz,93,f,f
8306541772796715638,-1855744953177641780,77309609563,2,93,Kraken210223142017-ara1,409,729,Kraken210223142017,0845Maqrizi.IghathaUmma,93,f,f
-2030817168309373118,-7811795109226784162,386547088881,2,124,Shamela0010710-ara1,1,450,Shamela0010710,0845Maqrizi.Rasail,101,f,f
6736150412438662298,-1855744953177641780,386547088881,2,101,Kraken210223142017-ara1,1177,1653,Kraken210223142017,0845Maqrizi.IghathaUmma,101,f,f
-4723132473842411588,-7811795109226784162,317827602537,2,111,Shamela0010710-ara1,593,1144,Shamela0010710,0845Maqrizi.Rasail,104,f,f
-5830597008519491948,-1855744953177641780,317827602537,2,104,Kraken210223142017-ara1,1070,1634,Kraken210223142017,0845Maqrizi.IghathaUmma,104,f,f
-4723132473842411588,-7811795109226784162,42949677374,2,111,Shamela0010710-ara1,1230,1550,Shamela0010710,0845Maqrizi.Rasail,105,f,f
-4506475310963225488,-1855744953177641780,42949677374,2,105,Kraken210223142017-ara1,1007,1254,Kraken210223142017,0845Maqrizi.IghathaUmma,105,f,f
8765036284296604017,-7811795109226784162,128849044739,2,112,Shamela0010710-ara1,522,1169,Shamela0010710,0845Maqrizi.Rasail,106,f,f
11784247884713044,-1855744953177641780,128849044739,2,106,Kraken210223142017-ara1,14,601,Kraken210223142017,0845Maqrizi.IghathaUmma,106,f,f
11784247884713044,-1855744953177641780,68719507138,2,106,Kraken210223142017-ara1,1,326,Kraken210223142017,0845Maqrizi.IghathaUmma,106,f,f
926450151353729003,-7811795109226784162,17179951914,3,113,Shamela0010710-ara1,44,565,Shamela0010710,0845Maqrizi.Rasail,107,f,f
3155832475898347070,-1855744953177641780,17179951914,3,107,Kraken210223142017-ara1,1,632,Kraken210223142017,0845Maqrizi.IghathaUmma,107,f,f
-1500279146399378367,-166781166239542393,34359820808,8,4700,Shamela0010283-ara1.mARkdown,292,612,Shamela0010283,0733Nuwayri.NihayatArab,108,f,f
-1151352084480154142,784474866936621015,34359820808,8,137,JK001330-ara1.mARkdown,990,1369,JK001330,0874IbnTaghribirdi.NujumZahira,108,f,f
-5943113020541448518,3848509968093163541,34359820808,8,1919,Shamela0009429-ara1.mARkdown,366,833,Shamela0009429,0821Qalqashandi.SubhAcsha,108,f,f
-3126398315273674214,-2477559741050556506,34359820808,8,197,Shamela0012221-ara1.mARkdown,713,1328,Shamela0012221,0279Baladhuri.FutuhBuldan,108,f,f
-6456103536924471223,-4038021866035104461,34359820808,8,178,Shamela0023790-ara1.completed,52,659,Shamela0023790,0276IbnQutaybaDinawari.CuyunAkhbar,108,f,f
1914728775786471712,-6297474792414162605,34359820808,8,153,Shamela0010529-ara1,1,469,Shamela0010529,0395AbuHilalCaskari.Awail,108,f,f
6575180792463722346,-1855744953177641780,34359820808,8,108,Kraken210223142017-ara1,30,361,Kraken210223142017,0845Maqrizi.IghathaUmma,108,f,f
-1500279146399378367,-166781166239542393,137439038522,5,4700,Shamela0010283-ara1.mARkdown,153,690,Shamela0010283,0733Nuwayri.NihayatArab,108,f,f
-1151352084480154142,784474866936621015,137439038522,5,137,JK001330-ara1.mARkdown,870,1476,JK001330,0874IbnTaghribirdi.NujumZahira,108,f,f
8148206757319770943,5274941812924222394,137439038522,5,1471,JK000911-ara1.mARkdown,195,881,JK000911,0630IbnAthirCizzDin.Kamil,108,f,f
1914728775786471712,-6297474792414162605,137439038522,5,153,Shamela0010529-ara1,1,819,Shamela0010529,0395AbuHilalCaskari.Awail,108,f,f
6575180792463722346,-1855744953177641780,137439038522,5,108,Kraken210223142017-ara1,30,703,Kraken210223142017,0845Maqrizi.IghathaUmma,108,f,f
4059633006173391154,-7811795109226784162,627065431380,2,114,Shamela0010710-ara1,144,404,Shamela0010710,0845Maqrizi.Rasail,109,f,f
-1065218608426286166,-1855744953177641780,627065431380,2,109,Kraken210223142017-ara1,439,699,Kraken210223142017,0845Maqrizi.IghathaUmma,109,f,f
926450151353729003,-7811795109226784162,309237827202,2,113,Shamela0010710-ara1,984,1439,Shamela0010710,0845Maqrizi.Rasail,109,f,f
-1065218608426286166,-1855744953177641780,309237827202,2,109,Kraken210223142017-ara1,1,444,Kraken210223142017,0845Maqrizi.IghathaUmma,109,f,f
-6588363104643851172,-5846110217919951192,472446549556,2,1486,Shamela0012406-ara1.mARkdown,587,777,Shamela0012406,0597IbnJawzi.Muntazam,110,f,f
3665406443480011,-1855744953177641780,472446549556,2,110,Kraken210223142017-ara1,45,252,Kraken210223142017,0845Maqrizi.IghathaUmma,110,f,f
-3121235895571601264,956581549022712335,472446549555,3,341,JK006800-ara1.completed,407,1186,JK006800,0224QasimIbnSalam.Amwal,110,f,f
4059633006173391154,-7811795109226784162,472446549555,3,114,Shamela0010710-ara1,869,1535,Shamela0010710,0845Maqrizi.Rasail,110,f,f
3665406443480011,-1855744953177641780,472446549555,3,110,Kraken210223142017-ara1,390,1093,Kraken210223142017,0845Maqrizi.IghathaUmma,110,f,f
4059633006173391154,-7811795109226784162,472446549554,2,114,Shamela0010710-ara1,519,1535,Shamela0010710,0845Maqrizi.Rasail,110,f,f
3665406443480011,-1855744953177641780,472446549554,2,110,Kraken210223142017-ara1,1,1055,Kraken210223142017,0845Maqrizi.IghathaUmma,110,f,f
314231597932779285,-7811795109226784162,137438999034,2,118,Shamela0010710-ara1,605,1097,Shamela0010710,0845Maqrizi.Rasail,118,f,f
2201626076091038304,-1855744953177641780,137438999034,2,118,Kraken210223142017-ara1,1150,1610,Kraken210223142017,0845Maqrizi.IghathaUmma,118,f,f
314231597932779285,-7811795109226784162,111669205146,2,118,Shamela0010710-ara1,1097,1456,Shamela0010710,0845Maqrizi.Rasail,119,f,f
-4531299532581204712,-1855744953177641780,111669205146,2,119,Kraken210223142017-ara1,1,341,Kraken210223142017,0845Maqrizi.IghathaUmma,119,f,f
-2030817168309373118,-7811795109226784162,481036392299,2,124,Shamela0010710-ara1,819,1472,Shamela0010710,0845Maqrizi.Rasail,123,f,f
-5589738486819985601,-1855744953177641780,481036392299,2,123,Kraken210223142017-ara1,6,677,Kraken210223142017,0845Maqrizi.IghathaUmma,123,f,f
-295593772420492295,-3654492682322209607,506806184610,2,205,Shamela0011566-ara1.completed,167,506,Shamela0011566,0845Maqrizi.Mawaciz,133,f,f
-6954020241780092723,-1855744953177641780,506806184610,2,133,Kraken210223142017-ara1,540,879,Kraken210223142017,0845Maqrizi.IghathaUmma,133,f,f
