uid,gid,cluster,size,seq,series,begin,end,id,book,tagged-text-ms,citation,cited_text
-8550262912635391828,-6874650876450955628,60129717954,2,1410,Shamela0012320-ara1.completed,59,763,Shamela0012320,0808IbnKhaldun.Tarikh,1425,f,f
-5995940232860808627,5274941812924222394,60129717954,2,1425,JK000911-ara1.mARkdown,1,1036,JK000911,0630IbnAthirCizzDin.Kamil,1425,f,f
-6561978757569696972,8837120293157966538,103079218139,4,1159,Shamela19Y0145334-ara1,1227,1461,Shamela19Y0145334,0845Maqrizi.Muqaffa,1425,f,f
-5995940232860808627,5274941812924222394,103079218139,4,1425,JK000911-ara1.mARkdown,33,295,JK000911,0630IbnAthirCizzDin.Kamil,1425,f,f
4547195249824849597,-155503237918072355,103079218139,4,26,Shamela0006669-ara1.completed,1025,1455,Shamela0006669,0874IbnTaghribirdi.MawridLatafa,1425,f,f
-5995940232860808627,5274941812924222394,103079218147,2,1425,JK000911-ara1.mARkdown,214,576,JK000911,0630IbnAthirCizzDin.Kamil,1425,f,f
-3040645120713266131,-1418907385118863767,103079218147,2,728,Shamela0001000-ara1.completed,1155,1393,Shamela0001000,0681IbnKhallikan.WafayatAcyan,1425,f,f
-7409306640586657234,4203434267353763643,103079218136,3,1819,Shamela0009773-ara1.mARkdown,215,672,Shamela0009773,0279Baladhuri.AnsabAshraf,1425,f,f
-5995940232860808627,5274941812924222394,103079218136,3,1425,JK000911-ara1.mARkdown,529,892,JK000911,0630IbnAthirCizzDin.Kamil,1425,f,f
-6036340974026987898,-166781166239542393,60129650980,3,4649,Shamela0010283-ara1.mARkdown,85,1008,Shamela0010283,0733Nuwayri.NihayatArab,1425,f,f
-2811843713620429509,-8104484443373739640,60129650980,3,1017,Sham19Y0020989-ara1,841,1499,Sham19Y0020989,0832AbuTayyibFasi.CiqdThamin,1425,f,f
-5995940232860808627,5274941812924222394,60129650980,3,1425,JK000911-ara1.mARkdown,96,1537,JK000911,0630IbnAthirCizzDin.Kamil,1425,f,f
-4961748486543611970,5411657526454856293,60129686933,3,3140,SHAM19Y23644-ara1,542,1072,SHAM19Y23644,0654SibtIbnJawzi.MiratZaman,1425,f,f
4208005627587828709,-7266244383407263105,60129686933,3,4116,Shamela0004445-ara1.completed,80,429,Shamela0004445,0774IbnKathir.Bidaya,1425,f,f
-5995940232860808627,5274941812924222394,60129686933,3,1425,JK000911-ara1.mARkdown,238,716,JK000911,0630IbnAthirCizzDin.Kamil,1425,f,f
-9061977792121067690,-8104484443373739640,103079218132,2,1437,Sham19Y0020989-ara1,1,737,Sham19Y0020989,0832AbuTayyibFasi.CiqdThamin,1425,f,f
-5995940232860808627,5274941812924222394,103079218132,2,1425,JK000911-ara1.mARkdown,481,1537,JK000911,0630IbnAthirCizzDin.Kamil,1425,f,f
1371596645235290736,8837120293157966538,103079218141,2,1160,Shamela19Y0145334-ara1,174,964,Shamela19Y0145334,0845Maqrizi.Muqaffa,1425,f,f
-5995940232860808627,5274941812924222394,103079218141,2,1425,JK000911-ara1.mARkdown,214,1527,JK000911,0630IbnAthirCizzDin.Kamil,1425,f,f
-6036340974026987898,-166781166239542393,34359922599,9,4649,Shamela0010283-ara1.mARkdown,771,1230,Shamela0010283,0733Nuwayri.NihayatArab,1425,f,f
-2522794271185908150,-5539482737094636716,34359922599,9,926,Sham19Y0018147-ara1.completed,246,710,Sham19Y0018147,0736IbnDawadari.KanzDurar,1425,f,f
-6051418139008654163,4203434267353763643,34359922599,9,1820,Shamela0009773-ara1.mARkdown,1,406,Shamela0009773,0279Baladhuri.AnsabAshraf,1425,f,f
1371596645235290736,8837120293157966538,34359922599,9,1160,Shamela19Y0145334-ara1,809,1284,Shamela19Y0145334,0845Maqrizi.Muqaffa,1425,f,f
-9061977792121067690,-8104484443373739640,34359922599,9,1437,Sham19Y0020989-ara1,529,1046,Sham19Y0020989,0832AbuTayyibFasi.CiqdThamin,1425,f,f
-3184907914443223762,-8104484443373739640,34359922599,9,1018,Sham19Y0020989-ara1,1,421,Sham19Y0020989,0832AbuTayyibFasi.CiqdThamin,1425,f,f
-5995940232860808627,5274941812924222394,34359922599,9,1425,JK000911-ara1.mARkdown,1259,1537,JK000911,0630IbnAthirCizzDin.Kamil,1425,f,f
-5715341173917424823,5274941812924222394,34359922599,9,1426,JK000911-ara1.mARkdown,1,330,JK000911,0630IbnAthirCizzDin.Kamil,1425,f,f
658307189238068599,-5588996116856307731,34359922599,9,187,Noorlib0024469-ara1,948,1267,Noorlib0024469,0361AbuYacqubSijistani.Iftikhar,1425,f,f
-7409306640586657234,4203434267353763643,103079218138,2,1819,Shamela0009773-ara1.mARkdown,1126,1497,Shamela0009773,0279Baladhuri.AnsabAshraf,1425,f,f
-5995940232860808627,5274941812924222394,103079218138,2,1425,JK000911-ara1.mARkdown,1254,1518,JK000911,0630IbnAthirCizzDin.Kamil,1425,f,f
-1290973409772934123,-5846110217919951192,64565,7,1465,Shamela0012406-ara1.mARkdown,1033,1387,Shamela0012406,0597IbnJawzi.Muntazam,1425,f,f
-4961748486543611970,5411657526454856293,64565,7,3140,SHAM19Y23644-ara1,816,1072,SHAM19Y23644,0654SibtIbnJawzi.MiratZaman,1425,f,f
135001011175731613,-6788471551444052522,64565,7,2703,Shamela0009783BK1-ara1.mARkdown,791,1061,Shamela0009783BK1,0310Tabari.Tarikh,1425,f,f
-9061977792121067690,-8104484443373739640,64565,7,1437,Sham19Y0020989-ara1,1,198,Sham19Y0020989,0832AbuTayyibFasi.CiqdThamin,1425,f,f
-5995940232860808627,5274941812924222394,64565,7,1425,JK000911-ara1.mARkdown,502,1032,JK000911,0630IbnAthirCizzDin.Kamil,1425,f,f
1962038079320720025,-227920819258606688,64565,7,468,Shamela0012396-ara1.completed,348,569,Shamela0012396,0421Miskawayh.Tajarib,1425,f,f
135001011175731613,-6788471551444052522,103079218137,2,2703,Shamela0009783BK1-ara1.mARkdown,1061,1498,Shamela0009783BK1,0310Tabari.Tarikh,1425,f,f
-5995940232860808627,5274941812924222394,103079218137,2,1425,JK000911-ara1.mARkdown,941,1231,JK000911,0630IbnAthirCizzDin.Kamil,1425,f,f
-8550262912635391828,-6874650876450955628,60129717957,6,1410,Shamela0012320-ara1.completed,1,361,Shamela0012320,0808IbnKhaldun.Tarikh,1425,f,f
857382745564191282,4203434267353763643,60129717957,6,1817,Shamela0009773-ara1.mARkdown,13,876,Shamela0009773,0279Baladhuri.AnsabAshraf,1425,f,f
1371596645235290736,8837120293157966538,60129717957,6,1160,Shamela19Y0145334-ara1,219,452,Shamela19Y0145334,0845Maqrizi.Muqaffa,1425,f,f
6091451016250726094,-8104484443373739640,60129717957,6,1436,Sham19Y0020989-ara1,1299,1570,Sham19Y0020989,0832AbuTayyibFasi.CiqdThamin,1425,f,f
-5995940232860808627,5274941812924222394,60129717957,6,1425,JK000911-ara1.mARkdown,1,481,JK000911,0630IbnAthirCizzDin.Kamil,1425,f,f
-1290973409772934123,-5846110217919951192,60129686932,9,1465,Shamela0012406-ara1.mARkdown,498,1265,Shamela0012406,0597IbnJawzi.Muntazam,1425,f,f
-4961748486543611970,5411657526454856293,60129686932,9,3140,SHAM19Y23644-ara1,385,911,SHAM19Y23644,0654SibtIbnJawzi.MiratZaman,1425,f,f
857382745564191282,4203434267353763643,60129686932,9,1817,Shamela0009773-ara1.mARkdown,562,1077,Shamela0009773,0279Baladhuri.AnsabAshraf,1425,f,f
135001011175731613,-6788471551444052522,60129686932,9,2703,Shamela0009783BK1-ara1.mARkdown,516,854,Shamela0009783BK1,0310Tabari.Tarikh,1425,f,f
