uid,gid,cluster,size,seq,series,begin,end,id,book,tagged-text-ms,citation,cited_text
-4323096030445650978,5049242056093930090,73807,20,789,Shamela0023833-ara1.completed,344,1129,Shamela0023833,0213IbnHisham.SiraNabawiyya,590,f,f
-4574627235661988778,-166781166239542393,73807,20,3655,Shamela0010283-ara1.mARkdown,262,904,Shamela0010283,0733Nuwayri.NihayatArab,590,f,f
-8170018617851008975,3697653286825626163,73807,20,6701,Sham19Y0013252-ara1,514,966,Sham19Y0013252,0804IbnMulaqqin.Tawdih,590,f,f
-5783718878538402342,-592034112502560175,73807,20,884,Shamela0021713-ara1,742,1555,Shamela0021713,0751IbnQayyimJawziyya.ZadMacad,590,f,f
-508920852376707327,-7266244383407263105,73807,20,2016,Shamela0004445-ara1.completed,35,367,Shamela0004445,0774IbnKathir.Bidaya,590,f,f
378849199886871933,-7819244900933417128,73807,20,692,Shamela0023680-ara1.mARkdown,426,1530,Shamela0023680,0207Waqidi.Maghazi,590,f,f
-5054150692031153144,-7230665666601262348,73807,20,330,Shia003616Vols-ara1,673,1397,Shia003616Vols,0845Maqrizi.ImtacAsmac,590,f,f
-7686673192847957960,-6788471551444052522,73807,20,1068,Shamela0009783BK1-ara1.mARkdown,716,1024,Shamela0009783BK1,0310Tabari.Tarikh,590,f,f
8254963355159737620,5274941812924222394,73807,20,590,JK000911-ara1.mARkdown,480,877,JK000911,0630IbnAthirCizzDin.Kamil,590,f,f
5184357820006823090,75026921281089760,73807,20,563,Shia003714Vols-ara1,1,957,Shia003714Vols,0734IbnSayyidNas.CuyunAthar,590,f,f
-161101120156925306,7105356451538827063,73807,20,317,Shamela0009790-ara1,1304,1610,Shamela0009790,0789IbnMuhammadKhuzaci.TakhrijDalalat,590,f,f
-4821183085104512658,-8763799334870536406,73807,20,522,Shamela0009770-ara1.completed,1,437,Shamela0009770,0634AbuRabicHimyari.Iktifa,590,f,f
-2176746540957276801,7329016169246317512,73807,20,670,Shamela0001043-ara1.mARkdown,373,970,Shamela0001043,0900AbuCabdAllahHimyari.RawdMictar,590,f,f
-3358445201017923451,1614569197682299704,73807,20,1611,Shamela0006864-ara1,5,349,Shamela0006864,0581AbuQasimSuhayli.RawdUnuf,590,f,f
8570669273902809793,8413239307148353219,73807,20,135,Shamela0009769-ara1,178,574,Shamela0009769,0497IbnFarajIbnTallacQurtubi.AqdiyatRasul,590,f,f
-2458029179236538415,5274941812924222394,309237686150,2,591,JK000911-ara1.mARkdown,1395,1519,JK000911,0630IbnAthirCizzDin.Kamil,591,f,f
4254859214421764663,-1972771646349110689,309237686150,2,675,Shamela0009780-ara1,1167,1373,Shamela0009780,0893IbnAbiBakrHadari.BahjatMahafil,591,f,f
-801518598697584001,-592034112502560175,60129695896,5,885,Shamela0021713-ara1,437,987,Shamela0021713,0751IbnQayyimJawziyya.ZadMacad,591,f,f
-2458029179236538415,5274941812924222394,60129695896,5,591,JK000911-ara1.mARkdown,1,196,JK000911,0630IbnAthirCizzDin.Kamil,591,f,f
-1284353476429611715,-4696875300118925639,77309522087,4,471,JK000927-ara1.completed,646,997,JK000927,0362AbuFarajIsbahani.Aghani,591,f,f
-36526743444116757,-5539482737094636716,77309522087,4,1033,Sham19Y0018147-ara1.completed,18,261,Sham19Y0018147,0736IbnDawadari.KanzDurar,591,f,f
-2458029179236538415,5274941812924222394,77309522087,4,591,JK000911-ara1.mARkdown,696,985,JK000911,0630IbnAthirCizzDin.Kamil,591,f,f
-2458029179236538415,5274941812924222394,103079224297,2,591,JK000911-ara1.mARkdown,142,786,JK000911,0630IbnAthirCizzDin.Kamil,591,f,f
900533799234071765,75026921281089760,103079224297,2,564,Shia003714Vols-ara1,406,765,Shia003714Vols,0734IbnSayyidNas.CuyunAthar,591,f,f
-2564169463995014031,5274941812924222394,438086881455,2,592,JK000911-ara1.mARkdown,413,1521,JK000911,0630IbnAthirCizzDin.Kamil,592,f,f
-6599750892110360183,-8074146005133653594,438086881455,2,3,ShamAY0034318-ara1,437,1166,ShamAY0034318,0676Nawawi.TakhmisGhanima,592,f,f
-8128143555877356156,-5846110217919951192,438086881454,2,771,Shamela0012406-ara1.mARkdown,1,122,Shamela0012406,0597IbnJawzi.Muntazam,592,f,f
-2564169463995014031,5274941812924222394,438086881454,2,592,JK000911-ara1.mARkdown,1246,1378,JK000911,0630IbnAthirCizzDin.Kamil,592,f,f
-4521436545660133070,-6590068225014590683,214748386991,2,2156,Sham19Y0146127-ara1,14,255,Sham19Y0146127,0748Dhahabi.Muhadhdhab,592,f,f
-2564169463995014031,5274941812924222394,214748386991,2,592,JK000911-ara1.mARkdown,1362,1521,JK000911,0630IbnAthirCizzDin.Kamil,592,f,f
-7390301721441323977,5049242056093930090,8589959085,72,795,Shamela0023833-ara1.completed,11,1469,Shamela0023833,0213IbnHisham.SiraNabawiyya,592,f,f
6741832945907708527,-166781166239542393,8589959085,72,3661,Shamela0010283-ara1.mARkdown,131,1241,Shamela0010283,0733Nuwayri.NihayatArab,592,f,f
-6497789144542402771,7112032055995250684,8589959085,72,11005,Shamela0005756-ara1.completed,1,362,Shamela0005756,0855BadrDinCayni.CumdatQari,592,f,f
1234363621965664908,7112032055995250684,8589959085,72,11004,Shamela0005756-ara1.completed,1193,1534,Shamela0005756,0855BadrDinCayni.CumdatQari,592,f,f
626665477854941351,6466097600277704307,8589959085,72,6417,Shamela0003118-ara1.completed,891,1481,Shamela0003118,0711IbnManzurIfriqi.MukhtasarTarikhDimashq,592,f,f
3475354824862704256,6466097600277704307,8589959085,72,6418,Shamela0003118-ara1.completed,1,581,Shamela0003118,0711IbnManzurIfriqi.MukhtasarTarikhDimashq,592,f,f
-7683198932014327927,-5846110217919951192,8589959085,72,770,Shamela0012406-ara1.mARkdown,1144,1550,Shamela0012406,0597IbnJawzi.Muntazam,592,f,f
-4768065407799327919,-2304112805846745627,8589959085,72,1838,JK009408-ara1.completed,356,1265,JK009408,0430AbuNucaymIsbahani.MacrifatSahaba,592,f,f
-2154755350902956471,-7012536273894343423,8589959085,72,22364,JK000916-ara1.mARkdown,482,1496,JK000916,0571IbnCasakir.TarikhDimashq,592,f,f
1101450738410470773,-7012536273894343423,8589959085,72,22368,JK000916-ara1.mARkdown,297,1484,JK000916,0571IbnCasakir.TarikhDimashq,592,f,f
9124839755435252259,-7012536273894343423,8589959085,72,22366,JK000916-ara1.mARkdown,757,1173,JK000916,0571IbnCasakir.TarikhDimashq,592,f,f
-1306229762655296284,-7012536273894343423,8589959085,72,22369,JK000916-ara1.mARkdown,491,704,JK000916,0571IbnCasakir.TarikhDimashq,592,f,f
-1306229762655296284,-7012536273894343423,8589959085,72,22369,JK000916-ara1.mARkdown,969,1338,JK000916,0571IbnCasakir.TarikhDimashq,592,f,f
