uid,gid,cluster,size,seq,series,begin,end,id,book,tagged-text-ms,citation,cited_text
895074750330900121,-166781166239542393,128849209849,5,4965,Shamela0010283-ara1.mARkdown,510,1525,Shamela0010283,0733Nuwayri.NihayatArab,2048,f,f
7552945893484905806,-6874650876450955628,128849209849,5,1652,Shamela0012320-ara1.completed,381,1003,Shamela0012320,0808IbnKhaldun.Tarikh,2048,f,f
-50443051831754804,5274941812924222394,128849209849,5,2048,JK000911-ara1.mARkdown,682,1451,JK000911,0630IbnAthirCizzDin.Kamil,2048,f,f
-6383070155527110702,782582721729205936,128849209849,5,611,Kraken210528100217-ara1,378,1318,Kraken210528100217,0334Azdi.TarikhMawsil,2048,f,f
-2191889161090837613,5274941812924222394,60129584314,2,2049,JK000911-ara1.mARkdown,475,679,JK000911,0630IbnAthirCizzDin.Kamil,2049,f,f
-2191889161090837613,5274941812924222394,60129584317,2,2049,JK000911-ara1.mARkdown,257,567,JK000911,0630IbnAthirCizzDin.Kamil,2049,f,f
4625495431845032975,8450140526675317881,60129584317,2,129,Shamela0012348-ara1.completed,1193,1342,Shamela0012348,0685IbnCibri.TarikhMukhtasarDuwal,2049,f,f
6257123970619854419,-166781166239542393,60129584312,4,4966,Shamela0010283-ara1.mARkdown,45,640,Shamela0010283,0733Nuwayri.NihayatArab,2049,f,f
814463612469479326,-6788471551444052522,60129584312,4,3818,Shamela0009783BK1-ara1.mARkdown,1,828,Shamela0009783BK1,0310Tabari.Tarikh,2049,f,f
-2191889161090837613,5274941812924222394,60129584312,4,2049,JK000911-ara1.mARkdown,480,1044,JK000911,0630IbnAthirCizzDin.Kamil,2049,f,f
895074750330900121,-166781166239542393,60129584313,4,4965,Shamela0010283-ara1.mARkdown,1207,1525,Shamela0010283,0733Nuwayri.NihayatArab,2049,f,f
-2191889161090837613,5274941812924222394,60129584313,4,2049,JK000911-ara1.mARkdown,1,355,JK000911,0630IbnAthirCizzDin.Kamil,2049,f,f
-6383070155527110702,782582721729205936,60129584313,4,611,Kraken210528100217-ara1,969,1474,Kraken210528100217,0334Azdi.TarikhMawsil,2049,f,f
147890949881592189,5411657526454856293,60129584315,2,4471,SHAM19Y23644-ara1,1127,1318,SHAM19Y23644,0654SibtIbnJawzi.MiratZaman,2049,f,f
-2191889161090837613,5274941812924222394,60129584315,2,2049,JK000911-ara1.mARkdown,810,1020,JK000911,0630IbnAthirCizzDin.Kamil,2049,f,f
-3920236765958286768,2271800227472581094,60129584316,2,8475,Kraken210630005153-ara1,146,375,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar,2049,f,f
-2191889161090837613,5274941812924222394,60129584316,2,2049,JK000911-ara1.mARkdown,400,744,JK000911,0630IbnAthirCizzDin.Kamil,2049,f,f
5753019281650326047,5274941812924222394,137439008017,3,2050,JK000911-ara1.mARkdown,794,1542,JK000911,0630IbnAthirCizzDin.Kamil,2050,f,f
-6379123373455278030,782582721729205936,137439008017,3,617,Kraken210528100217-ara1,10,1011,Kraken210528100217,0334Azdi.TarikhMawsil,2050,f,f
6625876622064323183,-7759285248445212117,137439008017,3,139,Shamela0012400-ara1.completed,667,1472,Shamela0012400,0709IbnTiqtaqa.FakhriFiAdab,2050,f,f
5753019281650326047,5274941812924222394,257698224128,3,2050,JK000911-ara1.mARkdown,172,1542,JK000911,0630IbnAthirCizzDin.Kamil,2050,f,f
9115369282498974288,-227920819258606688,257698224128,3,901,Shamela0012396-ara1.completed,4,1532,Shamela0012396,0421Miskawayh.Tajarib,2050,f,f
6625876622064323183,-7759285248445212117,257698224128,3,139,Shamela0012400-ara1.completed,1,1426,Shamela0012400,0709IbnTiqtaqa.FakhriFiAdab,2050,f,f
5753019281650326047,5274941812924222394,257698224131,5,2050,JK000911-ara1.mARkdown,172,784,JK000911,0630IbnAthirCizzDin.Kamil,2050,f,f
3954556444664366962,-8996966217809154060,257698224131,5,151,JK009291-ara1,392,1143,JK009291,0320IbnMuhammadBayhaqi.Mahasin,2050,f,f
9115369282498974288,-227920819258606688,257698224131,5,901,Shamela0012396-ara1.completed,1,786,Shamela0012396,0421Miskawayh.Tajarib,2050,f,f
2125043218198687328,782582721729205936,257698224131,5,616,Kraken210528100217-ara1,750,1508,Kraken210528100217,0334Azdi.TarikhMawsil,2050,f,f
6625876622064323183,-7759285248445212117,257698224131,5,139,Shamela0012400-ara1.completed,1,657,Shamela0012400,0709IbnTiqtaqa.FakhriFiAdab,2050,f,f
-4540378267894129193,-6788471551444052522,137439008016,7,3821,Shamela0009783BK1-ara1.mARkdown,1,1114,Shamela0009783BK1,0310Tabari.Tarikh,2050,f,f
5753019281650326047,5274941812924222394,137439008016,7,2050,JK000911-ara1.mARkdown,1124,1542,JK000911,0630IbnAthirCizzDin.Kamil,2050,f,f
3852878821799181891,-8996966217809154060,137439008016,7,152,JK009291-ara1,1,857,JK009291,0320IbnMuhammadBayhaqi.Mahasin,2050,f,f
9115369282498974288,-227920819258606688,137439008016,7,901,Shamela0012396-ara1.completed,1171,1532,Shamela0012396,0421Miskawayh.Tajarib,2050,f,f
-6379123373455278030,782582721729205936,137439008016,7,617,Kraken210528100217-ara1,408,1535,Kraken210528100217,0334Azdi.TarikhMawsil,2050,f,f
6625876622064323183,-7759285248445212117,137439008016,7,139,Shamela0012400-ara1.completed,1020,1547,Shamela0012400,0709IbnTiqtaqa.FakhriFiAdab,2050,f,f
4999052658870035822,5411657526454856293,146028992681,7,4463,SHAM19Y23644-ara1,6,829,SHAM19Y23644,0654SibtIbnJawzi.MiratZaman,2050,f,f
-7403408732439058354,-6788471551444052522,146028992681,7,3820,Shamela0009783BK1-ara1.mARkdown,83,1510,Shamela0009783BK1,0310Tabari.Tarikh,2050,f,f
5753019281650326047,5274941812924222394,146028992681,7,2050,JK000911-ara1.mARkdown,172,1204,JK000911,0630IbnAthirCizzDin.Kamil,2050,f,f
3954556444664366962,-8996966217809154060,146028992681,7,151,JK009291-ara1,392,1520,JK009291,0320IbnMuhammadBayhaqi.Mahasin,2050,f,f
9115369282498974288,-227920819258606688,146028992681,7,901,Shamela0012396-ara1.completed,1,1268,Shamela0012396,0421Miskawayh.Tajarib,2050,f,f
6625876622064323183,-7759285248445212117,146028992681,7,139,Shamela0012400-ara1.completed,1,1056,Shamela0012400,0709IbnTiqtaqa.FakhriFiAdab,2050,f,f
-4540378267894129193,-6788471551444052522,249108120151,3,3821,Shamela0009783BK1-ara1.mARkdown,552,1480,Shamela0009783BK1,0310Tabari.Tarikh,2051,f,f
7915188564483957030,5274941812924222394,249108120151,3,2051,JK000911-ara1.mARkdown,9,649,JK000911,0630IbnAthirCizzDin.Kamil,2051,f,f
-6550384636909335366,-6788471551444052522,25769981744,4,3823,Shamela0009783BK1-ara1.mARkdown,1,1465,Shamela0009783BK1,0310Tabari.Tarikh,2051,f,f
7915188564483957030,5274941812924222394,25769981744,4,2051,JK000911-ara1.mARkdown,645,1439,JK000911,0630IbnAthirCizzDin.Kamil,2051,f,f
9171548025684594914,782582721729205936,25769981744,4,619,Kraken210528100217-ara1,385,1462,Kraken210528100217,0334Azdi.TarikhMawsil,2051,f,f
-4540378267894129193,-6788471551444052522,249108120153,4,3821,Shamela0009783BK1-ara1.mARkdown,1119,1491,Shamela0009783BK1,0310Tabari.Tarikh,2051,f,f
7915188564483957030,5274941812924222394,249108120153,4,2051,JK000911-ara1.mARkdown,276,649,JK000911,0630IbnAthirCizzDin.Kamil,2051,f,f
1425330024869975530,782582721729205936,249108120153,4,618,Kraken210528100217-ara1,1,469,Kraken210528100217,0334Azdi.TarikhMawsil,2051,f,f
7915188564483957030,5274941812924222394,249108120155,2,2051,JK000911-ara1.mARkdown,9,193,JK000911,0630IbnAthirCizzDin.Kamil,2051,f,f
7800587407058835691,-227920819258606688,249108120155,2,902,Shamela0012396-ara1.completed,191,378,Shamela0012396,0421Miskawayh.Tajarib,2051,f,f
-6550384636909335366,-6788471551444052522,25769981747,5,3823,Shamela0009783BK1-ara1.mARkdown,102,574,Shamela0009783BK1,0310Tabari.Tarikh,2051,f,f
7915188564483957030,5274941812924222394,25769981747,5,2051,JK000911-ara1.mARkdown,657,956,JK000911,0630IbnAthirCizzDin.Kamil,2051,f,f
