uid,gid,cluster,size,seq,series,begin,end,id,book,tagged-text-ms,citation,cited_text
-4842813406379098543,5274941812924222394,240518380062,2,286,JK000911-ara1.mARkdown,666,1099,JK000911,0630IbnAthirCizzDin.Kamil,286,f,f
8516482233204269599,-8381433524439052507,240518380062,2,108,Shamela0006624-ara1,232,478,Shamela0006624,0749ZaynDinIbnWardi.Tarikh,286,f,f
-4842813406379098543,5274941812924222394,240518380060,2,286,JK000911-ara1.mARkdown,666,1099,JK000911,0630IbnAthirCizzDin.Kamil,286,f,f
-4842813406379098543,5274941812924222394,240518380057,2,286,JK000911-ara1.mARkdown,757,949,JK000911,0630IbnAthirCizzDin.Kamil,286,f,f
5371518328775675476,-5846110217919951192,240518380054,2,316,Shamela0012406-ara1.mARkdown,88,887,Shamela0012406,0597IbnJawzi.Muntazam,286,f,f
-4842813406379098543,5274941812924222394,240518380054,2,286,JK000911-ara1.mARkdown,38,480,JK000911,0630IbnAthirCizzDin.Kamil,286,f,f
-4842813406379098543,5274941812924222394,240518380050,2,286,JK000911-ara1.mARkdown,734,1362,JK000911,0630IbnAthirCizzDin.Kamil,286,f,f
6470392210225271052,1614569197682299704,240518380050,2,113,Shamela0006864-ara1,390,1386,Shamela0006864,0581AbuQasimSuhayli.RawdUnuf,286,f,f
8753853902966297763,-6614833695216851644,240518380058,2,145,Shamela0012715-ara1.mARkdown,66,327,Shamela0012715,0732AbuFida.MukhtasarFiAkhbar,286,f,f
-4842813406379098543,5274941812924222394,240518380058,2,286,JK000911-ara1.mARkdown,666,1099,JK000911,0630IbnAthirCizzDin.Kamil,286,f,f
5371518328775675476,-5846110217919951192,171798899474,3,316,Shamela0012406-ara1.mARkdown,806,1485,Shamela0012406,0597IbnJawzi.Muntazam,286,f,f
-4842813406379098543,5274941812924222394,171798899474,3,286,JK000911-ara1.mARkdown,424,800,JK000911,0630IbnAthirCizzDin.Kamil,286,f,f
-4842813406379098543,5274941812924222394,188978775466,2,286,JK000911-ara1.mARkdown,666,1099,JK000911,0630IbnAthirCizzDin.Kamil,286,f,f
5508750020840856050,5274941812924222394,274878128636,2,287,JK000911-ara1.mARkdown,510,1523,JK000911,0630IbnAthirCizzDin.Kamil,287,f,f
5430863800369787444,-8763799334870536406,274878128636,2,80,Shamela0009770-ara1.completed,447,1149,Shamela0009770,0634AbuRabicHimyari.Iktifa,287,f,f
2922069661925677412,5049242056093930090,187494,258,28,Shamela0023833-ara1.completed,1,1435,Shamela0023833,0213IbnHisham.SiraNabawiyya,287,f,f
8284660394652978070,5049242056093930090,187494,258,30,Shamela0023833-ara1.completed,1,1537,Shamela0023833,0213IbnHisham.SiraNabawiyya,287,f,f
-7824267381772235244,5049242056093930090,187494,258,31,Shamela0023833-ara1.completed,1,684,Shamela0023833,0213IbnHisham.SiraNabawiyya,287,f,f
-5971239157838060667,5049242056093930090,187494,258,29,Shamela0023833-ara1.completed,1,1224,Shamela0023833,0213IbnHisham.SiraNabawiyya,287,f,f
-3614573520261897364,2271800227472581094,187494,258,7348,Kraken210630005153-ara1,1,1504,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar,287,f,f
-4497214318062523331,2271800227472581094,187494,258,7350,Kraken210630005153-ara1,173,497,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar,287,f,f
8714776796746158888,2271800227472581094,187494,258,7349,Kraken210630005153-ara1,70,437,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar,287,f,f
1644609389262681915,-166781166239542393,187494,258,3019,Shamela0010283-ara1.mARkdown,69,1413,Shamela0010283,0733Nuwayri.NihayatArab,287,f,f
2209800611429182981,1922896979396948250,187494,258,1117,Shamela0010664-ara1,1,687,Shamela0010664,0808MuhammadDamiri.HayatHayawanKubra,287,f,f
-111283426429457758,1922896979396948250,187494,258,1116,Shamela0010664-ara1,592,1469,Shamela0010664,0808MuhammadDamiri.HayatHayawanKubra,287,f,f
8328487936110707163,1922896979396948250,187494,258,1115,Shamela0010664-ara1,1199,1523,Shamela0010664,0808MuhammadDamiri.HayatHayawanKubra,287,f,f
5303639450322167623,2843358340057833860,187494,258,4708,Shamela0023613-ara1,539,1599,Shamela0023613,0730NizamDinNaysaburi.GharaibQuran,287,f,f
-2249881562355923783,2843358340057833860,187494,258,4709,Shamela0023613-ara1,1,1488,Shamela0023613,0730NizamDinNaysaburi.GharaibQuran,287,f,f
7374444309063236538,-5846110217919951192,187494,258,318,Shamela0012406-ara1.mARkdown,1,1510,Shamela0012406,0597IbnJawzi.Muntazam,287,f,f
7923938550325463862,-5846110217919951192,187494,258,319,Shamela0012406-ara1.mARkdown,1,1044,Shamela0012406,0597IbnJawzi.Muntazam,287,f,f
-6790601398723559461,-5846110217919951192,187494,258,317,Shamela0012406-ara1.mARkdown,13,1428,Shamela0012406,0597IbnJawzi.Muntazam,287,f,f
4668588927168725482,6336257935130615120,187494,258,3499,Shamela0023578-ara1.completed,1,1480,Shamela0023578,0427AbuIshaqThaclabi.KashfWaBayan,287,f,f
-7367471030501069680,6336257935130615120,187494,258,3500,Shamela0023578-ara1.completed,1,1552,Shamela0023578,0427AbuIshaqThaclabi.KashfWaBayan,287,f,f
1513700254021487712,-2887463091581347669,187494,258,2066,JK006476-ara1,23,710,JK006476,0489IbnMuhammadSamcani.TafsirQuran,287,f,f
7181738823749298718,-293218249253373790,187494,258,1112,Shamela0023775-ara1.completed,97,464,Shamela0023775,0255Jahiz.Hayawan,287,f,f
5307489877587572198,8713312744161019246,187494,258,2867,Tafsir03092-ara1,1,1517,Tafsir03092,0437IbnHammushQayruwani.Hidaya,287,f,f
4324176060905798847,8713312744161019246,187494,258,2868,Tafsir03092-ara1,1,591,Tafsir03092,0437IbnHammushQayruwani.Hidaya,287,f,f
-4057224059741515322,8713312744161019246,187494,258,2866,Tafsir03092-ara1,240,1450,Tafsir03092,0437IbnHammushQayruwani.Hidaya,287,f,f
8550654433587632154,4069354553461742336,187494,258,7634,Sham19Y0016934-ara1,1126,1510,Sham19Y0016934,0502CabdWahidRuyani.BahrMadhhab,287,f,f
-3490033574657418228,4069354553461742336,187494,258,7635,Sham19Y0016934-ara1,1,1304,Sham19Y0016934,0502CabdWahidRuyani.BahrMadhhab,287,f,f
-6866817358549989464,3697046081876822068,187494,258,250,Shamela0008362-ara1,700,1517,Shamela0008362,0832AbuTayyibFasi.ShifaGharam,287,f,f
-4279880012042516295,1533445134418962482,187494,258,3736,Shamela0023628-ara1.completed,1,1443,Shamela0023628,0741KhazinBaghdadi.LubabTawil,287,f,f
4023131753870802558,1533445134418962482,187494,258,3738,Shamela0023628-ara1.completed,1,713,Shamela0023628,0741KhazinBaghdadi.LubabTawil,287,f,f
6835306365878514133,1533445134418962482,187494,258,3737,Shamela0023628-ara1.completed,1,1543,Shamela0023628,0741KhazinBaghdadi.LubabTawil,287,f,f
3234735477885541031,8911967320214985364,187494,258,19,ShamAY0034434-ara1,1,210,ShamAY0034434,0535QawwamSunna.MabcathWaMaghazi,287,f,f
3234735477885541031,8911967320214985364,187494,258,19,ShamAY0034434-ara1,252,674,ShamAY0034434,0535QawwamSunna.MabcathWaMaghazi,287,f,f
2734442718737477243,8911967320214985364,187494,258,18,ShamAY0034434-ara1,148,1450,ShamAY0034434,0535QawwamSunna.MabcathWaMaghazi,287,f,f
5930515995210404122,-3828321945575048363,187494,258,2825,Shamela0000041-ara1.completed,1,1502,Shamela0000041,0510IbnMascudBaghawi.Tafsir,287,f,f
5312089592782003115,-3828321945575048363,187494,258,2826,Shamela0000041-ara1.completed,1,963,Shamela0000041,0510IbnMascudBaghawi.Tafsir,287,f,f
5317617965761420498,-4945071420828014136,187494,258,9641,Shamela0007798-ara1.inProgress,1,690,Shamela0007798,0310Tabari.JamicBayan,287,f,f
-165013634143537650,-4945071420828014136,187494,258,9639,Shamela0007798-ara1.inProgress,1,1471,Shamela0007798,0310Tabari.JamicBayan,287,f,f
8613550083318675465,-4945071420828014136,187494,258,9640,Shamela0007798-ara1.inProgress,1,1545,Shamela0007798,0310Tabari.JamicBayan,287,f,f
1833684306695348704,-6874650876450955628,187494,258,779,Shamela0012320-ara1.completed,970,1516,Shamela0012320,0808IbnKhaldun.Tarikh,287,f,f
1920755908346118396,5411657526454856293,187494,258,832,SHAM19Y23644-ara1,1,1559,SHAM19Y23644,0654SibtIbnJawzi.MiratZaman,287,f,f
-6272752685107435233,5411657526454856293,187494,258,831,SHAM19Y23644-ara1,14,1451,SHAM19Y23644,0654SibtIbnJawzi.MiratZaman,287,f,f
4005926712371469868,-1987561211053828885,187494,258,2921,Shamela0023735-ara1.mARkdown,127,533,Shamela0023735,0626YaqutHamawi.MucjamBuldan,287,f,f
-7759698290141518522,-2541181688625632309,187494,258,9602,JK009266-ara1,1234,1456,JK009266,0800IbnCadilHanbali.LubabFiCulumKitab,287,f,f
-846031782632911504,-2541181688625632309,187494,258,9603,JK009266-ara1,7,1500,JK009266,0800IbnCadilHanbali.LubabFiCulumKitab,287,f,f
6667170518756736408,-2541181688625632309,187494,258,9604,JK009266-ara1,1,590,JK009266,0800IbnCadilHanbali.LubabFiCulumKitab,287,f,f
1115714661450151291,-7232494376641847335,187494,258,6811,Shia002616Vols-ara1,5,502,Shia002616Vols,0671AbuCabdAllahQurtubi.JamicLiAhkamQuran,287,f,f
5077498465658692224,-7232494376641847335,187494,258,7324,Shia002616Vols-ara1,1,210,Shia002616Vols,0671AbuCabdAllahQurtubi.JamicLiAhkamQuran,287,f,f
4625748851177854131,-7232494376641847335,187494,258,6810,Shia002616Vols-ara1,51,1533,Shia002616Vols,0671AbuCabdAllahQurtubi.JamicLiAhkamQuran,287,f,f
