uid,gid,cluster,size,seq,series,begin,end,id,book,tagged-text-ms,citation,cited_text
1297540861087222394,-6788471551444052522,506806142027,3,4189,Shamela0009783BK1-ara1.mARkdown,826,1509,Shamela0009783BK1,0310Tabari.Tarikh,2250,f,f
2719262717262837246,5274941812924222394,506806142027,3,2250,JK000911-ara1.mARkdown,11,744,JK000911,0630IbnAthirCizzDin.Kamil,2250,f,f
-4835218584542356581,-6788471551444052522,317827758969,3,4190,Shamela0009783BK1-ara1.mARkdown,6,995,Shamela0009783BK1,0310Tabari.Tarikh,2250,f,f
2719262717262837246,5274941812924222394,317827758969,3,2250,JK000911-ara1.mARkdown,610,1556,JK000911,0630IbnAthirCizzDin.Kamil,2250,f,f
-4835218584542356581,-6788471551444052522,317827758971,4,4190,Shamela0009783BK1-ara1.mARkdown,408,720,Shamela0009783BK1,0310Tabari.Tarikh,2250,f,f
2719262717262837246,5274941812924222394,317827758971,4,2250,JK000911-ara1.mARkdown,944,1225,JK000911,0630IbnAthirCizzDin.Kamil,2250,f,f
2834129210349676439,-227920819258606688,317827758971,4,1039,Shamela0012396-ara1.completed,672,972,Shamela0012396,0421Miskawayh.Tajarib,2250,f,f
7329882936500825567,5274941812924222394,377957307758,3,2251,JK000911-ara1.mARkdown,1265,1576,JK000911,0630IbnAthirCizzDin.Kamil,2251,f,f
-316388322723012050,-227920819258606688,377957307758,3,1041,Shamela0012396-ara1.completed,1,288,Shamela0012396,0421Miskawayh.Tajarib,2251,f,f
840156358083366412,782582721729205936,377957307758,3,871,Kraken210528100217-ara1,1,311,Kraken210528100217,0334Azdi.TarikhMawsil,2251,f,f
-4592202842600098889,-6788471551444052522,111669342287,3,4192,Shamela0009783BK1-ara1.mARkdown,8,1130,Shamela0009783BK1,0310Tabari.Tarikh,2251,f,f
7329882936500825567,5274941812924222394,111669342287,3,2251,JK000911-ara1.mARkdown,819,1576,JK000911,0630IbnAthirCizzDin.Kamil,2251,f,f
7329882936500825567,5274941812924222394,94489455440,2,2251,JK000911-ara1.mARkdown,1,1265,JK000911,0630IbnAthirCizzDin.Kamil,2251,f,f
7243547568865464944,782582721729205936,94489455440,2,870,Kraken210528100217-ara1,281,1557,Kraken210528100217,0334Azdi.TarikhMawsil,2251,f,f
-5788959007028883852,-6788471551444052522,128849114613,3,4191,Shamela0009783BK1-ara1.mARkdown,570,1546,Shamela0009783BK1,0310Tabari.Tarikh,2251,f,f
7329882936500825567,5274941812924222394,128849114613,3,2251,JK000911-ara1.mARkdown,363,915,JK000911,0630IbnAthirCizzDin.Kamil,2251,f,f
7329882936500825567,5274941812924222394,386547263975,2,2251,JK000911-ara1.mARkdown,570,1321,JK000911,0630IbnAthirCizzDin.Kamil,2251,f,f
3244700734326646492,-227920819258606688,386547263975,2,1040,Shamela0012396-ara1.completed,400,1555,Shamela0012396,0421Miskawayh.Tajarib,2251,f,f
-6372345917612374461,5274941812924222394,103079323904,2,2252,JK000911-ara1.mARkdown,1,1389,JK000911,0630IbnAthirCizzDin.Kamil,2252,f,f
840156358083366412,782582721729205936,103079323904,2,871,Kraken210528100217-ara1,311,1610,Kraken210528100217,0334Azdi.TarikhMawsil,2252,f,f
7827082647716278927,-6788471551444052522,103079323905,3,4193,Shamela0009783BK1-ara1.mARkdown,120,1559,Shamela0009783BK1,0310Tabari.Tarikh,2252,f,f
-6372345917612374461,5274941812924222394,103079323905,3,2252,JK000911-ara1.mARkdown,255,1188,JK000911,0630IbnAthirCizzDin.Kamil,2252,f,f
-6372345917612374461,5274941812924222394,103079323908,2,2252,JK000911-ara1.mARkdown,1,286,JK000911,0630IbnAthirCizzDin.Kamil,2252,f,f
5054704276898769436,-6788471551444052522,25769884699,4,4194,Shamela0009783BK1-ara1.mARkdown,65,626,Shamela0009783BK1,0310Tabari.Tarikh,2252,f,f
-6372345917612374461,5274941812924222394,25769884699,4,2252,JK000911-ara1.mARkdown,1145,1579,JK000911,0630IbnAthirCizzDin.Kamil,2252,f,f
-7678615446628343952,-227920819258606688,25769884699,4,1042,Shamela0012396-ara1.completed,349,1027,Shamela0012396,0421Miskawayh.Tajarib,2252,f,f
-6372345917612374461,5274941812924222394,103079323906,2,2252,JK000911-ara1.mARkdown,1,805,JK000911,0630IbnAthirCizzDin.Kamil,2252,f,f
-316388322723012050,-227920819258606688,103079323906,2,1041,Shamela0012396-ara1.completed,288,1628,Shamela0012396,0421Miskawayh.Tajarib,2252,f,f
2651139637147449027,-166781166239542393,85899386588,4,5054,Shamela0010283-ara1.mARkdown,1,795,Shamela0010283,0733Nuwayri.NihayatArab,2253,f,f
8183318109909967246,8837120293157966538,85899386588,4,3134,Shamela19Y0145334-ara1,190,1350,Shamela19Y0145334,0845Maqrizi.Muqaffa,2253,f,f
