uid,gid,cluster,size,seq,series,begin,end,id,book,tagged-text-ms,citation,cited_text
4396881702889824198,-166781166239542393,120259202585,3,4480,Shamela0010283-ara1.mARkdown,1182,1446,Shamela0010283,0733Nuwayri.NihayatArab,1202,f,f
-9046620760103682516,5274941812924222394,120259202585,3,1202,JK000911-ara1.mARkdown,1,313,JK000911,0630IbnAthirCizzDin.Kamil,1202,f,f
-9046620760103682516,5274941812924222394,420906847762,2,1202,JK000911-ara1.mARkdown,439,1308,JK000911,0630IbnAthirCizzDin.Kamil,1202,f,f
-7924014465534093635,123874200777305674,420906847762,2,19,Shia003665-ara1,399,1403,Shia003665,0157AbuMikhnafAzdi.MaqtalHusayn,1202,f,f
-9046620760103682516,5274941812924222394,231928366397,4,1202,JK000911-ara1.mARkdown,27,545,JK000911,0630IbnAthirCizzDin.Kamil,1202,f,f
1161120920911560445,6775594777709934334,231928366397,4,791,Shia003675Vols-ara1.completed,144,698,Shia003675Vols,0314IbnActhamKufi.Futuh,1202,f,f
7768191990321536502,5649327798106858705,231928366397,4,179,Shia003075-ara1.completed,938,1506,Shia003075,0282AbuHanifaDinawari.AkhbarTiwal,1202,f,f
7103935975302405471,-166781166239542393,94489498178,16,4481,Shamela0010283-ara1.mARkdown,538,889,Shamela0010283,0733Nuwayri.NihayatArab,1202,f,f
-4454253956677946867,-6788471551444052522,94489498178,16,2308,Shamela0009783BK1-ara1.mARkdown,1,174,Shamela0009783BK1,0310Tabari.Tarikh,1202,f,f
7712721295513457891,-6788471551444052522,94489498178,16,2307,Shamela0009783BK1-ara1.mARkdown,1228,1577,Shamela0009783BK1,0310Tabari.Tarikh,1202,f,f
-9046620760103682516,5274941812924222394,94489498178,16,1202,JK000911-ara1.mARkdown,957,1308,JK000911,0630IbnAthirCizzDin.Kamil,1202,f,f
-3952067195391209941,6775594777709934334,94489498178,16,792,Shia003675Vols-ara1.completed,653,1018,Shia003675Vols,0314IbnActhamKufi.Futuh,1202,f,f
