uid,gid,cluster,size,seq,series,begin,end,id,book,tagged-text-ms,citation,cited_text
8694359077304213102,3697653286825626163,103079406663,3,6204,Sham19Y0013252-ara1,137,682,Sham19Y0013252,0804IbnMulaqqin.Tawdih,886,f,f
3637036973622600315,7053677781369184983,103079406663,3,1601,Sham19Y0013241-ara1,484,1186,Sham19Y0013241,0606IbnAthirMajdDin.Shafi,886,f,f
-2762369449286984988,5274941812924222394,103079406663,3,886,JK000911-ara1.mARkdown,260,671,JK000911,0630IbnAthirCizzDin.Kamil,886,f,f
801826393062696101,-7012536273894343423,223338519392,3,7854,JK000916-ara1.mARkdown,212,1124,JK000916,0571IbnCasakir.TarikhDimashq,886,f,f
-2762369449286984988,5274941812924222394,223338519392,3,886,JK000911-ara1.mARkdown,919,1509,JK000911,0630IbnAthirCizzDin.Kamil,886,f,f
-2762369449286984988,5274941812924222394,68719549589,2,886,JK000911-ara1.mARkdown,933,1197,JK000911,0630IbnAthirCizzDin.Kamil,886,f,f
-2762369449286984988,5274941812924222394,506806338030,2,886,JK000911-ara1.mARkdown,1,866,JK000911,0630IbnAthirCizzDin.Kamil,886,f,f
-3329783610808205006,-2692165312956277769,51539618689,4,733,ShamAY0034005-ara1,590,844,ShamAY0034005,0517AbuNucaymHaddadIsbahani.JamicSahihayn,886,f,f
2259154732098344745,-3825719789097747589,51539618689,4,1296,Shia002003Vols-ara1,886,1167,Shia002003Vols,0321AbuJacfarTahawi.SharhMacaniAthar,886,f,f
6202820037786399457,-3655047984194548971,51539618689,4,7198,ShamAY0034249-ara1,761,1031,ShamAY0034249,0450AbuHasanMawardi.HawiKabir,886,f,f
-2762369449286984988,5274941812924222394,51539618689,4,886,JK000911-ara1.mARkdown,298,482,JK000911,0630IbnAthirCizzDin.Kamil,886,f,f
-2185161579583157799,-166781166239542393,42949886465,7,4222,Shamela0010283-ara1.mARkdown,904,1086,Shamela0010283,0733Nuwayri.NihayatArab,887,f,f
-3641063796202998865,7286496044364560739,42949886465,7,3670,Shia002185Vols-ara1.completed,702,973,Shia002185Vols,0656IbnAbiHadid.SharhNahjBalagha,887,f,f
1910512479700285763,-1565415704678795426,42949886465,7,6288,JK003609-ara1.mARkdown,861,1014,JK003609,0764Safadi.WafiBiWafayat,887,f,f
