uid,gid,cluster,size,seq,series,begin,end,id,book,tagged-text-ms,citation,cited_text
-2162750325310840930,-6874650876450955628,128849183399,4,1244,Shamela0012320-ara1.completed,1379,1569,Shamela0012320,0808IbnKhaldun.Tarikh,755,f,f
-9008661463770502566,-6788471551444052522,128849183399,4,1497,Shamela0009783BK1-ara1.mARkdown,1,346,Shamela0009783BK1,0310Tabari.Tarikh,755,f,f
974158497319472415,5274941812924222394,128849183399,4,755,JK000911-ara1.mARkdown,1400,1622,JK000911,0630IbnAthirCizzDin.Kamil,755,f,f
-4973259705562938067,5274941812924222394,223338442975,2,756,JK000911-ara1.mARkdown,646,1499,JK000911,0630IbnAthirCizzDin.Kamil,756,f,f
6922750036938949151,-166781166239542393,25618,34,4051,Shamela0010283-ara1.mARkdown,821,1205,Shamela0010283,0733Nuwayri.NihayatArab,756,f,f
-5590303040532388982,-166781166239542393,25618,34,4163,Shamela0010283-ara1.mARkdown,215,825,Shamela0010283,0733Nuwayri.NihayatArab,756,f,f
2039950246557628869,-5846110217919951192,25618,34,948,Shamela0012406-ara1.mARkdown,279,538,Shamela0012406,0597IbnJawzi.Muntazam,756,f,f
343412386045407714,-5846110217919951192,25618,34,861,Shamela0012406-ara1.mARkdown,1468,1574,Shamela0012406,0597IbnJawzi.Muntazam,756,f,f
-3259760587212934344,-5846110217919951192,25618,34,959,Shamela0012406-ara1.mARkdown,301,531,Shamela0012406,0597IbnJawzi.Muntazam,756,f,f
-5204517508678277384,-5846110217919951192,25618,34,923,Shamela0012406-ara1.mARkdown,171,500,Shamela0012406,0597IbnJawzi.Muntazam,756,f,f
-216617036100975041,-5846110217919951192,25618,34,984,Shamela0012406-ara1.mARkdown,437,821,Shamela0012406,0597IbnJawzi.Muntazam,756,f,f
7548741957030775655,-750648574121750056,25618,34,794,Shamela0010906-ara1.mARkdown,1235,1523,Shamela0010906,0748Dhahabi.SiyarAclamNubala,756,f,f
-5654861034751319043,5283840752347635461,25618,34,793,Shamela0035100-ara1.mARkdown,543,810,Shamela0035100,0748Dhahabi.TarikhIslam,756,f,f
8760924066286329216,5411657526454856293,25618,34,1672,SHAM19Y23644-ara1,825,1118,SHAM19Y23644,0654SibtIbnJawzi.MiratZaman,756,f,f
3777425673225196654,5411657526454856293,25618,34,1701,SHAM19Y23644-ara1,670,1044,SHAM19Y23644,0654SibtIbnJawzi.MiratZaman,756,f,f
-3952131004868511361,-7266244383407263105,25618,34,3207,Shamela0004445-ara1.completed,172,1060,Shamela0004445,0774IbnKathir.Bidaya,756,f,f
-9089233841237013293,-7266244383407263105,25618,34,3225,Shamela0004445-ara1.completed,353,593,Shamela0004445,0774IbnKathir.Bidaya,756,f,f
8625189064877938692,-7266244383407263105,25618,34,3242,Shamela0004445-ara1.completed,1,600,Shamela0004445,0774IbnKathir.Bidaya,756,f,f
8281928577782237980,-6788471551444052522,25618,34,1596,Shamela0009783BK1-ara1.mARkdown,1189,1524,Shamela0009783BK1,0310Tabari.Tarikh,756,f,f
5602827111584395365,-6788471551444052522,25618,34,1548,Shamela0009783BK1-ara1.mARkdown,117,1135,Shamela0009783BK1,0310Tabari.Tarikh,756,f,f
5423977284792205136,-6788471551444052522,25618,34,1518,Shamela0009783BK1-ara1.mARkdown,1011,1355,Shamela0009783BK1,0310Tabari.Tarikh,756,f,f
-9008661463770502566,-6788471551444052522,25618,34,1497,Shamela0009783BK1-ara1.mARkdown,228,728,Shamela0009783BK1,0310Tabari.Tarikh,756,f,f
-96478277440261781,-6788471551444052522,25618,34,1349,Shamela0009783BK1-ara1.mARkdown,784,1198,Shamela0009783BK1,0310Tabari.Tarikh,756,f,f
