uid,gid,cluster,size,seq,series,begin,end,id,book,tagged-text-ms,citation,cited_text
3504362697922059270,5274941812924222394,34359925437,2,455,JK000911-ara1.mARkdown,1,327,JK000911,0630IbnAthirCizzDin.Kamil,455,f,f
3504362697922059270,5274941812924222394,34359925439,2,455,JK000911-ara1.mARkdown,1,327,JK000911,0630IbnAthirCizzDin.Kamil,455,f,f
-3772150225828881990,-474463782824806512,34359925439,2,3,Shamela0009862-ara2.mARkdown,666,855,Shamela0009862,0151IbnIshaq.Sira,455,f,f
-5012155306002469288,5049242056093930090,34359925428,2,81,Shamela0023833-ara1.completed,1,586,Shamela0023833,0213IbnHisham.SiraNabawiyya,455,f,f
3504362697922059270,5274941812924222394,34359925428,2,455,JK000911-ara1.mARkdown,623,961,JK000911,0630IbnAthirCizzDin.Kamil,455,f,f
-4147836629757857795,4203434267353763643,25769860990,3,52,Shamela0009773-ara1.mARkdown,41,1056,Shamela0009773,0279Baladhuri.AnsabAshraf,456,f,f
8706520746931212328,5274941812924222394,25769860990,3,456,JK000911-ara1.mARkdown,23,678,JK000911,0630IbnAthirCizzDin.Kamil,456,f,f
8706520746931212328,5274941812924222394,77309470758,2,456,JK000911-ara1.mARkdown,809,1053,JK000911,0630IbnAthirCizzDin.Kamil,456,f,f
-6535909107446550043,-5846110217919951192,25769860989,10,385,Shamela0012406-ara1.mARkdown,146,416,Shamela0012406,0597IbnJawzi.Muntazam,456,f,f
7469007960050108343,-3367271299713926267,25769860989,10,256,ShamAY0034447-ara1,1102,1443,ShamAY0034447,0842IbnNasirDinDimashqi.JamicAthar,456,f,f
-4147836629757857795,4203434267353763643,25769860989,10,52,Shamela0009773-ara1.mARkdown,69,580,Shamela0009773,0279Baladhuri.AnsabAshraf,456,f,f
-7841594235513621976,-6788471551444052522,25769860989,10,699,Shamela0009783BK1-ara1.mARkdown,278,754,Shamela0009783BK1,0310Tabari.Tarikh,456,f,f
8706520746931212328,5274941812924222394,25769860989,10,456,JK000911-ara1.mARkdown,151,533,JK000911,0630IbnAthirCizzDin.Kamil,456,f,f
-5724342935375054293,-4203281635626452882,25769860989,10,60,Shamela0001686-ara1.completed,237,723,Shamela0001686,0230IbnSacd.TabaqatKubra,456,f,f
-4303318663480445035,2824662143163386215,25769860989,10,93,Shamela0012205-ara1.mARkdown,1005,1224,Shamela0012205,0245MuhammadIbnHabib.Muhabbar,456,f,f
7245694622276158030,6276623995209582206,25769860989,10,49,Shia003458-ara1,832,1351,Shia003458,0245MuhammadIbnHabib.MunammaqFiAkhbarQuraysh,456,f,f
2086817658857716020,-166781166239542393,171798874251,4,3123,Shamela0010283-ara1.mARkdown,964,1173,Shamela0010283,0733Nuwayri.NihayatArab,456,f,f
6376169539774172114,3697046081876822068,171798874251,4,595,Shamela0008362-ara1,105,241,Shamela0008362,0832AbuTayyibFasi.ShifaGharam,456,f,f
8706520746931212328,5274941812924222394,171798874251,4,456,JK000911-ara1.mARkdown,1314,1515,JK000911,0630IbnAthirCizzDin.Kamil,456,f,f
4120981328836212547,-5846110217919951192,154618906368,8,382,Shamela0012406-ara1.mARkdown,1052,1548,Shamela0012406,0597IbnJawzi.Muntazam,456,f,f
-485329944819388649,-6788471551444052522,154618906368,8,698,Shamela0009783BK1-ara1.mARkdown,137,889,Shamela0009783BK1,0310Tabari.Tarikh,456,f,f
8706520746931212328,5274941812924222394,154618906368,8,456,JK000911-ara1.mARkdown,924,1493,JK000911,0630IbnAthirCizzDin.Kamil,456,f,f
482743112660390767,2220257589763148603,154618906368,8,511,Shamela0012929-ara1,624,1196,Shamela0012929,0518IbnMuhammadMaydaniNaysaburi.MucjamAmthal,456,f,f
-118777513301827883,-2349321651087982154,154618906368,8,103,JK000975-ara1,197,576,JK000975,0538JarAllahZamakhshari.MustaqsaFiAmthal,456,f,f
