uid,gid,cluster,size,seq,series,begin,end,id,book,tagged-text-ms,citation,cited_text
5901648688932245243,-6788471551444052522,180388761194,3,2553,Shamela0009783BK1-ara1.mARkdown,1,1211,Shamela0009783BK1,0310Tabari.Tarikh,1328,f,f
-3739731432481290072,5274941812924222394,180388761194,3,1328,JK000911-ara1.mARkdown,285,1097,JK000911,0630IbnAthirCizzDin.Kamil,1328,f,f
-1437932720317128192,-166781166239542393,489626452508,2,4606,Shamela0010283-ara1.mARkdown,1022,1531,Shamela0010283,0733Nuwayri.NihayatArab,1328,f,f
-3739731432481290072,5274941812924222394,489626452508,2,1328,JK000911-ara1.mARkdown,1,540,JK000911,0630IbnAthirCizzDin.Kamil,1328,f,f
1242354018324113666,-166781166239542393,51539721372,4,4607,Shamela0010283-ara1.mARkdown,1,612,Shamela0010283,0733Nuwayri.NihayatArab,1328,f,f
6222563156848023428,-6788471551444052522,51539721372,4,2554,Shamela0009783BK1-ara1.mARkdown,308,1173,Shamela0009783BK1,0310Tabari.Tarikh,1328,f,f
-3739731432481290072,5274941812924222394,51539721372,4,1328,JK000911-ara1.mARkdown,1054,1555,JK000911,0630IbnAthirCizzDin.Kamil,1328,f,f
4103392652086305393,-6788471551444052522,463856568454,3,2552,Shamela0009783BK1-ara1.mARkdown,1094,1457,Shamela0009783BK1,0310Tabari.Tarikh,1328,f,f
-3739731432481290072,5274941812924222394,463856568454,3,1328,JK000911-ara1.mARkdown,1,291,JK000911,0630IbnAthirCizzDin.Kamil,1328,f,f
1242354018324113666,-166781166239542393,51539721374,4,4607,Shamela0010283-ara1.mARkdown,855,1170,Shamela0010283,0733Nuwayri.NihayatArab,1329,f,f
-5407713039058942485,-5846110217919951192,51539721374,4,1405,Shamela0012406-ara1.mARkdown,444,721,Shamela0012406,0597IbnJawzi.Muntazam,1329,f,f
-8302773470706601504,784474866936621015,51539721374,4,131,JK001330-ara1.mARkdown,728,1055,JK001330,0874IbnTaghribirdi.NujumZahira,1329,f,f
8791346474269651526,5274941812924222394,51539721374,4,1329,JK000911-ara1.mARkdown,1102,1420,JK000911,0630IbnAthirCizzDin.Kamil,1329,f,f
-8529915545455281823,-6788471551444052522,214748381898,3,2555,Shamela0009783BK1-ara1.mARkdown,15,526,Shamela0009783BK1,0310Tabari.Tarikh,1329,f,f
