,date,Distinct count,percent,rank,first_century_eq,first_century_freq,total,Total percentage
0,796,3,5.0,0.0,n/a,n/a,3.0,5.0
1,808,3,5.0,1.0,n/a,n/a,3.0,5.0
2,806,3,5.0,2.0,n/a,n/a,3.0,5.0
3,354,2,3.333,3.0,n/a,n/a,2.0,3.333
4,397,2,3.333,4.0,n/a,n/a,2.0,3.333
5,798,2,3.333,5.0,n/a,n/a,2.0,3.333
6,807,2,3.333,6.0,007,1,3.0,5.0
7,120,1,1.667,7.0,020,1,2.0,3.333
8,695,1,1.667,8.0,n/a,n/a,1.0,1.667
9,736,1,1.667,9.0,n/a,n/a,1.0,1.667
10,776,1,1.667,10.0,n/a,n/a,1.0,1.667
11,801,1,1.667,11.0,n/a,n/a,1.0,1.667
12,802,1,1.667,12.0,002,1,2.0,3.333
13,797,1,1.667,13.0,n/a,n/a,1.0,1.667
14,018,1,1.667,14.0,,,,
15,106,1,1.667,15.0,n/a,n/a,1.0,1.667
16,178,1,1.667,16.0,n/a,n/a,1.0,1.667
17,126,1,1.667,17.0,n/a,n/a,1.0,1.667
18,158,1,1.667,18.0,n/a,n/a,1.0,1.667
19,696,1,1.667,19.0,n/a,n/a,1.0,1.667
20,184,1,1.667,20.0,n/a,n/a,1.0,1.667
21,total,60,100.0,,n/a,n/a,60.0,100.0
