date,Distinct count,percent,rank
796,3,5.0,0
808,3,5.0,1
806,3,5.0,2
354,2,3.333,3
397,2,3.333,4
798,2,3.333,5
807,2,3.333,6
120,1,1.667,7
695,1,1.667,8
736,1,1.667,9
776,1,1.667,10
801,1,1.667,11
802,1,1.667,12
797,1,1.667,13
018,1,1.667,14
106,1,1.667,15
178,1,1.667,16
126,1,1.667,17
158,1,1.667,18
696,1,1.667,19
184,1,1.667,20
191,1,1.667,21
029,1,1.667,22
064,1,1.667,23
016,1,1.667,24
020,1,1.667,25
622,1,1.667,26
694,1,1.667,27
457,1,1.667,28
007,1,1.667,29
358,1,1.667,30
087,1,1.667,31
338,1,1.667,32
341,1,1.667,33
343,1,1.667,34
350,1,1.667,35
353,1,1.667,36
355,1,1.667,37
356,1,1.667,38
360,1,1.667,39
596,1,1.667,40
361,1,1.667,41
387,1,1.667,42
395,1,1.667,43
398,1,1.667,44
399,1,1.667,45
444,1,1.667,46
447,1,1.667,47
002,1,1.667,48
005,1,1.667,49
