,Date,distinct_count,first_century_eq,first_century_freq
0,000,946,None,0
1,806,75,006,9
2,010,28,None,0
3,020,27,None,0
4,700,25,000,946
5,790,23,090,8
6,358,22,058,8
7,516,21,016,6
8,725,19,025,6
9,567,19,067,6
10,780,19,080,9
11,065,18,None,0
