uid,gid,cluster,size,seq,series,begin,end,id,book
2551292277402863457,2271800227472581094,335007597442,2,3704,Kraken210630005153-ara1,118,838,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
8565823267085835849,2271800227472581094,455266725455,3,1502,Kraken210630005153-ara1,254,387,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
-2879430472595545765,2271800227472581094,498216342177,2,1976,Kraken210630005153-ara1,968,1482,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
4804892287612933168,2271800227472581094,352187526890,2,2242,Kraken210630005153-ara1,52,526,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
4804892287612933168,2271800227472581094,515396088343,2,2242,Kraken210630005153-ara1,1033,1242,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
4804892287612933168,2271800227472581094,317827707983,2,2242,Kraken210630005153-ara1,1346,1717,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
-4874364426283050895,2271800227472581094,188978787407,8,7841,Kraken210630005153-ara1,5,894,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
-4874364426283050895,2271800227472581094,231928412903,7,7841,Kraken210630005153-ara1,708,945,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
-8402615189760889837,2271800227472581094,171798744017,3,7840,Kraken210630005153-ara1,15,962,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
-8402615189760889837,2271800227472581094,77309556037,6,7840,Kraken210630005153-ara1,1128,1565,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
-8402615189760889837,2271800227472581094,77309556042,7,7840,Kraken210630005153-ara1,767,1481,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
-8402615189760889837,2271800227472581094,77309556035,3,7840,Kraken210630005153-ara1,924,1565,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
-8402615189760889837,2271800227472581094,77309556041,9,7840,Kraken210630005153-ara1,134,286,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
5237657790652482138,2271800227472581094,60129644024,2,4593,Kraken210630005153-ara1,23,203,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
-1166804776739872517,2271800227472581094,214748529322,2,1972,Kraken210630005153-ara1,1048,1485,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
2656509322219091596,2271800227472581094,68719517408,17,1361,Kraken210630005153-ara1,806,1614,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
-796452205815443564,2271800227472581094,103079222827,2,2215,Kraken210630005153-ara1,898,1380,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
-796452205815443564,2271800227472581094,68719666863,4,2215,Kraken210630005153-ara1,1171,1380,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
-4779048130514671226,2271800227472581094,163208903581,2,1217,Kraken210630005153-ara1,554,1557,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
3720281060282719723,2271800227472581094,25769969143,8,4692,Kraken210630005153-ara1,1205,1525,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
254498910704409694,2271800227472581094,8590098698,14,4516,Kraken210630005153-ara1,1,815,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
4800228711860793298,2271800227472581094,180388748958,2,7802,Kraken210630005153-ara1,646,1134,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
7825880974040677624,2271800227472581094,197568697561,2,2366,Kraken210630005153-ara1,43,1042,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
-1706523985966463128,2271800227472581094,360777312490,3,6493,Kraken210630005153-ara1,151,1274,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
-1706523985966463128,2271800227472581094,360777312489,2,6493,Kraken210630005153-ara1,1,1486,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
-2195341407228373416,2271800227472581094,8590075291,2,1958,Kraken210630005153-ara1,1155,1520,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
-6321724394880859706,2271800227472581094,446676607902,2,1955,Kraken210630005153-ara1,707,924,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar
