cluster,size,seq,series,begin,end,id,book,author,ch_len
463856582286,2,1266,Shamela0006667-ara1.mARkdown,757,1145,Shamela0006667,0845Maqrizi.Suluk,0845Maqrizi,388
204160,3,294,Shamela0006667-ara1.mARkdown,534,1674,Shamela0006667,0845Maqrizi.Suluk,0845Maqrizi,1140
472446500905,2,287,Shamela0006667-ara1.mARkdown,55,1165,Shamela0006667,0845Maqrizi.Suluk,0845Maqrizi,1110
34359784669,2,115,Shamela0006667-ara1.mARkdown,1223,1423,Shamela0006667,0845Maqrizi.Suluk,0845Maqrizi,200
130465,2,124,Shamela0006667-ara1.mARkdown,85,1263,Shamela0006667,0845Maqrizi.Suluk,0845Maqrizi,1178
274877952890,2,221,Shamela0006667-ara1.mARkdown,630,1471,Shamela0006667,0845Maqrizi.Suluk,0845Maqrizi,841
68719596653,2,2200,Shamela0006667-ara1.mARkdown,646,1621,Shamela0006667,0845Maqrizi.Suluk,0845Maqrizi,975
197568687204,2,73,Shamela0006667-ara1.mARkdown,928,1355,Shamela0006667,0845Maqrizi.Suluk,0845Maqrizi,427
197568687205,2,73,Shamela0006667-ara1.mARkdown,666,947,Shamela0006667,0845Maqrizi.Suluk,0845Maqrizi,281
137439162934,2,750,Shamela0006667-ara1.mARkdown,333,1385,Shamela0006667,0845Maqrizi.Suluk,0845Maqrizi,1052
111669197346,2,2251,Shamela0006667-ara1.mARkdown,673,864,Shamela0006667,0845Maqrizi.Suluk,0845Maqrizi,191
223338349612,2,138,Shamela0006667-ara1.mARkdown,834,1116,Shamela0006667,0845Maqrizi.Suluk,0845Maqrizi,282
420906957293,2,138,Shamela0006667-ara1.mARkdown,1,619,Shamela0006667,0845Maqrizi.Suluk,0845Maqrizi,618
429496843914,2,1134,Shamela0006667-ara1.mARkdown,570,1126,Shamela0006667,0845Maqrizi.Suluk,0845Maqrizi,556
51539784572,2,508,Shamela0006667-ara1.mARkdown,1199,1535,Shamela0006667,0845Maqrizi.Suluk,0845Maqrizi,336
17179921461,2,222,Shamela0006667-ara1.mARkdown,615,1074,Shamela0006667,0845Maqrizi.Suluk,0845Maqrizi,459
163208766903,2,90,Shamela0006667-ara1.mARkdown,335,488,Shamela0006667,0845Maqrizi.Suluk,0845Maqrizi,153
523986177467,2,2201,Shamela0006667-ara1.mARkdown,1,292,Shamela0006667,0845Maqrizi.Suluk,0845Maqrizi,291
386547235188,3,3390,Shia003616Vols-ara1,1,214,Shia003616Vols,0845Maqrizi.ImtacAsmac,0845Maqrizi,213
652835085542,2,3390,Shia003616Vols-ara1,1060,1525,Shia003616Vols,0845Maqrizi.ImtacAsmac,0845Maqrizi,465
652835085543,2,3390,Shia003616Vols-ara1,774,1060,Shia003616Vols,0845Maqrizi.ImtacAsmac,0845Maqrizi,286
309237713133,3,3389,Shia003616Vols-ara1,1260,1582,Shia003616Vols,0845Maqrizi.ImtacAsmac,0845Maqrizi,322
174022,2,3247,Shia003616Vols-ara1,1,1123,Shia003616Vols,0845Maqrizi.ImtacAsmac,0845Maqrizi,1122
51539763992,2,229,Shamela0000176-ara1.completed,731,1275,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,544
128849211964,2,485,Shamela0000176-ara1.completed,1003,1366,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,363
60129608771,2,496,Shamela0000176-ara1.completed,246,1296,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,1050
60129608772,3,496,Shamela0000176-ara1.completed,315,930,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,615
60129544728,3,496,Shamela0000176-ara1.completed,930,1185,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,255
25769994874,2,361,Shamela0000176-ara1.completed,289,749,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,460
25769994872,2,361,Shamela0000176-ara1.completed,289,1321,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,1032
317827624824,2,55,Shamela0000176-ara1.completed,1276,1516,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,240
412316951495,2,55,Shamela0000176-ara1.completed,1,1276,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,1275
498216261314,2,495,Shamela0000176-ara1.completed,277,1224,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,947
300647877794,2,464,Shamela0000176-ara1.completed,758,1018,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,260
171798825724,2,23,Shamela0000176-ara1.completed,1123,1668,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,545
240518250795,2,405,Shamela0000176-ara1.completed,422,655,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,233
369367367149,2,530,Shamela0000176-ara1.completed,582,749,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,167
171798823746,2,381,Shamela0000176-ara1.completed,1401,1633,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,232
34359841043,2,381,Shamela0000176-ara1.completed,206,501,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,295
420906952217,2,590,Shamela0000176-ara1.completed,703,1477,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,774
240518300705,2,380,Shamela0000176-ara1.completed,11,1194,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,1183
240518300704,2,380,Shamela0000176-ara1.completed,987,1608,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,621
85899397428,2,56,Shamela0000176-ara1.completed,1293,1598,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,305
85899397426,2,56,Shamela0000176-ara1.completed,17,468,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,451
94489370755,3,446,Shamela0000176-ara1.completed,1,1096,Shamela0000176,0845Maqrizi.ItticazHunafa,0845Maqrizi,1095
