,Text,id,ch_start_tar,ch_end_tar,source_book_ms,book_count,cluster
0,Other,n/a,6270,6290,0,1,146028998485
1,0845Maqrizi.ItticazHunafa,Shamela0000176,16411,17283,330,1,17179948418
2,0845Maqrizi.Muqaffa,Shamela19Y0145334,16411,17283,1307,1,17179948418
3,0845Maqrizi.Muqaffa,Shamela19Y0145334,17958,18858,1308,1,34359929871
4,0845Maqrizi.ItticazHunafa,Shamela0000176,18174,18831,331,1,34359929872
5,0845Maqrizi.Mawaciz,Shamela0011566,18174,18831,1048,1,34359929872
6,0845Maqrizi.Mawaciz,Shamela0011566,18174,18831,252,1,34359929872
7,0845Maqrizi.Muqaffa,Shamela19Y0145334,18174,18831,1308,1,34359929872
8,0845Maqrizi.Muqaffa,Shamela19Y0145334,18875,19504,1308,1,326417664962
9,0845Maqrizi.ItticazHunafa,Shamela0000176,18974,19861,331,1,386547246280
10,0845Maqrizi.Muqaffa,Shamela19Y0145334,19535,19879,1309,1,146028931424
11,0845Maqrizi.ItticazHunafa,Shamela0000176,19898,20442,331,1,146028931423
12,0845Maqrizi.Muqaffa,Shamela19Y0145334,19898,20442,1309,1,146028931423
13,0845Maqrizi.ItticazHunafa,Shamela0000176,20600,21256,359,1,515396256111
14,0845Maqrizi.ItticazHunafa,Shamela0000176,21874,22574,360,1,214748386730
15,0845Maqrizi.ItticazHunafa,Shamela0000176,23926,24307,384,1,420907018139
16,0845Maqrizi.ItticazHunafa,Shamela0000176,24333,25068,385,1,481036357845
17,0845Maqrizi.Rasail,Shamela0010710,49809,50323,124,1,386547088881
18,0845Maqrizi.Rasail,Shamela0010710,50377,50593,124,1,575525779341
19,0845Maqrizi.Rasail,Shamela0010710,51682,52425,111,1,317827602538
20,Other,n/a,51682,52425,0,3,317827602538
21,Other,n/a,51852,52039,0,1,78438
22,0845Maqrizi.Rasail,Shamela0010710,52626,53234,111,1,317827602537
23,0845Maqrizi.Rasail,Shamela0010710,53383,53678,111,1,42949677374
24,0845Maqrizi.Rasail,Shamela0010710,53999,54646,112,1,128849044739
25,0845Maqrizi.Rasail,Shamela0010710,54902,55581,113,1,17179951914
26,Other,n/a,55800,56183,0,6,34359820808
27,Other,n/a,55819,56557,0,4,137439038522
28,0845Maqrizi.Rasail,Shamela0010710,56792,57295,113,1,309237827202
29,0845Maqrizi.Rasail,Shamela0010710,57270,57577,114,1,627065431380
30,0845Maqrizi.Rasail,Shamela0010710,57733,58909,114,1,472446549554
31,Other,n/a,57800,58036,0,1,472446549556
32,0845Maqrizi.Rasail,Shamela0010710,58195,58965,114,1,472446549555
33,Other,n/a,58195,58965,0,1,472446549555
34,0845Maqrizi.Rasail,Shamela0010710,59054,60014,115,1,283467942723
35,0845Maqrizi.Rasail,Shamela0010710,60032,60556,115,1,343597591955
36,0845Maqrizi.Rasail,Shamela0010710,60574,61105,116,1,266288005289
37,0845Maqrizi.Rasail,Shamela0010710,60686,60960,116,1,266288005291
38,Other,n/a,60686,60960,0,1,266288005291
39,0845Maqrizi.Rasail,Shamela0010710,61123,62079,116,1,266288005288
40,Other,n/a,61471,62000,0,4,146028956347
41,0845Maqrizi.Rasail,Shamela0010710,62122,62599,116,1,85899422754
42,0845Maqrizi.Rasail,Shamela0010710,62579,63009,117,1,240518169594
43,0845Maqrizi.Rasail,Shamela0010710,63752,64599,117,1,85899422752
44,0845Maqrizi.Rasail,Shamela0010710,65628,66128,118,1,137438999034
45,0845Maqrizi.Rasail,Shamela0010710,66146,66521,118,1,111669205146
46,0845Maqrizi.Rasail,Shamela0010710,69705,70423,124,1,481036392299
47,Other,n/a,73094,73481,0,1,145081
