,Distinct count
301,1
300,1
311,1
332,1
334,1
356,1
360,1
367,1
372,1
376,1
379,1
415,1
416,1
435,1
440,1
425,1
455,1
065,1
485,1
511,1
513,1
525,1
530,1
541,1
547,1
550,1
055,1
532,1
558,1
067,1
568,1
569,1
560,1
570,1
571,1
573,1
074,1
366,1
544,1
082,1
499,1
584,1
492,1
086,1
587,1
087,1
588,1
589,1
567,1
591,1
540,1
537,1
593,1
594,1
595,1
505,1
596,1
507,1
598,1
599,1
601,1
604,1
605,1
611,1
520,1
616,1
619,1
621,1
622,1
548,1
627,1
631,1
632,1
951,1
900,1
634,1
037,1
400,1
967,1
978,1
654,1
667,1
679,1
692,1
695,1
696,1
001,1
711,1
714,1
716,1
653,1
722,1
727,1
728,1
733,1
735,1
014,1
736,1
738,1
740,1
743,1
747,1
753,1
755,1
044,1
045,1
756,1
062,1
871,1
063,1
776,1
170,1
781,1
697,1
785,1
787,1
792,1
099,1
794,1
075,1
795,1
796,1
789,1
809,1
811,1
011,1
813,1
817,1
015,1
819,1
822,1
772,1
826,1
019,1
829,1
830,1
831,1
832,1
833,1
835,1
836,1
837,1
838,1
842,1
023,2
024,2
029,2
038,2
048,2
549,2
051,2
432,2
581,2
072,2
073,2
574,2
575,2
078,2
081,2
582,2
583,2
083,2
585,2
088,2
007,2
092,2
093,2
620,2
597,2
603,2
565,2
606,2
607,2
612,2
614,2
669,2
617,2
626,2
628,2
642,2
651,2
662,2
077,2
672,2
674,2
676,2
076,2
677,2
678,2
681,2
682,2
718,2
686,2
688,2
689,2
090,2
698,2
699,2
633,2
706,2
707,2
712,2
717,2
719,2
721,2
723,2
724,2
729,2
663,2
730,2
731,2
734,2
002,2
739,2
043,2
673,2
749,2
049,2
752,2
754,2
762,2
763,2
764,2
768,2
771,2
773,2
775,2
777,2
779,2
788,2
797,2
798,2
799,2
802,2
804,2
805,2
814,2
013,2
823,2
816,2
818,2
821,2
827,2
828,2
758,2
034,2
839,2
656,3
022,3
047,3
027,3
028,3
054,3
056,3
580,3
071,3
070,3
576,3
577,3
578,3
079,3
085,3
586,3
091,3
094,3
097,3
602,3
608,3
609,3
610,3
732,3
615,3
016,3
053,3
624,3
635,3
639,3
641,3
644,3
648,3
668,3
069,3
649,3
650,3
652,3
657,3
005,3
666,3
670,3
683,3
684,3
685,3
701,3
705,3
713,3
720,3
035,3
737,3
742,3
745,3
746,3
748,3
751,3
760,3
761,3
765,3
766,3
769,3
770,3
782,3
783,3
784,3
786,3
820,3
808,3
815,3
824,3
825,3
834,3
659,4
026,4
064,4
003,4
098,4
021,4
032,4
600,4
660,4
671,4
613,4
030,4
625,4
630,4
636,4
637,4
658,4
661,4
664,4
687,4
690,4
006,4
702,4
703,4
704,4
709,4
012,4
715,4
726,4
025,4
500,4
744,4
750,4
757,4
759,4
059,4
774,4
790,4
791,4
801,4
806,4
807,4
033,4
840,4
020,5
052,5
590,5
050,5
592,5
008,5
040,5
618,5
623,5
640,5
638,5
039,5
645,5
646,5
655,5
665,5
675,5
693,5
700,5
725,5
741,5
060,5
778,5
780,5
810,5
812,5
036,6
096,6
647,6
018,6
629,6
803,6
680,6
767,6
691,7
708,7
710,7
800,7
694,8
017,8
004,8
100,9
010,22
000,1019
