,Distinct count
819,1
557,1
036,1
284,1
511,1
502,1
158,1
232,1
529,1
530,1
575,1
779,1
785,1
535,1
506,1
203,1
212,1
361,1
519,1
543,1
652,1
604,1
025,1
128,1
141,1
144,1
152,1
154,1
164,1
168,1
173,1
181,1
182,1
195,1
205,1
210,1
214,1
215,1
219,1
224,1
229,1
235,1
254,1
311,1
355,1
357,1
365,1
657,1
689,1
746,1
783,1
550,1
465,1
605,1
137,1
264,1
291,1
328,1
364,1
377,1
507,1
516,1
517,1
520,1
577,1
613,1
523,1
574,1
475,1
504,1
691,1
744,1
149,1
233,1
317,1
442,1
430,1
458,1
094,1
240,1
243,1
160,1
202,1
118,1
159,1
397,1
590,1
481,1
490,1
568,1
686,1
134,1
153,1
163,1
166,1
553,1
554,1
593,1
721,1
245,1
344,1
315,1
034,1
110,1
145,1
197,1
223,1
250,1
290,1
022,1
341,1
581,1
625,1
514,1
140,1
167,1
253,1
270,1
347,1
445,1
188,1
221,1
417,1
453,1
455,1
447,1
595,1
611,1
540,1
591,1
674,1
685,1
728,1
761,1
185,1
272,1
399,1
416,1
418,1
028,1
435,1
409,1
404,1
419,1
413,1
436,1
479,1
142,1
337,1
374,1
008,1
093,1
781,1
787,1
724,1
420,1
147,1
211,1
244,1
348,1
437,1
525,1
561,1
456,1
607,1
720,1
723,1
803,1
113,1
410,1
446,1
586,1
359,1
548,1
585,1
524,1
782,1
754,1
816,1
496,1
807,1
282,1
277,1
532,1
598,1
631,1
699,1
098,1
831,1
351,1
186,1
817,1
889,1
518,2
608,2
014,2
180,2
283,2
552,2
770,2
400,2
024,2
060,2
096,2
105,2
125,2
136,2
169,2
218,2
247,2
248,2
256,2
289,2
295,2
322,2
333,2
422,2
512,2
623,2
660,2
449,2
708,2
165,2
485,2
806,2
259,2
332,2
216,2
021,2
331,2
663,2
569,2
396,2
384,2
038,2
044,2
119,2
127,2
131,2
161,2
172,2
174,2
179,2
196,2
199,2
213,2
226,2
234,2
238,2
297,2
321,2
335,2
039,2
362,2
386,2
411,2
427,2
544,2
592,2
596,2
615,2
662,2
073,2
075,2
676,2
684,2
696,2
697,2
755,2
784,2
759,2
780,2
715,2
372,2
491,2
533,2
570,2
576,2
636,2
356,2
434,2
477,2
579,2
634,2
509,2
527,2
698,2
671,2
439,2
641,2
594,2
601,2
614,2
802,2
046,2
747,2
146,2
184,2
237,2
327,2
029,2
339,2
342,2
412,2
571,2
617,2
620,2
756,2
797,2
260,2
124,2
126,2
150,2
390,2
649,2
653,2
799,2
703,2
204,2
287,2
482,2
536,2
421,2
441,2
508,2
602,2
612,2
619,2
108,2
084,2
391,2
080,2
722,2
288,2
298,2
324,2
645,2
597,2
045,2
171,2
308,2
385,2
406,2
440,2
056,2
603,2
675,2
679,2
017,2
786,2
208,2
345,2
369,2
376,2
378,2
222,2
306,2
534,2
609,2
646,2
707,2
714,2
737,2
768,2
403,2
438,2
461,2
484,2
489,2
078,2
474,2
719,2
792,2
809,2
472,2
739,2
340,2
505,2
600,2
274,2
692,2
566,3
572,3
588,3
177,3
001,3
013,3
030,3
035,3
086,3
099,3
026,3
132,3
193,3
227,3
255,3
296,3
487,3
622,3
701,3
788,3
015,3
305,3
655,3
815,3
424,3
379,3
097,3
638,3
089,3
549,3
651,3
432,3
057,3
650,3
175,3
019,3
047,3
090,3
109,3
120,3
139,3
143,3
162,3
192,3
201,3
206,3
236,3
066,3
082,3
092,3
303,3
309,3
589,3
635,3
061,3
063,3
071,3
688,3
752,3
567,3
462,3
088,3
492,3
580,3
072,3
769,3
526,3
624,3
643,3
380,3
587,3
702,3
503,3
642,3
694,3
734,3
077,3
103,3
114,3
129,3
301,3
367,3
068,3
629,3
032,3
031,3
263,3
276,3
313,3
100,3
408,3
428,3
083,3
616,3
444,3
451,3
407,3
531,3
766,3
547,3
048,3
515,3
711,3
749,3
710,3
774,3
350,3
414,3
033,3
733,3
794,3
633,3
775,3
805,3
278,3
667,3
669,3
059,4
522,4
043,4
483,4
618,4
023,4
155,4
460,4
812,4
003,4
565,4
012,4
065,4
101,4
198,4
279,4
329,4
363,4
381,4
467,4
555,4
640,4
740,4
742,4
360,4
292,4
054,4
076,4
693,4
654,4
480,4
393,4
062,4
389,4
495,4
069,4
373,4
468,4
452,4
454,4
488,4
541,4
668,4
070,4
081,4
556,4
718,4
789,4
717,4
074,4
551,4
051,4
319,4
706,4
052,4
375,4
431,4
058,4
773,4
750,4
798,4
730,4
732,5
009,5
793,5
796,5
808,5
751,5
334,5
178,5
007,5
041,5
064,5
320,5
659,5
709,5
011,5
020,5
067,5
053,5
275,5
712,5
637,5
358,5
665,5
683,5
005,5
200,5
743,5
762,5
778,5
664,5
042,5
055,5
731,5
027,5
478,5
241,5
729,6
738,6
678,6
170,6
772,6
002,6
049,6
748,6
725,6
630,6
800,6
682,6
133,6
242,6
323,6
658,6
690,6
716,6
429,6
433,6
776,6
680,6
501,6
753,6
804,6
499,7
656,7
040,7
666,7
741,7
763,7
307,7
626,7
764,7
760,7
647,7
584,7
777,7
700,7
801,8
765,8
006,8
010,8
648,8
037,8
813,8
366,8
791,9
681,9
500,9
004,10
050,10
814,10
767,17
300,18
000,1505
