,Distinct count
008,1
165,1
187,1
214,1
218,1
463,1
167,1
511,1
225,1
579,1
562,1
196,1
202,1
207,1
209,1
377,1
249,1
571,1
159,1
837,1
674,1
116,1
343,1
545,1
646,1
166,1
583,1
422,1
900,1
497,1
274,1
498,1
102,1
108,1
125,1
135,1
154,1
155,1
158,1
168,1
171,1
173,1
174,1
177,1
179,1
183,1
224,1
226,1
228,1
229,1
234,1
220,1
293,1
321,1
446,1
454,1
464,1
268,1
288,1
306,1
322,1
333,1
341,1
317,1
427,1
495,1
484,1
477,1
479,1
428,1
369,1
352,1
491,1
447,1
425,1
512,1
373,1
297,1
559,1
394,1
886,1
617,1
625,1
582,1
148,1
514,1
552,1
788,1
601,1
598,1
609,1
833,1
272,1
370,1
606,1
371,1
503,1
553,1
429,1
189,1
231,1
246,1
283,1
295,1
326,1
273,1
589,1
842,1
872,1
901,1
904,1
175,1
294,1
257,1
438,1
445,1
804,1
118,1
376,1
359,1
414,1
409,1
462,1
805,1
556,1
843,1
757,1
831,1
830,1
110,1
188,1
184,1
163,1
144,1
285,1
437,1
629,1
654,1
613,1
641,1
618,1
772,1
605,1
763,1
782,1
262,1
632,1
627,1
505,1
642,1
645,1
129,1
433,1
574,1
542,1
443,1
535,1
458,1
453,1
561,1
252,1
432,1
474,1
840,1
424,1
315,1
112,1
227,1
235,1
244,1
325,1
160,1
328,2
356,2
543,2
506,2
156,2
215,2
510,2
222,2
483,2
611,2
248,2
578,2
673,2
212,2
261,2
554,2
011,2
348,2
397,2
190,2
610,2
124,2
349,2
509,2
550,2
614,2
490,2
616,2
339,2
418,2
367,2
243,2
208,2
277,2
351,2
502,2
534,2
103,2
104,2
131,2
136,2
152,2
170,2
172,2
176,2
180,2
181,2
192,2
195,2
198,2
237,2
270,2
309,2
312,2
539,2
296,2
298,2
280,2
319,2
411,2
046,2
546,2
560,2
621,2
485,2
465,2
459,2
787,2
396,2
679,2
372,2
492,2
528,2
310,2
781,2
375,2
731,2
764,2
374,2
705,2
765,2
759,2
783,2
779,2
689,2
699,2
667,2
620,2
704,2
439,2
452,2
410,2
407,2
541,2
313,2
335,2
342,2
670,2
604,2
701,2
841,2
905,2
324,2
441,2
568,2
766,2
120,2
767,2
430,2
607,2
727,2
597,2
832,2
580,2
551,2
771,2
525,2
482,2
421,2
130,2
906,3
466,3
247,3
266,3
199,3
178,3
186,3
193,3
716,3
219,3
540,3
250,3
590,3
669,3
778,3
444,3
527,3
531,3
344,3
239,3
245,3
710,3
182,3
203,3
204,3
302,3
194,3
206,3
210,3
624,3
162,3
408,3
644,3
255,3
236,3
652,3
565,3
695,3
656,3
595,3
382,3
281,3
276,3
013,3
105,3
117,3
127,3
141,3
012,3
014,3
240,3
311,3
032,3
355,3
460,3
628,3
301,3
334,3
420,3
467,3
487,3
389,3
385,3
406,3
513,3
353,3
440,3
661,3
450,3
586,3
436,3
532,3
398,3
340,3
706,3
636,3
639,3
813,3
774,3
769,3
752,3
733,3
827,3
739,3
685,3
533,3
809,3
522,3
608,3
681,3
383,3
391,3
688,3
603,3
635,3
570,3
775,3
331,3
599,3
323,3
213,3
857,3
865,3
675,3
822,3
256,3
677,3
457,4
057,4
548,4
197,4
576,4
107,4
121,4
191,4
480,4
478,4
593,4
519,4
304,4
703,4
530,4
404,4
664,4
826,4
201,4
005,4
205,4
303,4
612,4
101,4
379,4
384,4
009,4
077,4
238,4
039,4
258,4
001,4
265,4
275,4
