,Distinct count
034,1
038,1
071,1
329,1
416,1
418,1
435,1
606,1
060,1
665,1
628,1
677,1
814,1
542,1
554,1
436,1
441,1
446,1
447,1
448,1
449,1
051,1
453,1
458,1
301,1
464,1
466,1
391,1
471,1
469,1
479,1
409,1
083,1
480,1
402,1
403,1
420,1
041,1
455,1
056,1
066,1
488,1
548,1
493,1
494,1
093,1
068,1
095,1
018,1
013,1
098,1
799,1
521,1
395,1
517,1
559,1
650,1
009,1
516,1
023,1
524,1
024,1
097,1
502,1
518,1
031,1
549,1
033,1
534,1
535,1
035,1
037,1
528,1
515,1
511,1
547,1
509,1
527,1
049,1
503,1
432,1
499,1
412,1
364,1
370,1
360,1
328,1
344,1
365,1
086,1
059,1
340,1
374,1
389,1
067,1
072,1
074,1
085,1
090,1
390,1
443,2
444,2
044,2
437,2
624,2
626,2
597,2
620,2
461,2
427,2
442,2
050,2
454,2
036,2
450,2
406,2
407,2
463,2
467,2
468,2
477,2
005,2
001,2
501,2
478,2
100,2
526,2
530,2
544,2
064,2
063,2
363,2
380,2
381,2
375,2
387,3
529,3
490,3
500,3
440,3
020,3
053,3
057,3
487,3
065,3
010,3
016,3
385,4
386,4
660,4
055,4
003,4
382,4
040,5
460,6
400,9
002,15
000,196
