text,\s@ST0@,Checked,Useful,Notes
0458YahyaIbnSacidAntaki.Tarikh.Sham19Y0014512-ara1,1,,,
0459CaliIbnAbiGhanaimCumariNassaba.Majdi.Shia003445-ara1,14,x,,
0460ShaykhTusi.IkhtiyarMacrifatRijal.Shia002932Vols-ara1,2,,,
0460ShaykhTusi.Rijal.Shia002935-ara1,1,,,
0460ShaykhTusi.TahdhibAhkam.Shia001161Vols-ara1,1,,,
0463IbnCabdBarr.TamhidMuwatta.Shamela0001719-ara1,1,,,
0463KhatibBaghdadi.TarikhBaghdad.Shamela0000736-ara2,2,,,
0468IbnAhmadWahidiNaysaburi.TafsirBasit.Sham19Y0013231-ara1,1,,,
0475IbnMakula.IkmalFiRafcIrtiyab.JK000582-ara1,3,,,
0487AbuCubaydBakri.MucjamMaIstacjama.Shia003919Vols-ara1,2,,,
0502CabdWahidRuyani.BahrMadhhab.Sham19Y0016934-ara1,1,,,
0510IbnCaliAbuGhanaimNursi.ThawabQada.Shamela0006768-ara1,1,,,
0525IbnCaliTabari.BisharatMustafa.Shia003692-ara1,15,x,,He is in isnads? Could be different person. Shi'I text
0538JarAllahZamakhshari.FaiqFiGharib.Shia002170Vols-ara1,1,,,
0543IbnCarabiIshbili.AhkamQuran.JK000917-ara1,1,,,
0544QadiCiyad.IkmalMuclim.Sham19Y0122406-ara1,1,,,
0562Samcani.Ansab.Shamela0012317-ara1,4,x,,
0565IbnFunduqBayhaqi.LubabAnsab.Shamela0000355-ara1,1,,,
0575IbnBabawayh.Fihrist.Shia002937-ara1,1,,,
0584IbnMunqidhShayzari.Ictibar.Shamela0021564-ara1,1,,,
0585IbnCaliIbnZuhraHalabi.GhunyatNuzuc.Shia000048-ara1,1,,,
0588IbnShahrAshub.MacalimCulama.Shia002938-ara1,1,x,,
0597CimadDinKatibIsfahani.BustanJamic.Sham19Y0016550-ara1,1,x,,
0597CimadDinKatibIsfahani.KharidatQasr.JK009370Vols-ara1,1,,x,"Biography of him, focus on genealogy not khitat"
0597IbnJawzi.GharibHadith.Shamela0002911-ara1,1,x,,
0597IbnJawzi.Muntazam.Shamela0012406-ara1,1,x,,
0606FakhrDinRazi.ShajaraMubaraka.ShamAY0037025-ara1,2,x,,
0626YaqutHamawi.MucjamBuldan.Shamela0023735-ara1,3,,x,"1. On square called al-Andalus, 2. Place called Juwani where the family lived, note family members, 3. Destruction of Fustat"
0626YaqutHamawi.MucjamUdaba.Shamela0009788-ara1,3,,x,"1. and 2. Bio on him or family member, 3. Read in hand of Jawwani, on wazir Ibn Furat and Ibn Mudabbir, "
0629IbnNuqta.TakmilatIkmal.Shamela0005797-ara1,13,,x,Long list of Jawwanis
0630IbnAthirCizzDin.LubabFiTahdhibAnsab.Shamela0005793-ara1,2,x,,Diff Jawani - in discussion of name - Iraq based
0632IsmacilMarwazi.FakhriFiAnsab.JK010500-ara1,5,x,,
0637IbnDubaythi.DhaylTarikhBaghdad.ShamAY0034569-ara1,1,,,
0643DiyaDinMuqaddasi.AhadithMukhatara.Shamela0010480-ara1,1,,,
0646IbnQifti.InbahRuwat.Shamela0010525-ara1,6,x,,Jawwani as a source for Alid nasab x 2 - rest editorial
0646IbnQifti.Muhammadun.Shamela0013031-ara1,1,,,
