,section,st_pos,mid_pos,first-century,pre-fatimid,fatimid,ayyubid,bahri-mamluk,circassian-mamluk
0,1,0,380.0,0,0,0,0,0,0
1,2,760,761.5,0,0,0,0,0,0
2,3,763,1158.5,0,0,0,0,0,0
3,4,1554,1555.5,0,0,0,0,0,0
4,5,1557,2907.0,8,0,0,0,2,0
5,6,4257,5190.5,9,6,9,0,0,0
6,7,6124,7366.0,19,0,12,2,0,0
7,8,8608,9614.5,3,0,2,0,0,0
8,9,10621,10816.5,0,0,0,2,0,0
9,10,11012,11621.5,2,0,1,2,0,0
10,11,12231,12553.5,2,0,0,1,0,0
11,12,12876,13039.0,0,0,0,1,0,0
12,13,13202,13413.0,2,0,0,0,0,0
13,14,13624,13826.0,2,0,0,1,0,0
14,15,14028,14154.0,1,0,0,2,0,0
15,16,14280,14576.0,1,0,0,2,0,0
16,17,14872,14993.5,0,0,0,2,0,0
17,18,15115,15804.5,0,0,0,1,0,0
18,19,16494,16844.0,2,0,1,1,0,0
19,20,17194,17445.0,2,0,0,1,0,0
20,21,17696,18044.5,0,0,1,1,0,0
21,22,18393,18673.0,0,0,0,1,0,0
22,23,18953,19055.0,1,0,0,1,0,0
23,24,19157,19260.0,0,0,0,0,0,0
24,25,19363,19503.5,1,0,1,1,0,0
25,26,19644,20315.0,1,0,0,2,0,0
26,27,20986,21201.0,0,0,0,1,0,0
27,28,21416,21624.0,1,0,1,1,0,0
28,29,21832,22001.5,1,0,0,1,0,0
29,30,22171,22475.0,1,0,0,1,0,0
30,31,22779,23161.5,1,0,0,1,0,0
31,32,23544,23785.5,1,0,1,2,0,0
32,33,24027,24190.0,0,0,0,0,0,0
33,34,24353,24858.0,0,0,0,2,0,0
34,35,25363,25627.5,0,0,0,1,0,0
35,36,25892,26552.5,2,0,0,1,0,0
36,37,27213,28152.0,2,0,1,1,0,0
37,38,29091,29191.0,1,0,2,0,0,0
38,39,29291,29379.0,1,0,0,1,0,0
39,40,29467,29770.0,2,0,0,1,0,0
40,41,30073,30242.0,0,0,1,1,0,0
41,42,30411,30860.0,0,0,0,1,0,0
42,43,31309,31664.5,1,0,0,1,0,0
43,44,32020,32189.5,0,0,1,1,0,0
44,45,32359,32945.5,4,0,0,1,0,0
45,46,33532,33729.0,1,0,0,1,0,0
46,47,33926,34134.0,0,0,0,2,0,0
47,48,34342,34486.0,0,0,0,1,1,0
48,49,34630,34756.0,0,0,0,1,0,0
49,50,34882,34923.0,0,0,0,1,0,0
50,51,34964,35069.5,0,0,0,1,0,0
51,52,35175,35490.5,0,0,0,1,1,0
52,53,35806,35890.0,0,0,1,1,0,0
53,54,35974,36094.5,0,0,0,1,0,0
54,55,36215,36427.0,1,0,0,2,0,0
55,56,36639,36812.5,0,0,0,2,0,0
56,57,36986,37118.0,0,0,0,1,0,0
57,58,37250,37368.0,0,0,0,2,0,0
58,59,37486,37535.0,0,0,0,1,0,0
59,60,37584,37719.0,0,0,0,1,0,0
60,61,37854,38214.5,1,0,0,5,1,0
61,62,38575,38670.5,0,0,0,1,0,0
62,63,38766,38993.0,0,0,1,1,0,0
63,64,39220,39908.5,1,0,1,8,1,0
64,65,40597,41388.5,1,0,0,2,0,0
65,66,42180,42618.0,1,0,0,1,0,0
66,67,43056,43257.5,0,0,0,1,0,0
67,68,43459,44229.0,1,0,0,2,0,0
68,69,44999,45099.0,0,0,0,1,0,0
69,70,45199,45272.5,0,0,0,1,0,0
70,71,45346,45393.0,1,0,0,1,0,0
71,72,45440,45918.0,1,0,1,2,0,0
72,73,46396,46605.5,0,0,0,1,0,0
73,74,46815,47177.5,0,0,0,2,0,0
74,75,47540,48014.5,0,0,0,1,0,0
75,76,48489,49380.5,0,0,0,1,0,0
76,77,50272,50531.0,0,0,0,1,0,0
77,78,50790,50927.0,0,0,0,2,0,0
78,79,51064,51293.5,0,0,0,1,0,0
79,80,51523,51713.5,0,0,0,1,0,0
80,81,51904,52116.5,0,0,0,1,0,0
81,82,52329,52433.5,0,0,0,1,0,0
82,83,52538,52791.5,0,0,0,2,0,0
83,84,53045,53373.0,0,0,0,1,0,0
84,85,53701,54374.5,1,0,0,2,0,0
85,86,55048,55680.0,0,0,0,2,0,0
86,87,56312,57094.0,0,0,0,1,0,0
87,88,57876,59583.5,0,0,0,2,0,0
88,89,61291,62075.5,0,0,0,1,0,0
89,90,62860,63129.0,0,0,0,1,0,0
90,91,63398,63679.5,4,0,0,1,0,0
91,92,63961,64179.0,0,0,1,1,0,0
92,93,64397,64849.0,0,0,0,1,0,0
93,94,65301,65686.5,0,0,0,1,0,0
94,95,66072,66501.5,0,0,0,1,0,0
95,96,66931,67067.0,0,0,0,1,0,0
96,97,67203,67491.5,0,0,0,1,0,0
97,98,67780,69618.0,0,0,0,1,0,0
98,99,71456,71972.0,1,0,0,0,0,0
99,100,72488,73075.5,0,0,0,0,0,0
100,101,73663,74249.5,1,0,0,0,1,0
101,102,74836,75944.5,0,0,0,0,0,0
102,103,77053,77284.0,1,0,0,0,0,0
103,104,77515,77582.5,0,0,0,0,0,0
104,105,77650,77746.0,0,0,0,0,1,0
105,106,77842,77915.0,0,0,0,1,0,0
106,107,77988,78157.0,0,0,0,0,1,0
107,108,78326,78416.0,0,0,0,0,0,0
108,109,78506,78888.5,0,0,0,0,1,0
109,110,79271,79318.5,0,0,0,0,0,0
110,111,79366,79918.5,0,0,0,0,1,0
111,112,80471,80578.0,0,0,0,0,1,0
112,113,80685,80743.0,0,0,0,0,0,0
113,114,80801,81100.0,0,0,0,0,1,0
114,115,81399,81466.0,0,0,0,0,0,0
115,116,81533,81851.0,0,0,0,0,1,0
116,117,82169,82457.0,0,0,0,0,1,0
117,118,82745,82802.0,0,0,0,0,0,0
118,119,82859,83148.0,1,0,0,0,2,0
119,120,83437,83670.5,0,0,0,0,0,0
120,121,83904,84236.0,0,0,0,0,1,0
121,122,84568,84975.5,0,0,0,0,1,0
122,123,85383,85443.5,0,0,0,0,0,0
123,124,85504,86945.0,0,0,0,1,1,0
124,125,88386,88852.5,0,0,0,1,0,0
125,126,89319,89453.5,0,0,0,0,0,0
126,127,89588,91812.5,1,0,0,0,1,0
127,128,94037,94085.5,0,0,0,0,0,0
128,129,94134,94926.5,0,0,0,0,1,0
129,130,95719,97866.5,1,0,0,0,2,0
130,131,100014,100298.5,0,0,0,0,1,0
131,132,100583,102315.0,0,0,0,0,2,0
132,133,104047,104145.5,0,0,0,1,0,0
133,134,104244,105721.5,0,0,0,0,1,0
134,135,107199,107705.0,0,0,0,0,1,0
135,136,108211,108248.0,0,0,0,0,0,0
136,137,108285,109457.5,0,0,0,0,1,0
137,138,110630,110667.0,0,0,0,0,0,0
138,139,110704,111486.5,0,0,0,0,1,1
139,140,112269,113225.0,0,0,0,0,2,0
140,141,114181,114254.5,0,0,0,0,0,0
141,142,114328,115436.0,0,0,0,0,1,0
142,143,116544,116592.0,0,0,0,0,0,0
143,144,116640,117321.0,2,0,0,1,1,0
144,145,118002,118097.0,0,0,0,0,0,0
145,146,118192,118701.0,0,0,0,0,1,0
146,147,119210,119312.5,0,0,0,0,0,0
147,148,119415,120117.0,0,0,0,0,1,0
148,149,120819,120884.5,0,0,0,0,0,0
149,150,120950,121390.0,0,0,0,0,1,0
150,151,121830,122274.0,0,0,0,0,1,0
151,152,122718,122848.5,0,0,0,1,0,0
152,153,122979,123278.5,0,0,0,0,1,0
153,154,123578,123629.0,0,0,0,0,0,0
154,155,123680,124138.5,1,0,0,0,1,0
155,156,124597,124664.5,0,0,0,0,0,0
156,157,124732,125647.5,0,0,0,0,1,0
157,158,126563,127307.0,1,0,0,1,2,0
158,159,128051,128604.0,0,0,0,0,0,0
159,160,129157,129239.5,0,0,0,0,0,0
160,161,129322,129653.5,0,0,0,0,1,0
161,162,129985,130440.0,0,0,0,0,1,0
162,163,130895,131200.0,0,0,0,0,0,0
163,164,131505,132612.0,0,0,0,1,0,0
164,165,133719,133807.5,0,0,0,0,0,0
165,166,133896,134972.5,0,0,0,0,1,0
166,167,136049,136126.0,0,0,0,0,0,0
167,168,136203,138339.0,0,0,0,0,2,0
168,169,140475,140667.0,0,0,0,0,0,0
169,170,140859,141312.0,0,0,0,0,1,0
170,171,141765,141869.5,0,0,0,0,0,0
