,Distinct count
072,1
095,1
045,1
079,1
024,1
099,1
048,1
085,1
039,1
057,1
087,1
046,1
089,1
027,1
029,1
064,1
034,2
049,2
047,2
067,2
017,2
062,2
065,2
092,2
082,2
096,2
069,2
081,2
033,2
025,3
044,3
042,3
016,3
031,3
083,3
052,3
076,3
075,3
068,3
084,3
086,3
030,4
028,4
056,4
015,4
094,4
093,5
022,5
059,5
019,5
014,5
091,5
043,5
037,5
055,5
053,5
090,5
018,6
080,6
073,6
012,6
023,7
066,7
038,7
013,8
035,8
061,8
058,8
032,8
070,8
074,8
040,10
041,10
054,10
051,10
021,10
063,11
050,12
060,13
036,13
001,15
011,15
020,17
002,28
009,31
004,35
003,38
005,39
007,41
010,43
008,46
006,48
