section,st_pos,mid_pos,@YY806,@YY807,Mihan,Topic_id
1,0,197.5,0,0,0,0
2,395,685.5,0,0,0,0
3,976,1402.0,0,0,1,0
4,1828,2263.5,0,0,0,0
5,2699,2942.5,1,0,1,1
6,3186,4275.0,0,0,0,0
7,5364,7239.5,0,0,0,0
8,9115,9279.5,0,0,0,0
9,9444,9931.5,0,0,0,0
10,10419,10799.5,0,0,0,0
11,11180,11576.0,0,0,0,0
12,11972,13576.0,0,0,0,0
13,15180,18204.5,0,0,0,0
14,21229,24770.5,0,0,0,0
15,28312,28897.0,0,0,0,0
16,29482,29739.0,0,0,0,0
17,29996,32811.0,0,0,0,0
18,35626,35828.0,0,0,0,0
19,36030,37479.0,0,0,0,0
20,38928,39938.5,0,0,0,0
21,40949,42467.0,1,0,0,0
22,43985,44005.5,0,0,0,0
23,44026,45252.5,0,0,0,0
24,46479,47311.5,0,0,0,0
25,48144,48551.0,0,0,0,0
26,48958,49384.5,0,0,0,0
27,49811,50546.0,0,0,0,0
28,51281,51452.0,0,0,0,0
29,51623,52208.0,0,0,0,0
30,52793,53125.5,0,0,0,0
31,53458,53837.5,0,0,0,0
32,54217,55471.0,0,0,0,0
33,56725,56940.5,0,0,0,0
34,57156,57855.0,0,0,0,0
35,58554,60611.0,0,0,1,0
36,62668,63948.5,1,0,1,0
37,65229,65373.5,0,0,0,0
38,65518,67031.5,0,0,0,0
39,68545,69437.5,0,0,0,0
40,70330,70532.0,0,0,0,0
41,70734,71396.0,0,0,1,0
42,72058,73095.0,1,0,0,0
43,74132,76992.0,1,0,0,0
44,79852,83622.0,0,0,0,0
45,87392,87737.0,0,0,0,0
46,88082,88156.0,0,0,0,0
47,88230,88676.5,0,0,0,0
48,89123,89206.0,0,0,0,0
49,89289,89407.0,0,0,0,0
50,89525,90496.5,0,0,0,0
51,91468,91825.5,0,0,0,0
52,92183,94055.0,0,0,1,0
53,95927,99435.5,0,0,0,0
54,102944,105166.5,0,0,0,0
55,107389,107897.0,0,0,0,0
56,108405,108843.5,0,0,0,0
57,109282,109650.0,0,0,0,0
