,mid_pos,Cumulative Count
0,0.0,0
1,426.5,0
2,1289.0,0
3,1971.5,0
4,3307.5,0
5,6273.0,0
6,8314.0,0
7,8967.0,0
8,9836.0,0
9,10613.5,0
10,12615.5,0
11,15248.0,0
12,18274.5,0
13,23818.0,0
14,27947.5,0
15,28790.5,0
16,31863.5,0
17,34881.5,0
18,36534.5,0
19,38996.0,0
20,41525.5,0
21,43065.0,0
22,44313.0,0
23,46373.0,0
24,47613.5,0
25,48449.5,0
26,48998.5,0
27,49243.0,0
28,49525.5,0
29,49795.0,0
30,49975.0,0
31,50166.0,0
32,50314.5,0
33,50356.0,0
34,50542.5,0
35,51299.5,0
36,52218.0,0
37,52931.0,0
38,54565.5,0
39,56036.0,0
40,56951.5,0
41,59710.5,0
42,63051.0,0
43,64477.0,0
44,66137.0,0
45,68545.0,0
46,69640.5,0
47,70505.5,1
48,72205.5,1
49,76103.5,1
50,82736.5,1
51,86854.5,1
52,87274.5,1
53,87796.0,1
54,88326.5,1
55,88467.0,1
56,88541.5,1
57,88606.0,1
58,89625.0,1
59,90955.0,1
60,93187.0,1
61,98575.0,1
62,104312.0,1
63,107043.5,1
64,107993.5,1
65,108803.5,1
66,109692.0,2
67,111205.5,2
68,112590.0,2
69,113959.5,2
70,115291.5,2
71,116963.0,2
72,119253.0,2
73,120294.5,2
74,121350.5,2
75,123464.0,3
76,124786.0,3
77,126992.0,3
78,129043.0,3
79,129106.5,3
80,129166.5,3
81,129417.5,3
82,129826.0,3
83,130129.0,3
84,130256.0,3
85,130303.0,3
86,130487.0,3
87,130751.5,3
88,130888.0,3
89,131551.5,3
90,132241.5,3
91,132422.0,3
92,133211.0,3
93,133939.0,3
94,134089.5,3
95,134595.5,3
96,135533.0,3
97,136862.5,3
98,139036.5,3
99,140937.5,3
100,141521.5,3
101,141707.0,3
102,142834.0,3
103,144132.0,3
104,144455.0,3
105,144520.5,3
106,144591.0,3
107,144644.5,3
108,144699.5,3
109,144767.0,3
110,144964.0,3
111,145290.0,3
112,145554.0,3
113,145703.0,3
114,145781.0,3
115,145842.5,3
116,146296.5,3
117,147047.0,3
118,147443.5,3
119,147516.0,3
120,147604.5,3
121,147886.0,3
122,148310.0,3
123,148965.5,3
124,149687.5,3
125,150439.0,3
126,151045.5,3
127,151296.5,3
128,155706.5,3
129,160145.0,3
130,160328.5,3
131,160415.5,3
132,160508.0,3
133,160916.0,3
134,161327.5,3
135,161421.5,3
136,162566.5,3
137,163867.0,3
138,164170.0,3
139,164790.5,3
140,165365.5,3
141,165916.0,3
142,166583.0,3
143,166942.0,3
144,167345.5,3
145,167582.5,3
146,167650.0,3
147,167728.5,3
148,168300.5,3
149,169004.0,3
150,169551.0,3
151,170390.5,3
152,172859.0,3
153,174989.5,3
154,175900.5,3
155,176876.5,3
156,177171.0,3
157,177436.5,3
158,180497.5,3
159,183472.0,3
160,183899.0,3
161,184483.0,3
162,184760.5,3
163,184844.0,3
164,184896.5,3
165,184968.5,3
166,185521.5,3
167,186254.5,3
168,186513.0,3
169,186796.0,3
170,187157.0,3
171,187284.0,3
172,187377.0,3
173,187538.5,3
174,187670.5,3
175,187747.0,3
176,187902.0,3
177,188246.0,3
178,188486.0,3
179,188514.5,3
180,188619.5,3
181,188740.5,3
182,188786.0,3
183,188822.0,3
184,188860.5,3
185,189264.5,3
186,190353.0,3
187,192268.0,3
188,196741.0,3
189,201198.0,3
190,202449.0,3
191,202649.5,3
192,203072.5,3
193,203805.0,3
194,206486.0,3
195,209250.5,3
196,210019.0,3
197,210460.0,3
198,210716.0,3
199,210849.5,3
200,210978.0,3
201,211041.0,3
