word,count
بن يوسف,129
عبد الله,68
ابو يوسف,60
يوسف بن,56
محمد بن,48
بن عبد,47
ابي يوسف,34
الشيخ ابي,32
رحمه الله,32
بن ابي,31
عليه السلام,29
يعقوب بن,29
الله بن,27
ابو عبد,26
الشيخ ابو,25
احمد بن,24
يوسف يعقوب,23
ابا يوسف,23
الله تعالي,23
بن محمد,20
يحيي بن,18
يوسف الدهماني,18
ومنهم ابو,17
امير الممنين,17
فقال له,17
علي بن,17
عبد الملك,16
عبد الرحمن,16
من قبل,16
الله محمد,15
غزويه بن,15
عمر بن,14
الايه سوره,14
بن عمر,14
في ب,13
علي يوسف,13
بن ابراهيم,12
بن احمد,12
يوسف عليه,12
ابراهيم بن,12
الي يوسف,11
بن علي,11
الملك بن,11
يوسف يوسف,10
عون بن,10
يوسف في,10
سوره يوسف,10
بن ضباره,9
بن عوانه,9
فقال لي,9
ع م,9
يوسف علي,9
بن سليمان,9
ابن يوسف,9
اخوه يوسف,8
الحجاج بن,8
الشيخ ابا,8
يوسف من,8
ايه سوره,8
ابو محمد,8
الله ابو,8
قال يوسف,8
زكريا يحيي,8
حباسه بن,8
قال ابو,7
الذي كان,7
وكان من,7
ابن ابي,7
قال اخبرنا,7
عز وجل,7
ابو علي,7
عبد الحسين,7
محمد عبد,7
الحسن بن,7
علي ما,7
عبد العزيز,7
الحسين بن,7
ابو زكريا,7
يزيد بن,7
ابو اسحاق,7
اسحاق ابراهيم,6
الرحمن بن,6
سقطت في,6
ورضي عنه,6
قال سمع,6
ابو بكر,6
بن زيري,6
علي الشيخ,6
في ج,6
الله قال,6
بن اسحاق,6
ابي عبد,6
قوله تعالي,6
الدهماني قال,6
ثم قال,6
وكذلك مكنا,6
مكنا ليوسف,6
يوسف ما,6
الله عز,6
ابي الحسن,6
الوزير يعقوب,6
يا ابا,6
ابن خلكان,6
وعون بن,6
يوسف قال,6
بن عيسي,6
بن يعقوب,6
ابي زاكي,6
الحسن علي,6
الي الشيخ,5
بن مروان,5
يوسف وهو,5
ويوسف بن,5
بن نصر,5
في الارض,5
من اهل,5
وقال له,5
في ي,5
ابن محمد,5
وعا اخيه,5
بن الوليد,5
به من,5
كل من,5
اخبرنا محمد,5
تعالي ورضي,5
الله علي,5
ابو زاكي,5
قالوا يا,5
عيسي بن,5
ابي علي,5
اليه من,5
بن جعفر,5
وقال يا,5
قصه يوسف,5
يعقوب الزعبي,5
يا ابت,5
العزيز بالله,5
سنه ه,5
بن صبيح,5
ما كنون,5
يوسف ماكنون,5
عن يوسف,5
ماكنون بن,5
يوسف الخزاعي,5
العزيز بن,5
قال الله,5
قال له,5
كان من,5
سمع من,5
ما بال,5
انه من,5
يوسف عن,5
في ذلك,5
الايه و,4
بعد ان,4
جيران ويوسف,4
امين ومنهم,4
من اصحاب,4
بن اسماعيل,4
بن زكريا,4
ومحمد بن,4
قال كان,4
كدنا ليوسف,4
كذلك كدنا,4
انه لا,4
بن معارك,4
تمام بن,4
كنون بن,4
ابي سليم,4
القاضي ابو,4
العباس احمد,4
ولم يكن,4
بن الحسن,4
به وهم,4
هذا تاويل,4
شيخنا ابو,4
الفقيه ابو,4
يا ابانا,4
بالله ع,4
