word,count
بن,617
يوسف,491
من,308
في,257
علي,199
الله,196
ابو,180
قال,145
عبد,144
الي,136
ابي,128
ان,108
ما,105
الشيخ,96
عليه,91
محمد,87
يعقوب,76
له,73
عن,68
ابن,68
وكان,62
فقال,60
به,59
كان,55
ثم,54
لا,46
هذا,44
سنه,44
وهو,42
الذي,41
يا,41
وقال,40
ابا,40
ذلك,40
احمد,39
فلما,39
اليه,38
قد,37
عمر,37
سوره,37
ابراهيم,36
تعالي,35
السلام,35
رحمه,35
اي,32
الملك,31
انه,29
هو,28
قبل,28
العزيز,27
بها,27
حتي,26
قلت,25
الا,25
ليوسف,25
الايه,24
مع,24
لي,23
منه,23
الدهماني,22
الحسن,22
الممنين,22
يحيي,22
ولا,22
ومنهم,22
فيه,21
الرحمن,21
ب,21
عنه,20
ولم,19
وما,19
م,19
و,19
امير,19
بعد,18
ه,18
غزويه,18
اذ,18
زكريا,17
مصر,17
ومن,17
سحنون,16
منهم,16
لم,16
عليها,16
كل,16
الفقيه,16
ولما,16
عيسي,16
وكذلك,16
يقول,16
اسحاق,15
يعني,15
وقد,15
ويوسف,15
ذكر,15
ع,14
الوليد,14
ج,14
الحجاج,14
لما,14
قالوا,14
الدين,14
معه,14
سليمان,14
القاضي,14
الحسين,13
عنده,13
عون,13
اني,13
اذا,13
شيخنا,13
يونس,13
هذه,13
زاكي,13
الكندي,12
كما,12
وابن,12
قوله,12
ص,12
عليهم,12
الارض,12
يزيد,12
ايه,12
التي,12
تاويل,12
الناس,11
وعلي,11
عند,11
فقلت,11
سمع,11
وفي,11
ي,11
بكر,11
ودخل,11
او,11
بذلك,11
فيها,11
اخوه,11
كذلك,11
داود,11
اهل,11
خالد,11
بما,11
وذلك,10
العباس,10
والله,10
حباسه,10
احد,10
اسماعيل,10
ضباره,10
بني,10
ايضا,10
المهدي,10
الزعبي,10
اخبرنا,10
سعيد,10
لهم,10
انا,10
امر,9
مثل,9
القيروان,9
اخر,9
هشام,9
شهر,9
الذين,9
يوما,9
صاحب,9
عوانه,9
امره,9
اخيه,9
بعض,9
جعفر,9
قدم,9
دخلوا,9
لها,9
هود,9
الوزير,9
وصل,9
موسي,9
وهم,9
حسن,9
بين,9
عز,9
راي,8
ولد,8
الزاهد,8
العلم,8
القاسم,8
اراد,8
الان,8
وتوفي,8
قرا,8
تاريخ,8
غير,8
سلم,8
مروان,8
وابي,8
زيري,8
منها,8
الامام,8
القاهره,8
الاولي,8
كتاب,8
الموصل,8
انت,8
زياده,8
ربك,8
سالم,8
ذكره,8
نفسه,8
الامر,7
ودفن,7
وانصرف,7
الصفحه,7
كانوا,7
الرحيم,7
اما,7
امراه,7
بل,7
بعده,7
وجا,7
لنا,7
لكم,7
اصحاب,7
جا,7
ماكنون,7
وان,7
ممن,7
وجل,7
الكتاب,7
يوحنا,7
رسول,7
باب,7
الف,7
سقطت,7
الفضل,7
وانا,7
دخلت,7
فكتب,7
الحق,7
كه,7
يوم,7
التاييد,7
سليم,7
عمران,7
وثلاثماه,7
زيد,7
وموسي,7
لله,7
امين,7
الاسماعيليه,7
اليهم,7
لسان,7
والي,7
قصه,7
انظر,7
دار,7
القران,7
بالله,7
اليوم,7
وكانت,7
تونس,7
المالكي,7
رايت,7
فلم,7
عشر,6
المذكور,6
بخط,6
مما,6
المعروف,6
شيخ,6
فان,6
الاسرا,6
وانه,6
بلكين,6
ثابت,6
يكن,6
وقالوا,6
خلكان,6
الظاهر,6
الاجاني,6
صالح,6
ويحيي,6
وعبد,6
اخي,6
النبي,6
اتي,6
مكدول,6
السنه,6
النسخ,6
ز,6
شي,6
لك,6
وعون,6
التوبه,6
قول,6
كلامه,6
مكنا,6
حاشيه,6
جماعه,6
جميع,6
جميل,6
علم,6
انك,6
القرشي,6
نصر,6
الشام,6
ايام,6
معهم,6
عليك,6
فيما,6
هارون,6
ورضي,6
وسليمان,6
وعيسي,6
وصلي,6
يومذ,6
ابيه,6
طبع,6
الشبيبي,6
وهي,6
صار,6
النحل,6
الحاج,6
انهم,6
العابد,6
زياد,5
كتابه,5
خليفه,5
معارك,5
صبيح,5
وقدم,5
نوح,5
ميله,5
اجانه,5
دخل,5
فنزل,5
تمام,5
مولي,5
عشره,5
كنون,5
قبله,5
الرجل,5
بيوسف,5
الخير,5
الملوسي,5
تحقيق,5
قبر,5
ذ,5
ت,5
واقام,5
ل,5
الايات,5
ال,5
ومات,5
الحراني,5
ابت,5
مدينه,5
الاسكندريه,5
هم,5
القام,5
عهد,5
حكي,5
المحسنين,5
ولو,5
يكون,5
الامامه,5
الطبعه,5
بيروت,5
المعز,5
برقه,5
حبيب,5
الرشيد,5
وابا,5
حدثني,5
خنزير,5
فارس,5
بال,5
الكرماني,5
اول,5
المشرق,5
ذي,5
بمصر,5
فتح,5
ابويه,5
العواني,5
لو,5
الكتب,5
واذا,5
ولكن,5
السوره,5
اليها,5
حيث,5
الحكم,5
وعا,5
البقره,5
عثمان,5
واحد,5
عامر,5
اصحابه,5
اللهم,5
فهرس,5
حدثنا,5
قاضي,5
الخزاعي,5
قحذم,5
جبله,5
يكتب,5
البصره,5
ابنه,5
مات,5
حال,5
هل,5
كثيرا,5
اخبرني,4
كدنا,4
العراقين,4
الانعام,4
وتمكن,4
القرانيه,4
رجل,4
استماله,4
المغرب,4
ربي,4
الدعوه,4
نافع,4
البخاري,4
المقلد,4
وترك,4
بان,4
الوزاره,4
وقوله,4
العراق,4
المراه,4
اوي,4
سجدا,4
همت,4
تقدم,4
لان,4
المرحوم,4
كتب,4
الشمس,4
عرف,4
حجه,4
غيث,4
امام,4
حمود,4
حين,4
ولقد,4
ر,4
جعل,4
