book,phrase,count
0259HunaynIbnIshaq.TaqdimatMacrifaLiAbuqrat.GRAR000053-ara1,الامرا,17
0259HunaynIbnIshaq.TaqdimatMacrifaLiAbuqrat.GRAR000053-ara1,All phrases,17
0259HunaynIbnIshaq.RisalaFiMaTurjima.GRAR000054-ara1,الامرا,21
0259HunaynIbnIshaq.RisalaFiMaTurjima.GRAR000054-ara1,All phrases,21
0310AbuCabbasNayrizi.SharhUsulLiUqlidis.GRAR000056-ara1,اخبار,1
0259HunaynIbnIshaq.JalinusFiTadbirAmradHadda.GRAR000070-ara1,الامرا,29
0259HunaynIbnIshaq.JalinusFiTadbirAmradHadda.GRAR000070-ara1,All phrases,29
0300AnonTranslator.MucadhalatNafsLiAflatun.GRAR000071-ara1,اخبار,1
0300AnonTranslator.MucadhalatNafsLiAflatun.GRAR000071-ara1,الامرا,2
0300AnonTranslator.MucadhalatNafsLiAflatun.GRAR000071-ara1,All phrases,3
0275IstifanIbnBasil.AqwalMinandar.GRAR000072-ara1,الامرا,1
0275IstifanIbnBasil.AqwalMinandar.GRAR000072-ara1,All phrases,1
0288ThabitIbnQurra.RawabicLiAflatun.GRAR000075-ara1,اخبار,12
0288ThabitIbnQurra.RawabicLiAflatun.GRAR000075-ara1,الامرا,6
0288ThabitIbnQurra.RawabicLiAflatun.GRAR000075-ara1,All phrases,18
0300QustaIbnLuqa.FulutarkhusFiAraTabiciyya.GRAR000077-ara1,اخبار,3
0300QustaIbnLuqa.FulutarkhusFiAraTabiciyya.GRAR000077-ara1,الامرا,6
0300QustaIbnLuqa.FulutarkhusFiAraTabiciyya.GRAR000077-ara1,All phrases,9
0300IshaqRuhawi.AdabTabib.GRAR000078-ara1,اخبار,13
0300IshaqRuhawi.AdabTabib.GRAR000078-ara1,الامرا,41
0300IshaqRuhawi.AdabTabib.GRAR000078-ara1,All phrases,54
0300CisaIbnYahya.JalinusFiTimaus.GRAR000079-ara1,الامرا,15
0300CisaIbnYahya.JalinusFiTimaus.GRAR000079-ara1,All phrases,15
0259HunaynIbnIshaq.JalinusFiCamalTashrih.GRAR000080-ara1,اخبار,3
0300HubayshIbnHasan.JalinusFiCadat.GRAR000082-ara1,الامرا,6
0300HubayshIbnHasan.JalinusFiCadat.GRAR000082-ara1,All phrases,6
0259HunaynIbnIshaq.JalinusFiMihnatAfdalAtibba.GRAR000083-ara1.completed,الامرا,19
0259HunaynIbnIshaq.JalinusFiMihnatAfdalAtibba.GRAR000083-ara1.completed,All phrases,19
0259HunaynIbnIshaq.SharhJalinusLiIfidhimiya.GRAR000086-ara1,اخبار,5
0259HunaynIbnIshaq.SharhJalinusLiIfidhimiya.GRAR000086-ara1,الامرا,88
0259HunaynIbnIshaq.SharhJalinusLiIfidhimiya.GRAR000086-ara1,All phrases,93
0259HunaynIbnIshaq.AbuqratFiAmradBiladiyya.GRAR000087-ara1,الامرا,15
0259HunaynIbnIshaq.AbuqratFiAmradBiladiyya.GRAR000087-ara1,All phrases,15
0259HunaynIbnIshaq.AhwiyaLiAbuqrat.GRAR000088-ara1,الامرا,16
0259HunaynIbnIshaq.AhwiyaLiAbuqrat.GRAR000088-ara1,All phrases,16
0200YahyaIbnBitriq.GhidhaLiAbuqrat.GRAR000089-ara1,الامرا,1
0200YahyaIbnBitriq.GhidhaLiAbuqrat.GRAR000089-ara1,All phrases,1
0259HunaynIbnIshaq.AbuqratFiTadbirAmrad.GRAR000090-ara1,الامرا,41
0259HunaynIbnIshaq.AbuqratFiTadbirAmrad.GRAR000090-ara1,All phrases,41
0300CisaIbnYahya.AbuqratFiAkhlat.GRAR000092-ara1,الامرا,22
0300CisaIbnYahya.AbuqratFiAkhlat.GRAR000092-ara1,All phrases,22
0259HunaynIbnIshaq.AbuqratFiTabicatInsan.GRAR000093-ara1,الامرا,20
0259HunaynIbnIshaq.AbuqratFiTabicatInsan.GRAR000093-ara1,All phrases,20
0300HubayshIbnHasan.QatitriyunLiAbuqrat.GRAR000095-ara1,الامرا,1
0300HubayshIbnHasan.QatitriyunLiAbuqrat.GRAR000095-ara1,All phrases,1
0259HunaynIbnIshaq.AbuqratFiTadbirAsihha.GRAR000096-ara1,الامرا,1
0259HunaynIbnIshaq.AbuqratFiTadbirAsihha.GRAR000096-ara1,All phrases,1
0259HunaynIbnIshaq.JalinusFiFiraqTibb.GRAR000099-ara1,اخبار,1
0259HunaynIbnIshaq.JalinusFiFiraqTibb.GRAR000099-ara1,الامرا,28
0259HunaynIbnIshaq.JalinusFiFiraqTibb.GRAR000099-ara1,All phrases,29
0717CalaDinIbnCabdZahir.RawdZahir.GVDB20200607-ara1.completed,اخبار,1
0732AbuFida.TibrMasbuk.GVDB20200609-ara1.completed,اخبار,1
0732AbuFida.TibrMasbuk.GVDB20200609-ara1.completed,الامرا,1
0732AbuFida.TibrMasbuk.GVDB20200609-ara1.completed,All phrases,2
0692IbnCabdZahir.TashrifAyyam.GVDB20200720-ara1,اخبار,25
0692IbnCabdZahir.TashrifAyyam.GVDB20200720-ara1,الامرا,31
0692IbnCabdZahir.TashrifAyyam.GVDB20200720-ara1,All phrases,56
0921JibrailIbnQilaci.MadihaFiJabalLubnan.GVDB20200821-ara1.completed,اخبار,5
0725BaybarsMansuri.ZubdatFikra.GVDB20201027-ara1.completed,اخبار,63
0725BaybarsMansuri.ZubdatFikra.GVDB20201027-ara1.completed,الامرا,275
0725BaybarsMansuri.ZubdatFikra.GVDB20201027-ara1.completed,All phrases,338
0725BaybarsMansuri.MukhtarAkhbar.GVDB20210106-ara1.completed,اخبار,20
0725BaybarsMansuri.MukhtarAkhbar.GVDB20210106-ara1.completed,الامرا,108
0725BaybarsMansuri.MukhtarAkhbar.GVDB20210106-ara1.completed,All phrases,128
0505Ghazali.IhyaCulumDin.JK000001-ara1,اخبار,347
0505Ghazali.IhyaCulumDin.JK000001-ara1,الامرا,71
0505Ghazali.IhyaCulumDin.JK000001-ara1,All phrases,418
0761JamalDinIbnHisham.SharhQatrNada.JK000007-ara1,اخبار,14
0761JamalDinIbnHisham.SharhQatrNada.JK000007-ara1,الامرا,4
0761JamalDinIbnHisham.SharhQatrNada.JK000007-ara1,All phrases,18
0281IbnAbiDunya.MaradWaKaffarat.JK000014-ara1.completed,الامرا,2
0281IbnAbiDunya.MaradWaKaffarat.JK000014-ara1.completed,All phrases,2
0281IbnAbiDunya.Warac.JK000019-ara1.completed,اخبار,1
0458Bayhaqi.ShucabIman.JK000021-ara1.completed,اخبار,139
0458Bayhaqi.ShucabIman.JK000021-ara1.completed,الامرا,29
0458Bayhaqi.ShucabIman.JK000021-ara1.completed,All phrases,168
0430AbuNucaymIsbahani.HilyatAwliya.JK000022-ara1.completed,اخبار,48
0430AbuNucaymIsbahani.HilyatAwliya.JK000022-ara1.completed,الامرا,41
0430AbuNucaymIsbahani.HilyatAwliya.JK000022-ara1.completed,All phrases,89
0458Bayhaqi.FadailAwqat.JK000024-ara1.completed,اخبار,4
0728IbnTaymiyya.Istiqama.JK000028-ara1,اخبار,21
0728IbnTaymiyya.Istiqama.JK000028-ara1,الامرا,9
0728IbnTaymiyya.Istiqama.JK000028-ara1,All phrases,30
0581IbnKharratIshbili.CaqibaFiDhikrMawt.JK000030-ara1,اخبار,10
0581IbnKharratIshbili.CaqibaFiDhikrMawt.JK000030-ara1,الامرا,7
0581IbnKharratIshbili.CaqibaFiDhikrMawt.JK000030-ara1,All phrases,17
0795IbnRajabHanbali.SharhHadithLabbayka.JK000034-ara1,الامرا,1
0795IbnRajabHanbali.SharhHadithLabbayka.JK000034-ara1,All phrases,1
0505Ghazali.MaqsadAsna.JK000036-ara1,اخبار,11
0505Ghazali.MaqsadAsna.JK000036-ara1,الامرا,3
0505Ghazali.MaqsadAsna.JK000036-ara1,All phrases,14
0281IbnAbiDunya.Manamat.JK000038-ara1.mARkdown,اخبار,1
0281IbnAbiDunya.CumrWaShayb.JK000045-ara1.mARkdown,اخبار,1
0281IbnAbiDunya.Hawatif.JK000050-ara1.mARkdown,اخبار,2
0181IbnMubarak.Zuhd.JK000055-ara1,اخبار,5
0181IbnMubarak.Zuhd.JK000055-ara1,الامرا,5
0181IbnMubarak.Zuhd.JK000055-ara1,All phrases,10
0751IbnQayyimJawziyya.Fawaid.JK000060-ara1,اخبار,6
0751IbnQayyimJawziyya.Fawaid.JK000060-ara1,الامرا,2
0751IbnQayyimJawziyya.Fawaid.JK000060-ara1,All phrases,8
0597IbnJawzi.TadhkiraFiWacz.JK000074-ara1,اخبار,2
0597IbnJawzi.TadhkiraFiWacz.JK000074-ara1,الامرا,3
0597IbnJawzi.TadhkiraFiWacz.JK000074-ara1,All phrases,5
0728IbnTaymiyya.ZuhdWaWarac.JK000077-ara1,اخبار,2
0728IbnTaymiyya.ZuhdWaWarac.JK000077-ara1,الامرا,1
0728IbnTaymiyya.ZuhdWaWarac.JK000077-ara1,All phrases,3
0728IbnTaymiyya.AmradQulub.JK000079-ara1,الامرا,3
0728IbnTaymiyya.AmradQulub.JK000079-ara1,All phrases,3
0751IbnQayyimJawziyya.HadiArwah.JK000083-ara1,اخبار,19
0751IbnQayyimJawziyya.HadiArwah.JK000083-ara1,الامرا,6
0751IbnQayyimJawziyya.HadiArwah.JK000083-ara1,All phrases,25
0751IbnQayyimJawziyya.NaqdManqul.JK000096-ara1,اخبار,2
0751IbnQayyimJawziyya.NaqdManqul.JK000096-ara1,الامرا,1
0751IbnQayyimJawziyya.NaqdManqul.JK000096-ara1,All phrases,3
0751IbnQayyimJawziyya.Salat.JK000099-ara1,اخبار,3
0751IbnQayyimJawziyya.Salat.JK000099-ara1,الامرا,9
0751IbnQayyimJawziyya.Salat.JK000099-ara1,All phrases,12
0751IbnQayyimJawziyya.SawaciqMursala.JK000101-ara1,اخبار,105
0751IbnQayyimJawziyya.SawaciqMursala.JK000101-ara1,الامرا,9
0751IbnQayyimJawziyya.SawaciqMursala.JK000101-ara1,All phrases,114
0256Bukhari.Sahih.JK000110-ara1.completed,اخبار,5
0256Bukhari.Sahih.JK000110-ara1.completed,الامرا,6
0256Bukhari.Sahih.JK000110-ara1.completed,All phrases,11
0666IbnAbiBakrZaynDinRazi.TuhfatMuluk.JK000114-ara1,الامرا,2
0666IbnAbiBakrZaynDinRazi.TuhfatMuluk.JK000114-ara1,All phrases,2
0321AbuJacfarTahawi.MatnCaqida.JK000126-ara1,اخبار,2
0303Nasai.SunanSughra.JK000130-ara1.completed,اخبار,1
0303Nasai.SunanSughra.JK000130-ara1.completed,الامرا,4
0303Nasai.SunanSughra.JK000130-ara1.completed,All phrases,5
0676Nawawi.TahrirAlfaz.JK000168-ara1,اخبار,4
0482IbnMuhammadBazdawi.KanzWusul.JK000173-ara1,اخبار,19
0344NizamDinShashi.Usul.JK000194-ara1,اخبار,8
0665AbuShama.MukhtasarMuammal.JK000206-ara1,اخبار,2
0656IbnAhmadShihabDinZanjani.TakhrijFuruc.JK000212-ara1,اخبار,6
0656IbnAhmadShihabDinZanjani.TakhrijFuruc.JK000212-ara1,الامرا,1
0656IbnAhmadShihabDinZanjani.TakhrijFuruc.JK000212-ara1,All phrases,7
0526IbnAbiYacla.TabaqatHanabila.JK000213-ara1.completed,اخبار,56
0526IbnAbiYacla.TabaqatHanabila.JK000213-ara1.completed,الامرا,5
0526IbnAbiYacla.TabaqatHanabila.JK000213-ara1.completed,All phrases,61
0597IbnJawzi.TahqiqFiAhadithKhilaf.JK000221-ara1,اخبار,24
0597IbnJawzi.TahqiqFiAhadithKhilaf.JK000221-ara1,الامرا,3
0597IbnJawzi.TahqiqFiAhadithKhilaf.JK000221-ara1,All phrases,27
0803IbnLahhamCalaDinBacli.MukhtasarFiUsulFiqh.JK000223-ara1,اخبار,6
0803IbnLahhamCalaDinBacli.MukhtasarFiUsulFiqh.JK000223-ara1,الامرا,1
0803IbnLahhamCalaDinBacli.MukhtasarFiUsulFiqh.JK000223-ara1,All phrases,7
0676Nawawi.AdabFatwa.JK000237-ara1,اخبار,3
0926ZakariyyaAnsari.HududAniqa.JK000245-ara1,اخبار,1
0660SultanCulamaCizzDinDimashqi.FawaidFiIkhtisarMaqasid.JK000260-ara1,اخبار,1
0660SultanCulamaCizzDinDimashqi.FawaidFiIkhtisarMaqasid.JK000260-ara1,الامرا,4
0660SultanCulamaCizzDinDimashqi.FawaidFiIkhtisarMaqasid.JK000260-ara1,All phrases,5
0882LisanDinIbnShihnaHalabi.LisanHukkam.JK000262-ara1,اخبار,19
0882LisanDinIbnShihnaHalabi.LisanHukkam.JK000262-ara1,الامرا,3
0882LisanDinIbnShihnaHalabi.LisanHukkam.JK000262-ara1,All phrases,22
0804IbnMulaqqin.TuhfatMuhtaj.JK000271-ara1,اخبار,2
0476AbuIshaqShirazi.MuhadhdhabFiFiqh.JK000272-ara1,اخبار,34
0476AbuIshaqShirazi.MuhadhdhabFiFiqh.JK000272-ara1,الامرا,7
0476AbuIshaqShirazi.MuhadhdhabFiFiqh.JK000272-ara1,All phrases,41
0620IbnQudamaMaqdisi.CumdatFiqh.JK000287-ara1,اخبار,1
0620IbnQudamaMaqdisi.CumdatFiqh.JK000287-ara1,الامرا,1
0620IbnQudamaMaqdisi.CumdatFiqh.JK000287-ara1,All phrases,2
0977KhatibShirbini.Iqnac.JK000291-ara1,اخبار,77
0977KhatibShirbini.Iqnac.JK000291-ara1,الامرا,4
0977KhatibShirbini.Iqnac.JK000291-ara1,All phrases,81
0660SultanCulamaCizzDinDimashqi.ImamFiBayan.JK000293-ara1,اخبار,9
0521IbnMuhammadBatalyawsi.InsafFiTanbih.JK000294-ara1,اخبار,5
0911Suyuti.TakrirIstinad.JK000297-ara1,اخبار,9
0861IbnHumam.SharhFathQadir.JK000299-ara1,اخبار,199
0861IbnHumam.SharhFathQadir.JK000299-ara1,الامرا,5
0861IbnHumam.SharhFathQadir.JK000299-ara1,All phrases,204
0476AbuIshaqShirazi.TanbihFiFiqhShafici.JK000303-ara1,اخبار,1
0926ZakariyyaAnsari.ManhajTullab.JK000304-ara1,اخبار,4
0478ImamHaramaynJuwayni.Waraqat.JK000308-ara1,اخبار,4
0370AbuMansurAzhari.ZahirFiGharibAlfazShafici.JK000311-ara1,اخبار,5
0458Bayhaqi.IthbatCadhabQabr.JK000314-ara1.completed,اخبار,4
0197IbnWahbQurashi.Qadar.JK000316-ara1,اخبار,2
0571IbnCasakir.TabyinKadhb.JK000318-ara1,اخبار,25
0571IbnCasakir.TabyinKadhb.JK000318-ara1,الامرا,1
0571IbnCasakir.TabyinKadhb.JK000318-ara1,All phrases,26
0241IbnHanbal.CaqidaRiwayatKhallal.JK000323-ara1,اخبار,1
0631SayyidDinAmidiThaclabi.GhayatMaram.JK000324-ara1,اخبار,35
0631SayyidDinAmidiThaclabi.GhayatMaram.JK000324-ara1,الامرا,1
