pos,word,count
12,رجله,1
12,الخبر,1
12,ديوان,1
12,الاردب,1
12,بابه,1
12,من,2
12,وحتي,2
12,اكل,1
12,ووقع,1
12,عشرين,1
12,فكانت,1
12,ينجده,1
12,النعمه,1
12,الدينار,1
12,فقبض,1
12,ايدي,1
12,ونحف,2
12,ماتي,1
12,عشر,1
12,مع,1
12,في,1
12,علي,2
12,بدرهم,1
12,دنانير,1
12,والخبز,1
12,حتي,1
12,مولده,1
12,وسبعين,2
12,الامر,2
12,وتمزقوا,1
12,وكانت,1
12,به,1
12,خارج,1
12,وفيها,1
12,شهور,1
12,توفي,1
12,وغير,1
12,ذبح,1
12,ونهك,1
12,وهو,1
12,عنه,1
12,درهما,1
12,مقاطعه,1
12,وهرب,1
12,ووقعت,1
12,دين,1
12,نجيب,1
12,بمسير,1
12,جميع,1
12,يوف,1
12,يعطي,1
12,اول,1
12,وبيع,1
12,منه,1
12,الغايه,1
12,خلالها,1
12,السعر,1
12,يحمل,1
12,بسبعين,1
12,الحشيش,1
12,هذه,1
12,القمح,1
12,وغيرهما,1
12,وقد,1
12,حكي,1
12,فقال,1
12,يحج,1
12,فقيل,1
12,بعض,1
12,والسنانير,1
12,العقيبه,1
12,علينا,1
12,اواق,1
12,والميزان,1
12,وعبد,1
12,المراكب,1
12,وخمسين,1
13,الاردب,1
13,تزايد,1
13,عاملها,3
13,وستين,1
13,يغسلون,1
13,الضعفا,1
13,قد,1
13,الاوات,1
13,ازاله,1
13,الزاهد,1
13,يصيح,1
13,باعت,1
13,الامر,1
13,ذكر,1
13,عشر,1
13,فصبروا,1
13,واكل,1
13,والسنانير,1
13,شيطان,4
13,لمصر,1
13,البلقيني,2
13,بالاجتماع,1
13,رجع,1
13,وقعه,1
13,فيه,1
13,بدينار,1
13,شر,1
13,وصنع,1
13,حتي,1
13,علي,2
13,بفشا,1
13,المواريث,1
13,ستين,1
13,القمح,1
13,فاغلق,1
13,حواري,1
13,حكي,1
13,موتي,1
13,ذلك,2
13,تاثر,1
13,الوبا,1
13,عشرين,1
13,الكلاب,1
13,وشرع,1
13,لقد,1
13,الي,3
13,عليهم,1
13,سبا,1
13,السمين,3
13,درهم,1
13,درهما,4
13,لحقهم,1
13,الطعام,1
13,الليل,1
13,ما,2
13,ومات,1
13,وثلثين,1
13,رطل,1
13,اكل,1
13,في,1
13,قصد,1
13,ان,2
13,كل,1
13,تركيه,1
13,عن,1
13,البلد,1
13,تزوج,1
13,اعقبه,1
13,من,2
13,بنتا,1
13,قاعد,1
13,واما,1
13,فاخذها,1
13,الفلاحون,1
13,المراسله,1
13,الله,2
13,الدوله,1
13,دجاجه,1
13,القرامطه,1
13,سته,1
13,لجميع,1
13,ربيع,1
13,العقار,1
13,وجات,1
13,وفي,1
13,بعض,1
13,فتواقع,1
13,اليهم,1
13,وكثر,1
13,الناس,1
13,السنه,1
13,باربع,1
13,وفيها,1
13,زاد,1
13,انت,1
13,ركب,1
13,انها,1
13,الجهال,1
13,ولقد,1
13,قال,1
13,لمن,1
13,بدرهم,1
13,فالف,1
13,التي,1
14,وعدت,1
14,حتي,1
14,وهو,2
14,وماتين,1
14,ولا,2
14,الميته,1
14,شواه,1
14,عندهم,1
14,التسعير,1
14,ودفن,1
14,الخبز,1
14,عروضا,1
14,علي,2
14,عده,1
14,مكوكا,1
14,بعضهم,1
14,بعد,1
14,او,5
14,بالناس,1
14,فاجتمعوا,1
14,السعيد,1
14,بين,1
14,عالم,1
14,ونصف,1
14,قتله,1
14,له,2
14,ابيع,1
14,للاستسقا,1
14,العاده,1
14,الطاعون,1
14,نحو,1
14,فنعوذ,1
14,وصل,1
14,والدي,1
14,بعشرين,1
14,ان,1
14,الادميين,1
14,وفيها,1
14,الامام,1
14,بمكه,1
14,من,4
14,تاكل,1
14,اعداه,1
14,شاهدت,1
14,ثمانيه,1
14,وبطل,1
14,ومزقوا,1
14,فكيف,3
14,والرطل,1
14,وكانت,1
14,وبا,1
14,كل,1
14,وكبسه,1
14,هي,1
14,كثير,1
14,والتليس,1
14,وربع,1
14,الناس,2
14,سنه,2
14,بلاد,1
14,امراه,2
14,اكل,2
14,ممزق,1
14,ام,1
14,الطعام,1
14,فاجتمع,1
14,سيف,1
14,فنا,1
14,هذه,1
14,بن,1
14,لا,1
14,ومن,1
14,التمر,1
14,ورحل,1
14,للخوف,1
14,في,3
14,ابا,1
14,الجرجراي,1
14,الي,1
14,هو,1
14,عشر,1
14,اهل,1
14,الاول,1
14,بالرغفان,1
14,ريح,1
14,المثرات,1
14,فضجر,1
14,الموت,1
14,شده,1
14,النخاله,1
14,ماه,1
14,وثلاثه,1
14,به,1
14,شيطان,1
14,العراق,1
14,باعت,1
14,كانوا,1
14,دخلت,1
14,ابو,1
14,اولاك,1
14,ثم,1
14,العلما,1
14,ابن,1
14,فضه,1
15,من,3
15,بلغ,1
15,بره,1
15,فسار,1
15,يصلي,1
15,وكثر,1
15,لياكله,1
15,فلما,1
15,فسهل,1
15,عند,1
15,الخبز,2
15,قيمتها,1
15,اهل,1
15,حوادث,1
15,بالموصلي,1
15,هذا,1
15,بعضا,1
15,ان,1
15,رسول,4
15,لهما,1
15,الي,3
15,بالميدان,1
15,ناب,1
15,قتال,1
15,وحرقوه,1
15,ثوبا,1
15,الحمل,1
15,وفيه,1
15,صفر,1
15,باقليم,1
15,العشره,1
15,بالله,1
15,باب,1
15,بريه,1
15,الف,1
15,امراه,2
15,وفيها,1
15,توفي,1
15,الزركشي,1
15,وبغداد,1
15,بيوتهن,1
15,لحومهم,1
15,في,2
15,عشر,1
15,ذلك,2
15,كل,1
15,العجيف,3
15,سنه,1
15,وموت,1
15,شي,1
15,دور,1
15,عادتهم,1
15,القمح,1
15,بدرهم,1
15,الجيف,1
15,ثمان,1
15,افريقيه,1
15,اكلت,2
15,الادميين,2
15,قال,1
15,ولد,1
15,ولم,1
15,عليهم,1
15,الدين,1
15,عظيم,1
15,السنه,1
15,عيسي,1
15,البلاد,1
15,واكلها,1
15,يستطيع,1
