terms
حتي اكل بعضهم بعضا
حتي ابيع الكلب ب
وعم الغلاء تلك الاصقاع حتي اكل الناس الميتة والكلاب
حتي اكل الناس الميتة والكلاب
"وعم الغلاء\s(\w+\s){0,4}حتي اكل الناس الميتة والكلاب"
لحوم الدواب الميتة
لحوم الكلاب
حتي اكل الناس الميتة والكلاب والسنانير
فاكل الناس الميتة والكلاب والسنانير
اشتد الغلاء
حتي اكل الناس الميتة والكلاب واكل الناس بعضهم بعضا
واكل الناس بعضهم بعضا
وافنيت الحمر والخيل والبغال والكلاب من اكل الناس لها
ولم يبق شء من هذه الحيوانات يلوح
قد اشتد عندهم وعدموا القوت واكلوا الكلاب والميتة
واكلوا الكلاب والميتة
حتي اكلوا الكلاب والحمر
 اكلوا الكلاب والحمر
حتي اكلوا الكلاب
حتي اكلوا الكلاب والجيف
حتي اكلوا الجيف والعظام والكلاب
حتي اكلوا الكلاب والجيف
كسني يوسف
