,section,st_pos,mid_pos,first-century,pre-fatimid,fatimid,ayyubid,mamluk
0,1,0,105.0,0,0,0,0,0
1,2,210,1283.5,0,0,0,0,0
2,3,2357,3614.0,0,0,0,0,0
3,4,4871,5185.0,0,0,0,0,0
4,5,5499,5775.5,0,0,0,0,0
5,6,6052,6233.0,0,0,0,0,0
6,7,6414,7202.5,0,0,0,0,0
7,8,7991,8207.0,0,0,0,0,0
8,9,8423,8709.0,0,0,0,0,0
9,10,8995,9178.0,1,0,0,0,0
10,11,9361,9674.5,0,3,0,0,0
11,12,9988,11272.0,8,1,0,0,0
12,13,12556,14481.0,3,0,2,0,0
13,14,16406,19823.0,2,0,1,0,0
14,15,23240,25199.0,0,0,1,0,0
15,16,27158,27631.0,0,0,0,0,0
16,17,28104,28366.5,0,0,0,0,0
17,18,28629,28923.5,0,0,0,0,0
18,19,29218,31015.5,2,0,0,0,0
19,20,32813,37099.5,2,0,0,0,1
20,21,41386,41801.5,0,0,0,0,1
21,22,42217,42742.5,0,0,0,0,1
22,23,43268,55224.5,11,7,0,0,6
23,24,67181,72542.5,3,0,1,1,0
24,25,77904,80160.5,0,0,0,0,0
25,26,82417,84594.5,0,0,0,0,0
26,27,86772,87811.5,0,0,0,0,0
27,28,88851,92133.0,1,0,0,0,1
