,Distinct count
377,1
343,1
321,1
306,1
322,1
333,1
341,1
317,1
369,1
352,1
373,1
394,1
370,1
371,1
326,1
324,1
376,1
359,1
351,1
315,1
325,1
328,2
348,2
397,2
349,2
339,2
367,2
309,2
312,2
319,2
396,2
372,2
310,2
375,2
374,2
313,2
335,2
342,2
356,3
344,3
302,3
382,3
311,3
355,3
334,3
389,3
385,3
353,3
398,3
340,3
383,3
391,3
331,3
323,3
304,4
303,4
379,4
384,4
305,4
346,4
336,4
301,4
364,4
390,4
399,4
368,4
366,4
361,4
345,5
347,5
350,5
388,5
332,6
378,6
387,6
308,6
330,6
365,7
363,8
307,8
357,8
386,8
381,8
395,9
362,10
380,10
393,10
360,11
300,17
358,22
