section,section_title,st_pos,mid_pos,@YY806,@YY010,@YY020,@YY700,@YY790,@YY358,@YY516,@YY725,@YY567,@YY780
57,### || الشرف:,88559,88606.0,0,0,0,0,0,0,0,0,0,0
58,### || ذكر الرصد,88653,89625.0,0,0,0,0,0,0,0,0,0,0
59,### | ذكر مدائن أرض مصر,90597,90955.0,0,0,0,0,0,0,0,0,0,0
60,### || ذكر مدينة أمسوس وعجائبها وملوكها,91313,93187.0,0,0,0,0,0,0,0,0,0,0
61,### || ذكر مدينة منف وملوكها,95061,98575.0,0,0,1,0,0,0,0,0,0,0
62,### | ذكر مدينة الإسكندرية,102089,104312.0,0,0,0,0,0,0,0,0,0,0
63,### ||| ذكر الإسكندر,106535,107043.5,0,0,0,0,0,0,0,0,0,0
64,### ||| ذكر تاريخ الإسكندر,107552,107993.5,0,0,0,1,0,0,0,0,0,0
65,### ||| ذكر الفرق بين الإسكندر وذي القرنين وأنهما رجلان,108435,108803.5,0,0,0,0,0,0,0,0,0,0
66,### ||| ذكر من ولي الملك بالإسكندرية بعد الإسكندر,109172,109692.0,0,0,0,0,0,1,0,0,0,0
67,### ||| ذكر منارة الإسكندرية,110212,111205.5,0,0,0,0,0,0,0,0,0,0
68,### ||| ذكر الملعب الذي كان بالإسكندرية وغيره من العجائب,112199,112590.0,0,0,0,0,0,0,0,0,0,0
69,### ||| ذكر عمود السواري,112981,113959.5,0,0,0,0,0,0,0,0,0,0
70,### ||| ذكر طرف مما قيل في الإسكندرية,114938,115291.5,0,0,0,0,0,0,0,0,0,0
71,### ||| ذكر فتح الإسكندرية,115645,116963.0,0,0,2,0,0,0,0,0,0,0
72,### ||| ذكر ما كان من فعل المسلمين بالإسكندرية وانتقاض الروم,118281,119253.0,0,0,0,0,0,0,0,0,0,0
73,### ||| ذكر بحيرة الإسكندرية,120225,120294.5,0,0,0,0,0,0,0,0,0,0
74,### ||| ذكر خليج الإسكندرية,120364,121350.5,0,0,0,0,0,0,0,0,0,0
75,### ||| ذكر جمل حوادث الإسكندرية,122337,123464.0,0,0,0,0,0,1,0,0,0,0
76,### || ذكر مدينة أتريب,124591,124786.0,0,0,0,0,0,0,0,0,0,0
77,### || ذكر مدينة تنيس,124981,126992.0,0,0,0,0,0,0,0,0,0,0
78,### ||| سمناي:,129003,129043.0,0,0,0,0,0,0,0,0,0,0
79,### ||| بورا:,129083,129106.5,0,0,0,0,0,0,0,0,0,0
80,### ||| القيس:,129130,129166.5,0,0,0,0,0,0,0,0,0,0
81,### || ذكر مدينة صا,129203,129417.5,0,0,0,0,1,0,0,0,0,0
82,### || رمل الغرابي,129632,129826.0,0,0,0,0,0,0,0,0,0,0
83,### ||| مراقية:,130020,130129.0,0,0,0,0,0,0,0,0,0,0
84,### ||| غيفة:,130238,130256.0,0,0,0,0,0,0,0,0,0,0
85,### ||| سمنود:,130274,130303.0,0,0,0,0,0,0,0,0,0,0
86,### || ذكر مدينة بلبيس,130332,130487.0,1,0,0,0,0,0,0,0,0,0
87,### || ذكر بلد الورادة,130642,130751.5,0,0,0,0,0,0,0,0,0,0
88,### || الصالحية:,130861,130888.0,0,0,0,0,0,0,0,0,0,0
89,### || ذكر مدينة أيلة,130915,131551.5,0,0,0,0,0,0,0,0,0,0
90,### || مربوط:,132188,132241.5,0,0,0,0,0,0,0,0,0,0
91,### || وادي هبيب:,132295,132422.0,0,0,0,0,0,0,0,0,0,0
92,### || ذكر مدينة مدين,132549,133211.0,0,0,0,0,0,0,0,0,0,0
93,### || ذكر مدينة فاران,133873,133939.0,0,0,0,0,0,0,0,0,0,0
94,### || ذكر أرض الجفار,134005,134089.5,0,0,0,0,0,0,0,0,0,0
95,### || ذكر صعيد مصر,134174,134595.5,1,0,0,0,0,0,0,0,0,0
96,### || ذكر الجنادل «1» ولمع من أخبار أرض النوبة,135017,135533.0,0,0,0,0,0,0,0,0,0,0
97,### || ذكر تشعب النيل من بلاد علوة ومن يسكن عليه من الأمم,136049,136862.5,0,0,0,0,0,0,0,0,0,0
98,### || ذكر البجة ويقال إنهم من البربر,137676,139036.5,0,0,0,0,0,0,0,0,0,0
99,### || ذكر مدينة أسوان,140397,140937.5,1,0,0,0,1,0,0,0,0,0
100,### || ذكر بلاق,141478,141521.5,0,0,0,0,0,0,0,0,0,0
101,### || ذكر حائط العجوز,141565,141707.0,0,0,0,0,0,0,0,0,0,0
102,### || ذكر البقط,141849,142834.0,0,0,1,0,0,0,0,0,0,0
103,### || ذكر صحراء عيذاب,143819,144132.0,0,0,0,0,0,0,0,0,0,0
