,Distinct count
161,1
477,1
532,1
165,1
816,1
475,1
788,1
373,1
495,1
425,1
239,1
144,1
109,1
106,1
119,1
556,1
126,1
502,1
772,1
166,1
243,1
498,1
151,1
159,1
121,1
181,1
777,1
900,1
227,1
135,1
191,1
813,1
138,1
163,1
118,1
129,1
141,1
146,1
189,1
193,1
152,1
820,1
112,1
116,1
114,1
781,1
424,1
810,1
831,1
793,1
765,1
226,1
185,1
197,1
464,1
481,1
206,1
504,1
158,1
188,1
222,1
787,1
221,1
497,1
779,1
823,1
794,1
411,1
177,1
192,1
756,2
162,2
148,2
184,2
196,2
176,2
211,2
249,2
797,2
136,2
225,2
451,2
752,2
811,2
160,2
773,2
182,2
171,2
203,2
775,2
175,2
107,2
763,2
759,2
143,2
770,2
496,2
506,2
419,2
783,2
125,2
513,2
757,2
542,2
117,2
108,2
113,2
133,2
479,2
257,2
465,2
247,2
103,2
499,2
139,2
120,2
799,2
238,2
130,2
186,2
195,2
198,2
484,2
147,2
110,2
807,2
780,2
751,2
224,2
786,2
819,2
223,2
199,2
493,2
461,2
442,2
472,2
531,2
490,2
508,2
492,2
796,2
178,2
207,2
800,3
180,3
242,3
505,3
446,3
281,3
459,3
457,3
167,3
445,3
421,3
471,3
253,3
804,3
815,3
453,3
792,3
413,3
821,3
764,3
545,3
233,3
755,3
758,3
396,3
494,3
762,3
473,3
509,3
534,3
236,3
164,3
219,3
237,3
452,3
169,3
104,3
488,3
168,3
101,3
140,3
460,3
470,3
201,3
246,3
008,3
123,3
579,3
535,3
805,3
127,3
375,3
518,3
438,3
209,3
398,3
244,3
137,3
553,3
005,3
155,3
817,3
261,3
538,3
333,3
397,3
766,3
216,3
435,3
229,3
436,3
808,3
382,4
391,4
210,4
217,4
377,4
132,4
273,4
489,4
174,4
551,4
469,4
395,4
379,4
577,4
439,4
383,4
524,4
230,4
212,4
501,4
458,4
478,4
657,4
408,4
409,4
552,4
215,4
768,4
774,4
102,4
743,4
586,4
523,4
527,4
403,4
414,4
347,4
776,4
131,4
105,4
124,4
208,4
278,4
503,4
443,4
547,4
142,4
228,4
760,4
115,4
557,4
428,4
361,4
235,4
326,4
761,5
205,5
066,5
331,5
385,5
432,5
417,5
370,5
316,5
525,5
467,5
422,5
454,5
245,5
220,5
806,5
420,5
753,5
790,5
562,5
259,5
500,5
463,5
351,5
526,5
170,5
416,5
200,5
254,5
009,5
563,5
214,5
240,5
429,5
389,5
405,5
418,5
568,5
274,5
401,5
487,5
591,5
412,5
511,5
485,5
444,5
179,5
232,5
213,5
456,5
466,5
288,5
154,5
410,5
001,5
267,5
575,5
285,5
585,5
128,5
231,5
202,5
392,5
566,5
369,6
352,6
589,6
007,6
365,6
434,6
378,6
482,6
272,6
491,6
251,6
145,6
368,6
402,6
279,6
510,6
791,6
528,6
468,6
809,6
255,6
455,6
334,6
329,6
071,6
433,6
087,6
514,6
275,6
769,6
537,6
554,6
286,6
431,6
519,6
342,7
536,7
430,7
407,7
265,7
295,7
376,7
555,7
404,7
386,7
440,7
530,7
546,7
314,7
597,7
754,7
262,7
248,7
427,7
393,7
571,7
277,7
476,7
280,7
150,7
325,7
543,7
574,7
004,7
085,7
283,7
276,7
520,7
387,7
374,7
541,7
304,7
003,7
372,7
594,7
507,7
448,7
371,8
558,8
399,8
802,8
462,8
266,8
298,8
076,8
394,8
582,8
406,8
607,8
294,8
013,8
263,8
567,8
595,8
073,8
289,8
068,8
533,8
356,8
539,8
344,8
094,8
075,8
271,8
587,8
592,8
381,8
269,8
081,8
550,8
287,8
296,8
348,8
561,9
218,9
384,9
564,9
284,9
517,9
380,9
540,9
260,9
584,9
572,9
747,9
649,9
319,9
282,9
598,9
388,9
308,9
576,9
740,9
074,9
736,9
256,9
573,9
346,9
733,9
030,9
038,9
516,9
323,9
415,9
241,9
544,9
353,9
089,9
317,9
522,9
355,9
324,9
609,10
069,10
515,10
744,10
268,10
299,10
311,10
565,10
447,10
292,10
354,10
338,10
056,10
663,10
049,10
320,10
057,10
666,10
569,10
559,10
250,10
746,10
750,10
328,10
332,10
588,10
327,10
313,11
628,11
366,11
291,11
307,11
641,11
688,11
363,11
014,11
529,11
318,11
675,11
293,11
664,11
621,11
583,11
580,11
077,11
624,11
735,11
312,11
605,11
349,11
350,11
091,11
015,11
054,11
026,11
359,11
060,11
578,11
258,11
341,11
321,11
734,11
362,11
336,11
441,11
033,11
037,11
020,11
309,11
669,11
632,11
315,11
100,12
204,12
364,12
086,12
072,12
301,12
655,12
601,12
343,12
732,12
672,12
335,12
067,12
090,12
705,12
748,12
061,12
611,12
801,12
560,12
039,12
044,12
339,12
084,12
306,13
070,13
670,13
290,13
674,13
622,13
714,13
083,13
590,13
570,13
593,13
045,13
062,13
612,13
616,13
079,13
367,13
608,13
599,13
055,13
059,13
046,13
803,13
706,13
390,13
264,13
058,13
671,13
034,13
024,13
647,14
654,14
742,14
023,14
548,14
099,14
029,14
629,14
002,14
683,14
741,14
021,14
665,14
088,14
662,14
006,14
297,14
512,14
078,14
644,15
737,15
345,15
016,15
063,15
270,15
635,15
053,15
667,15
604,15
618,15
668,15
596,15
047,15
646,15
581,15
626,15
648,15
097,15
645,15
450,15
652,15
682,15
640,15
698,15
330,15
305,15
050,15
676,15
340,16
697,16
028,16
673,16
400,16
679,16
658,16
603,16
651,16
613,16
011,16
745,16
080,16
727,16
739,16
041,16
017,16
713,16
098,16
300,16
082,16
677,16
357,16
018,16
726,16
036,16
723,17
729,17
738,17
619,17
634,17
689,17
639,17
337,17
721,17
310,17
704,17
043,17
687,17
722,17
042,17
623,17
549,17
638,18
602,18
606,18
730,18
642,18
610,18
659,18
715,18
614,18
661,18
302,18
096,18
718,18
093,18
031,18
022,18
322,18
032,18
653,19
625,19
684,19
360,19
600,19
051,19
724,19
716,19
633,19
012,19
731,19
025,19
650,19
717,19
027,19
681,20
692,20
725,20
686,20
660,20
694,20
048,20
095,20
707,20
712,20
019,20
035,20
358,21
685,21
701,21
064,21
010,21
627,22
040,22
656,22
702,22
631,22
678,22
065,22
703,22
693,23
643,23
303,23
720,23
092,23
728,24
637,24
615,24
708,25
691,25
719,25
680,25
052,25
700,26
630,26
620,27
696,28
636,28
617,29
749,29
695,31
690,31
709,33
699,33
711,33
710,36
000,939
