,section,st_pos,mid_pos,first-century,pre-fatimid,fatimid,ayyubid,bahri-mamluk,circassian-mamluk
0,1,0,148.5,0,0,0,0,0,0
1,2,297,450.0,0,0,0,0,0,0
2,3,603,761.0,0,0,0,0,0,0
3,4,919,1076.0,0,0,0,0,0,0
4,5,1233,1389.0,0,0,0,0,1,0
5,6,1545,1703.5,0,0,0,0,0,0
6,7,1862,2021.5,2,0,2,0,0,0
7,8,2181,2344.0,4,0,0,0,2,1
8,9,2507,2666.5,0,0,0,0,0,0
9,10,2826,2983.0,0,0,0,0,0,0
10,11,3140,3292.0,0,0,0,0,0,0
11,12,3444,3598.0,0,0,0,0,0,0
12,13,3752,3907.0,0,0,0,0,0,0
13,14,4062,4231.0,0,0,0,0,0,0
14,15,4400,4556.0,0,0,0,0,0,0
15,16,4712,4868.5,0,0,0,0,0,0
16,17,5025,5178.0,0,0,0,0,0,0
17,18,5331,5486.5,0,0,0,0,0,0
18,19,5642,5796.5,0,0,0,0,0,0
19,20,5951,6104.0,0,0,0,0,0,0
20,21,6257,6410.5,0,0,0,0,0,0
21,22,6564,6716.5,0,0,0,0,0,0
22,23,6869,7022.5,0,0,0,0,0,0
23,24,7176,7329.5,0,0,0,0,0,0
24,25,7483,7634.5,0,0,0,0,0,0
25,26,7786,7940.5,0,0,0,0,0,0
26,27,8095,8249.5,0,0,0,0,0,0
27,28,8404,8561.0,0,0,0,0,0,0
28,29,8718,8871.0,0,0,0,0,0,0
29,30,9024,9175.5,0,0,0,0,0,0
30,31,9327,9480.0,0,0,0,0,0,0
31,32,9633,9793.0,0,0,0,0,0,0
32,33,9953,10105.0,0,0,0,0,0,0
33,34,10257,10412.5,0,0,0,0,0,0
34,35,10568,10721.0,0,0,0,0,0,0
35,36,10874,11029.0,0,0,0,0,0,0
36,37,11184,11341.0,0,0,0,0,0,0
37,38,11498,11649.0,0,0,0,0,0,0
38,39,11800,11953.5,0,0,0,0,0,0
39,40,12107,12262.0,0,0,0,0,0,0
40,41,12417,12579.0,1,0,0,0,0,0
41,42,12741,12894.5,0,0,0,0,0,0
42,43,13048,13201.0,0,0,0,0,0,0
43,44,13354,13512.0,0,0,0,0,0,0
44,45,13670,13832.5,0,0,0,0,0,0
45,46,13995,14161.5,0,0,0,0,0,0
46,47,14328,14490.0,0,0,0,0,0,0
47,48,14652,14815.5,0,0,0,0,0,0
48,49,14979,15142.0,0,0,0,0,0,0
49,50,15305,15471.5,0,0,0,0,0,0
50,51,15638,15799.0,0,0,0,0,0,0
51,52,15960,16117.0,0,0,0,0,0,0
52,53,16274,16430.0,0,0,0,0,0,0
53,54,16586,16740.0,0,0,0,0,0,0
54,55,16894,17049.0,0,0,0,0,0,0
55,56,17204,17356.0,0,0,0,0,0,0
56,57,17508,17662.0,0,0,0,0,0,0
57,58,17816,17975.5,0,0,0,0,0,0
58,59,18135,18289.0,0,0,0,0,0,0
59,60,18443,18601.0,0,0,0,0,1,0
60,61,18759,18912.5,1,1,0,0,0,0
61,62,19066,19220.5,0,0,0,0,0,0
62,63,19375,19530.0,0,0,0,0,0,0
63,64,19685,19839.5,1,0,0,0,0,0
64,65,19994,20149.5,0,0,0,0,0,0
65,66,20305,20461.5,1,0,0,0,0,0
66,67,20618,20775.0,0,0,0,0,0,0
67,68,20932,21091.0,0,0,0,0,0,0
68,69,21250,21404.5,0,0,0,0,0,0
69,70,21559,21712.0,0,0,0,0,0,0
70,71,21865,22018.5,0,0,0,0,0,0
71,72,22172,22326.0,0,0,0,0,0,0
72,73,22480,22635.0,0,0,0,0,0,0
73,74,22790,22942.5,0,0,0,0,0,0
74,75,23095,23250.0,1,0,0,0,0,0
75,76,23405,23559.5,0,0,0,0,0,0
76,77,23714,23867.0,0,0,0,0,0,0
77,78,24020,24174.5,0,1,0,0,0,0
78,79,24329,24483.5,0,0,0,0,0,0
79,80,24638,24791.5,0,0,0,0,0,0
80,81,24945,25099.0,0,0,0,0,0,0
81,82,25253,25406.5,0,0,0,0,0,0
82,83,25560,25714.5,0,0,0,0,0,0
83,84,25869,26023.0,0,0,0,0,0,0
84,85,26177,26331.0,0,0,0,0,0,0
85,86,26485,26637.0,0,0,0,0,0,0
86,87,26789,26943.5,0,0,0,0,0,0
87,88,27098,27253.5,0,0,0,0,0,0
88,89,27409,27565.0,0,0,0,0,0,0
89,90,27721,27877.0,0,0,0,0,0,0
90,91,28033,28187.0,0,0,0,0,0,0
91,92,28341,28494.0,0,2,0,0,0,0
92,93,28647,28804.0,0,0,0,0,0,0
93,94,28961,29121.0,0,0,0,0,0,0
94,95,29281,29437.0,0,0,0,0,0,0
95,96,29593,29745.5,0,0,0,0,0,0
96,97,29898,30053.0,0,0,0,0,0,0
97,98,30208,30362.5,0,0,0,0,0,0
98,99,30517,30673.0,0,0,0,0,0,0
99,100,30829,30981.5,0,0,0,0,0,0
100,101,31134,31288.0,0,0,0,0,0,0
101,102,31442,31599.5,0,0,0,0,0,0
102,103,31757,31911.0,0,0,0,0,0,0
103,104,32065,32219.0,0,0,0,0,0,0
104,105,32373,32527.0,0,0,0,0,0,0
105,106,32681,32834.0,0,0,0,0,0,0
106,107,32987,33141.0,0,0,0,0,0,0
107,108,33295,33448.0,0,0,0,0,0,0
108,109,33601,33760.5,1,0,1,0,0,0
109,110,33920,34078.0,3,0,0,0,0,0
110,111,34236,34392.5,0,0,0,0,0,0
111,112,34549,34705.0,0,0,0,0,0,0
112,113,34861,35018.5,0,0,0,0,0,0
113,114,35176,35333.5,0,0,0,0,0,0
114,115,35491,35646.0,0,0,0,0,0,0
115,116,35801,35955.5,0,0,0,0,0,0
116,117,36110,36262.5,0,0,0,0,0,0
117,118,36415,36568.0,0,0,0,0,0,0
118,119,36721,36878.5,0,0,0,0,0,0
119,120,37036,37191.0,0,0,0,0,0,0
120,121,37346,37500.0,0,0,0,0,0,0
121,122,37654,37808.0,0,0,0,0,0,0
122,123,37962,38117.0,0,0,0,0,0,0
123,124,38272,38427.5,0,0,0,0,0,0
124,125,38583,38736.5,0,0,0,0,0,0
125,126,38890,39044.5,0,0,0,0,0,0
126,127,39199,39353.0,0,0,0,0,0,0
127,128,39507,39660.5,0,0,0,0,0,0
128,129,39814,39968.0,0,0,0,0,0,0
129,130,40122,40282.5,0,0,0,0,0,0
130,131,40443,40600.0,1,3,0,0,0,0
