word,count
والي,3
لاجل,3
الاسعار,3
الفقرا,3
مطمنه,3
فنادي,3
رطل,3
اصابهم,3
عز,3
الهه,3
انا,3
المال,3
وذهاب,3
قريه,3
رجب,3
للمشركين,3
وماتين,3
وجدب,3
بلوناهم,3
قبل,3
شرف,3
مه,3
عادوا,3
والحمله,3
امنه,3
مرو,3
واللحم,3
الذهب,3
البلقيني,3
ولد,3
وعز,3
يتضرعوا,3
عظيمه,3
المراه,3
لربهم,3
لقد,3
اسماعيل,3
وخمسماه,3
يبلغ,3
لحوم,3
العام,3
الاصقاع,3
دور,3
واجعلها,3
بامر,3
الساعه,3
الصلح,3
حنطه,3
الحاكم,3
واشترت,3
نحو,3
حمص,3
ج,3
وزاد,3
لكم,3
العادل,3
عروضا,3
فقيل,3
فاستبعد,3
عنكم,3
طعام,3
عجزوا,3
والميته,3
السما,3
وغير,3
بستان,3
فرايت,3
المحرم,3
فهلك,3
الاعراف,3
جنازه,3
اجعلها,3
فيقال,3
مفرط,3
البلدان,3
عده,3
ووبا,3
والضجيج,3
فوقع,3
اولادها,3
الحيوانات,3
البين,3
واصلاح,3
الجزيره,3
الحديث,3
والصلاه,3
العسكر,3
بالصوم,3
فامر,3
دخلت,3
يوما,3
حيث,3
الخطب,3
بثلاثماه,3
العقار,3
الحب,3
دمشق,3
فكتب,3
ووقع,3
لله,3
المخزن,3
السمن,3
عشره,3
والهر,3
فاعطي,3
بخمسه,3
بعده,3
باب,3
فهرب,3
الانسان,3
مروان,3
الموتي,3
ببني,3
بتسعه,3
المصري,3
يكون,3
فاشتري,3
والحشيش,3
سبعه,3
وماتوا,3
شيا,3
اخذنا,2
وظهر,2
الادني,2
يضجون,2
عدم,2
مصاب,2
بستين,2
وفقد,2
واسقامها,2
الملف,2
ويجوز,2
يعقوب,2
وبعض,2
والا,2
كيف,2
الشيخ,2
ويقيم,2
وجود,2
وبالقاهره,2
الاتابك,2
ومجاعه,2
بالشام,2
بالاسكندريه,2
مزيد,2
الفراش,2
بديار,2
اليك,2
ومنه,2
تنزيه,2
ظهور,2
الفروج,2
اصاب,2
ودبيس,2
الجلال,2
والعظام,2
القتل,2
خرجت,2
ورد,2
والعسكر,2
بذلك,2
