date,Distinct count,percent,rank
006,48,5.492,0
008,46,5.263,1
010,43,4.92,2
007,41,4.691,3
005,39,4.462,4
003,38,4.348,5
004,35,4.005,6
009,31,3.547,7
002,28,3.204,8
020,17,1.945,9
001,15,1.716,10
011,15,1.716,11
060,13,1.487,12
036,13,1.487,13
050,12,1.373,14
063,11,1.259,15
054,10,1.144,16
051,10,1.144,17
021,10,1.144,18
041,10,1.144,19
040,10,1.144,20
013,8,0.915,21
035,8,0.915,22
061,8,0.915,23
058,8,0.915,24
032,8,0.915,25
070,8,0.915,26
074,8,0.915,27
038,7,0.801,28
066,7,0.801,29
023,7,0.801,30
018,6,0.686,31
080,6,0.686,32
073,6,0.686,33
012,6,0.686,34
037,5,0.572,35
090,5,0.572,36
053,5,0.572,37
100,5,0.572,38
055,5,0.572,39
043,5,0.572,40
093,5,0.572,41
059,5,0.572,42
022,5,0.572,43
091,5,0.572,44
019,5,0.572,45
014,5,0.572,46
094,4,0.458,47
117,4,0.458,48
105,4,0.458,49
106,4,0.458,50
015,4,0.458,51
056,4,0.458,52
028,4,0.458,53
030,4,0.458,54
130,4,0.458,55
052,3,0.343,56
086,3,0.343,57
084,3,0.343,58
068,3,0.343,59
101,3,0.343,60
075,3,0.343,61
076,3,0.343,62
083,3,0.343,63
654,3,0.343,64
031,3,0.343,65
016,3,0.343,66
042,3,0.343,67
120,3,0.343,68
025,3,0.343,69
044,3,0.343,70
092,2,0.229,71
062,2,0.229,72
104,2,0.229,73
107,2,0.229,74
065,2,0.229,75
224,2,0.229,76
123,2,0.229,77
096,2,0.229,78
069,2,0.229,79
081,2,0.229,80
033,2,0.229,81
017,2,0.229,82
082,2,0.229,83
242,2,0.229,84
034,2,0.229,85
791,2,0.229,86
154,2,0.229,87
108,2,0.229,88
454,2,0.229,89
067,2,0.229,90
049,2,0.229,91
047,2,0.229,92
102,2,0.229,93
160,2,0.229,94
103,2,0.229,95
207,1,0.114,96
048,1,0.114,97
144,1,0.114,98
110,1,0.114,99
148,1,0.114,100
114,1,0.114,101
136,1,0.114,102
124,1,0.114,103
170,1,0.114,104
180,1,0.114,105
099,1,0.114,106
157,1,0.114,107
448,1,0.114,108
458,1,0.114,109
127,1,0.114,110
430,1,0.114,111
340,1,0.114,112
335,1,0.114,113
024,1,0.114,114
112,1,0.114,115
057,1,0.114,116
141,1,0.114,117
133,1,0.114,118
206,1,0.114,119
064,1,0.114,120
029,1,0.114,121
500,1,0.114,122
632,1,0.114,123
576,1,0.114,124
027,1,0.114,125
820,1,0.114,126
543,1,0.114,127
089,1,0.114,128
468,1,0.114,129
046,1,0.114,130
087,1,0.114,131
250,1,0.114,132
152,1,0.114,133
303,1,0.114,134
039,1,0.114,135
085,1,0.114,136
147,1,0.114,137
457,1,0.114,138
552,1,0.114,139
717,1,0.114,140
505,1,0.114,141
797,1,0.114,142
202,1,0.114,143
045,1,0.114,144
201,1,0.114,145
416,1,0.114,146
189,1,0.114,147
156,1,0.114,148
169,1,0.114,149
447,1,0.114,150
200,1,0.114,151
095,1,0.114,152
072,1,0.114,153
308,1,0.114,154
403,1,0.114,155
380,1,0.114,156
300,1,0.114,157
839,1,0.114,158
808,1,0.114,159
079,1,0.114,160
320,1,0.114,161
557,1,0.114,162
434,1,0.114,163
390,1,0.114,164
492,1,0.114,165
150,1,0.114,166
533,1,0.114,167
507,1,0.114,168
462,1,0.114,169
460,1,0.114,170
444,1,0.114,171
288,1,0.114,172
145,1,0.114,173
245,1,0.114,174
233,1,0.114,175
220,1,0.114,176
656,1,0.114,177
610,1,0.114,178
834,1,0.114,179
425,1,0.114,180
137,1,0.114,181
684,1,0.114,182
