section,section_title,st_pos,mid_pos,@YY806,@YY010,@YY020,@YY700,@YY790,@YY358,@YY516,@YY725,@YY567,@YY780,start,end
274,### |||| كيفية سماط شهر رمضان بهذه القاعة,273067,273168.5,0,0,0,0,0,0,0,0,0,0,220000,280000
275,### |||| عمل سماط عيد الفطر بهذه القاعة,273270,273645.0,0,0,0,0,0,0,0,0,0,0,220000,280000
276,### ||| الإيوان الكبير,274020,274869.5,0,0,0,0,0,0,1,0,0,0,220000,280000
277,### || المحول:,275719,276000.5,0,0,0,0,0,0,0,0,0,0,220000,280000
256,### ||| السور الأول:,266416,266611.5,0,0,0,0,0,1,0,0,0,0,220000,280000
279,### |||| الدعوة الأولى:,276297,276842.5,0,0,0,0,0,0,0,0,0,0,220000,280000
273,### |||| هيئة جلوس الخليفة بمجلس الملك:,271913,272490.0,0,0,0,0,0,0,0,0,0,0,220000,280000
280,### |||| الدعوة الثانية:,277388,277429.5,0,0,0,0,0,0,0,0,0,0,220000,280000
282,### |||| الدعوة الرابعة:,277763,278028.5,0,0,0,0,0,0,0,0,0,0,220000,280000
283,### |||| الدعوة الخامسة:,278294,278413.0,0,0,0,0,0,0,0,0,0,0,220000,280000
284,### |||| الدعوة السادسة:,278532,278619.0,0,0,0,0,0,0,0,0,0,0,220000,280000
285,### |||| الدعوة السابعة:,278706,279051.5,0,0,0,0,0,0,0,0,0,0,220000,280000
286,### ||| ابتداء هذه الدعوة:,279397,279509.5,0,0,0,0,0,0,0,0,0,0,220000,280000
287,### ||| صفة العهد الذي يؤخذ على المدعو:,279622,279979.0,0,0,0,0,0,0,0,0,0,0,220000,280000
281,### |||| الدعوة الثالثة:,277471,277617.0,0,0,0,0,0,0,0,0,0,0,220000,280000
272,### |||| قاعة الذهب:,271813,271863.0,0,0,0,0,0,0,0,0,0,0,220000,280000
278,### ||| وصف الدعوة وترتيبها:,276282,276289.5,0,0,0,0,0,0,0,0,0,0,220000,280000
271,### ||| القصر الكبير,271077,271445.0,0,0,0,0,0,1,0,0,0,0,220000,280000
259,### ||| السور الثالث:,268228,268445.5,0,0,0,0,0,0,0,0,0,0,220000,280000
260,### || ذكر أبواب القاهرة,268663,268703.5,0,0,0,0,0,0,0,0,0,0,220000,280000
261,### ||| باب زويلة «1»,268744,269031.5,0,0,0,0,0,0,0,0,0,0,220000,280000
262,### ||| باب النصر,269319,269383.0,0,0,0,0,0,0,0,0,0,0,220000,280000
263,### ||| باب الفتوح,269447,269479.0,0,0,0,0,0,0,0,0,0,0,220000,280000
264,### |||| أمير الجيوش:,269511,269906.0,0,0,0,0,0,0,0,0,0,0,220000,280000
