,Text,ch_start_tar,ch_end_tar,source_book_ms
1,0874IbnTaghribirdi.NujumZahira,1835,2252,936
2,0845Maqrizi.ItticazHunafa,3997,4670,366
3,0677IbnMuyassar.AkhbarMisr,3997,4670,63
4,0845Maqrizi.Muqaffa,5993,6577,1387
5,0626YaqutHamawi.MucjamBuldan,9621,10167,2392
6,0845Maqrizi.ItticazHunafa,9621,10167,383
7,0845Maqrizi.ItticazHunafa,10184,10937,384
8,0845Maqrizi.ItticazHunafa,10955,11128,384
