,section,st_pos,mid_pos,Topic_id
0,1,0,104.5,None
1,2,209,1282.5,None
2,3,2356,3613.0,None
3,4,4870,5184.0,None
4,5,5498,5740.0,@PREIS@
5,6,5982,6173.5,@PREIS@
6,7,6365,7146.5,@PREIS@
7,8,7928,8144.0,@PREIS@
8,9,8360,8646.0,@PREIS@
9,10,8932,9111.5,@EARIS@
10,11,9291,9594.0,@IKH@
11,12,9897,11103.0,@IKH@
12,13,12309,14216.5,@FAT@
13,14,16124,19388.0,@FAT@
14,15,22652,24582.0,@FAT@
15,16,26512,26985.0,@FAT@
16,17,27458,27720.5,@FAT@
17,18,27983,28277.5,@FAT@
18,19,28572,30362.5,@AYY@
19,20,32153,36371.5,@AYY@
20,21,40590,41002.0,@MAM@
21,22,41414,41936.0,@MAM@
22,23,42458,53972.5,@MAM@
23,24,65487,70706.5,None
24,25,75926,78182.5,None
25,26,80439,82554.0,None
26,27,84669,85708.5,None
27,28,86748,90019.5,None
