,Text,ch_start_tar,ch_end_tar,source_book_ms
0,0845Maqrizi.ItticazHunafa,16411,17283,330
1,0845Maqrizi.Muqaffa,16411,17283,1307
2,0845Maqrizi.Muqaffa,17958,18858,1308
3,0845Maqrizi.ItticazHunafa,18174,18831,331
4,0845Maqrizi.Mawaciz,18174,18831,1048
5,0845Maqrizi.Mawaciz,18174,18831,252
6,0845Maqrizi.Muqaffa,18174,18831,1308
7,0845Maqrizi.Muqaffa,18875,19504,1308
8,0845Maqrizi.ItticazHunafa,18974,19861,331
9,0845Maqrizi.Muqaffa,19535,19879,1309
10,0845Maqrizi.ItticazHunafa,19898,20442,331
11,0845Maqrizi.Muqaffa,19898,20442,1309
12,0845Maqrizi.ItticazHunafa,20600,21256,359
13,0845Maqrizi.ItticazHunafa,21874,22574,360
14,0845Maqrizi.ItticazHunafa,23926,24307,384
15,0845Maqrizi.ItticazHunafa,24333,25068,385
16,0845Maqrizi.Rasail,49809,50323,124
17,0845Maqrizi.Rasail,50377,50593,124
18,0845Maqrizi.Rasail,51682,52425,111
19,0845Maqrizi.Rasail,52626,53234,111
20,0845Maqrizi.Rasail,53383,53678,111
21,0845Maqrizi.Rasail,53999,54646,112
22,0845Maqrizi.Rasail,54902,55581,113
23,0845Maqrizi.Rasail,56792,57295,113
24,0845Maqrizi.Rasail,57270,57577,114
25,0845Maqrizi.Rasail,57733,58909,114
26,0845Maqrizi.Rasail,58195,58965,114
27,0845Maqrizi.Rasail,59054,60014,115
28,0845Maqrizi.Rasail,60032,60556,115
29,0845Maqrizi.Rasail,60574,61105,116
30,0845Maqrizi.Rasail,60686,60960,116
31,0845Maqrizi.Rasail,61123,62079,116
32,0845Maqrizi.Rasail,62122,62599,116
33,0845Maqrizi.Rasail,62579,63009,117
34,0845Maqrizi.Rasail,63752,64599,117
35,0845Maqrizi.Rasail,65628,66128,118
36,0845Maqrizi.Rasail,66146,66521,118
37,0845Maqrizi.Rasail,69705,70423,124
