,Distinct count
@YY008,1
@YY165,1
@YY187,1
@YY214,1
@YY218,1
@YY463,1
@YY167,1
@YY511,1
@YY225,1
@YY579,1
@YY562,1
@YY196,1
@YY202,1
@YY207,1
@YY209,1
@YY377,1
@YY249,1
@YY571,1
@YY159,1
@YY837,1
@YY674,1
@YY116,1
@YY343,1
@YY545,1
@YY646,1
@YY166,1
@YY583,1
@YY422,1
@YY900,1
@YY497,1
@YY274,1
@YY498,1
@YY102,1
@YY108,1
@YY125,1
@YY135,1
@YY154,1
@YY155,1
@YY158,1
@YY168,1
@YY171,1
@YY173,1
@YY174,1
@YY177,1
@YY179,1
@YY183,1
@YY224,1
@YY226,1
@YY228,1
@YY229,1
@YY234,1
@YY220,1
@YY293,1
@YY321,1
@YY446,1
@YY454,1
@YY464,1
@YY268,1
@YY288,1
@YY306,1
@YY322,1
@YY333,1
@YY341,1
@YY317,1
@YY427,1
@YY495,1
@YY484,1
@YY477,1
@YY479,1
@YY428,1
@YY369,1
@YY352,1
@YY491,1
@YY447,1
@YY425,1
@YY512,1
@YY373,1
@YY297,1
@YY559,1
@YY394,1
@YY886,1
@YY617,1
@YY625,1
@YY582,1
@YY148,1
@YY514,1
@YY552,1
@YY788,1
@YY601,1
@YY598,1
@YY609,1
@YY833,1
@YY272,1
@YY370,1
@YY606,1
@YY371,1
@YY503,1
@YY553,1
@YY429,1
@YY189,1
@YY231,1
@YY246,1
@YY283,1
@YY295,1
@YY326,1
@YY273,1
@YY589,1
@YY842,1
@YY872,1
@YY901,1
@YY904,1
@YY175,1
@YY294,1
@YY257,1
@YY438,1
@YY445,1
@YY804,1
@YY118,1
@YY376,1
@YY359,1
@YY414,1
@YY409,1
@YY462,1
@YY805,1
@YY556,1
@YY843,1
@YY757,1
@YY831,1
@YY830,1
@YY110,1
@YY188,1
@YY184,1
@YY163,1
@YY144,1
@YY285,1
@YY437,1
@YY629,1
@YY654,1
@YY613,1
@YY641,1
@YY618,1
@YY772,1
@YY605,1
@YY763,1
@YY782,1
@YY262,1
@YY632,1
@YY627,1
@YY505,1
@YY642,1
@YY645,1
@YY129,1
@YY433,1
@YY574,1
@YY542,1
@YY443,1
@YY535,1
@YY458,1
@YY453,1
@YY561,1
@YY252,1
@YY432,1
@YY474,1
@YY840,1
@YY424,1
@YY315,1
@YY112,1
@YY227,1
@YY235,1
@YY244,1
@YY325,1
@YY160,1
@YY328,2
@YY356,2
@YY543,2
@YY506,2
@YY156,2
@YY215,2
@YY510,2
@YY222,2
@YY483,2
@YY611,2
@YY248,2
@YY578,2
@YY673,2
@YY212,2
@YY261,2
@YY554,2
@YY011,2
@YY348,2
@YY397,2
@YY190,2
@YY610,2
@YY124,2
@YY349,2
@YY509,2
@YY550,2
@YY614,2
@YY490,2
@YY616,2
@YY339,2
@YY418,2
@YY367,2
@YY243,2
@YY208,2
@YY277,2
@YY351,2
@YY502,2
@YY534,2
@YY103,2
@YY104,2
@YY131,2
@YY136,2
@YY152,2
@YY170,2
@YY172,2
@YY176,2
@YY180,2
@YY181,2
@YY192,2
@YY195,2
@YY198,2
@YY237,2
@YY270,2
@YY309,2
@YY312,2
@YY539,2
@YY296,2
@YY298,2
@YY280,2
@YY319,2
@YY411,2
@YY046,2
@YY546,2
@YY560,2
@YY621,2
@YY485,2
@YY465,2
@YY459,2
@YY787,2
@YY396,2
@YY679,2
@YY372,2
@YY492,2
@YY528,2
@YY310,2
@YY781,2
