date,freq,25-y
301,1,325
300,1,325
311,1,325
332,1,350
334,1,350
356,1,375
360,1,375
367,1,375
372,1,375
376,1,400
379,1,400
415,1,425
416,1,425
435,1,450
440,1,450
425,1,425
455,1,475
65,1,75
485,1,500
511,1,525
513,1,525
525,1,525
530,1,550
541,1,550
547,1,550
550,1,550
55,1,75
532,1,550
558,1,575
67,1,75
568,1,575
569,1,575
560,1,575
570,1,575
571,1,575
573,1,575
74,1,75
366,1,375
544,1,550
82,1,100
499,1,500
584,1,600
492,1,500
86,1,100
587,1,600
87,1,100
588,1,600
589,1,600
567,1,575
591,1,600
540,1,550
537,1,550
593,1,600
594,1,600
595,1,600
505,1,525
596,1,600
507,1,525
598,1,600
599,1,600
601,1,625
604,1,625
605,1,625
611,1,625
520,1,525
616,1,625
619,1,625
621,1,625
622,1,625
548,1,550
627,1,650
631,1,650
632,1,650
634,1,650
37,1,50
400,1,425
654,1,675
667,1,675
679,1,700
692,1,700
695,1,700
696,1,700
1,1,25
711,1,725
714,1,725
716,1,725
653,1,675
722,1,725
727,1,750
728,1,750
733,1,750
735,1,750
14,1,25
736,1,750
738,1,750
740,1,750
743,1,750
747,1,750
753,1,775
755,1,775
44,1,50
45,1,50
756,1,775
62,1,75
871,1,875
63,1,75
776,1,800
170,1,175
781,1,800
697,1,700
785,1,800
787,1,800
792,1,800
99,1,100
794,1,800
75,1,75
795,1,800
796,1,800
789,1,800
809,1,825
811,1,825
11,1,25
813,1,825
817,1,825
15,1,25
819,1,825
822,1,825
772,1,775
826,1,850
19,1,25
829,1,850
830,1,850
831,1,850
832,1,850
833,1,850
835,1,850
836,1,850
837,1,850
838,1,850
842,1,850
23,2,25
24,2,25
29,2,50
38,2,50
48,2,50
549,2,550
51,2,75
432,2,450
581,2,600
72,2,75
73,2,75
574,2,575
575,2,575
78,2,100
81,2,100
582,2,600
583,2,600
83,2,100
585,2,600
88,2,100
7,2,25
92,2,100
93,2,100
620,2,625
597,2,600
603,2,625
565,2,575
606,2,625
607,2,625
612,2,625
614,2,625
669,2,675
617,2,625
626,2,650
628,2,650
642,2,650
651,2,675
662,2,675
77,2,100
672,2,675
674,2,675
676,2,700
76,2,100
677,2,700
678,2,700
681,2,700
682,2,700
718,2,725
686,2,700
688,2,700
689,2,700
90,2,100
698,2,700
699,2,700
633,2,650
706,2,725
707,2,725
712,2,725
717,2,725
719,2,725
721,2,725
723,2,725
724,2,725
729,2,750
663,2,675
730,2,750
731,2,750
734,2,750
2,2,25
739,2,750
43,2,50
673,2,675
749,2,750
49,2,50
752,2,775
754,2,775
762,2,775
763,2,775
764,2,775
768,2,775
771,2,775
773,2,775
775,2,775
777,2,800
779,2,800
788,2,800
797,2,800
798,2,800
799,2,800
802,2,825
804,2,825
805,2,825
814,2,825
13,2,25
823,2,825
816,2,825
818,2,825
821,2,825
827,2,850
828,2,850
758,2,775
34,2,50
839,2,850
656,3,675
22,3,25
47,3,50
27,3,50
28,3,50
54,3,75
56,3,75
580,3,600
71,3,75
70,3,75
576,3,600
577,3,600
578,3,600
79,3,100
85,3,100
586,3,600
91,3,100
94,3,100
97,3,100
602,3,625
608,3,625
609,3,625
610,3,625
732,3,750
615,3,625
16,3,25
53,3,75
624,3,625
635,3,650
639,3,650
641,3,650
644,3,650
648,3,650
668,3,675
69,3,75
649,3,650
650,3,650
652,3,675
657,3,675
5,3,25
666,3,675
670,3,675
683,3,700
684,3,700
685,3,700
701,3,725
705,3,725
713,3,725
720,3,725
35,3,50
737,3,750
742,3,750
745,3,750
746,3,750
748,3,750
751,3,775
760,3,775
761,3,775
765,3,775
766,3,775
769,3,775
770,3,775
782,3,800
783,3,800
784,3,800
786,3,800
820,3,825
808,3,825
815,3,825
824,3,825
825,3,825
834,3,850
659,4,675
26,4,50
64,4,75
3,4,25
98,4,100
21,4,25
32,4,50
600,4,625
660,4,675
671,4,675
613,4,625
30,4,50
625,4,625
630,4,650
636,4,650
637,4,650
658,4,675
661,4,675
664,4,675
687,4,700
690,4,700
6,4,25
702,4,725
703,4,725
704,4,725
709,4,725
12,4,25
715,4,725
726,4,750
25,4,25
500,4,525
744,4,750
750,4,750
757,4,775
759,4,775
59,4,75
774,4,775
790,4,800
791,4,800
801,4,825
806,4,825
807,4,825
33,4,50
840,4,850
20,5,25
52,5,75
590,5,600
50,5,50
592,5,600
8,5,25
40,5,50
618,5,625
623,5,625
640,5,650
638,5,650
39,5,50
645,5,650
646,5,650
655,5,675
665,5,675
675,5,675
693,5,700
700,5,725
725,5,725
741,5,750
60,5,75
778,5,800
780,5,800
810,5,825
812,5,825
36,6,50
96,6,100
647,6,650
18,6,25
629,6,650
803,6,825
680,6,700
767,6,775
691,7,700
708,7,725
710,7,725
800,7,825
694,8,700
17,8,25
4,8,25
100,9,125
10,22,25
000,0,150
000,0,200
000,0,225
000,0,250
000,0,275
000,0,300
