date,freq,25-y
675,2,675
679,2,700
17,2,25
786,2,800
208,2,225
345,2,350
369,2,375
376,2,400
378,2,400
222,2,225
306,2,325
534,2,550
609,2,625
646,2,650
707,2,725
714,2,725
737,2,750
768,2,775
403,2,425
438,2,450
461,2,475
484,2,500
489,2,500
78,2,100
474,2,475
719,2,725
792,2,800
809,2,825
472,2,475
739,2,750
340,2,350
505,2,525
600,2,625
274,2,275
692,2,700
566,3,575
572,3,575
588,3,600
177,3,200
1,3,25
13,3,25
30,3,50
35,3,50
86,3,100
99,3,100
26,3,50
132,3,150
193,3,200
227,3,250
255,3,275
296,3,300
487,3,500
622,3,625
701,3,725
788,3,800
15,3,25
305,3,325
655,3,675
815,3,825
424,3,425
379,3,400
97,3,100
638,3,650
89,3,100
549,3,550
651,3,675
432,3,450
57,3,75
650,3,650
175,3,175
19,3,25
47,3,50
90,3,100
109,3,125
120,3,125
139,3,150
143,3,150
162,3,175
192,3,200
201,3,225
206,3,225
236,3,250
66,3,75
82,3,100
92,3,100
303,3,325
309,3,325
589,3,600
635,3,650
61,3,75
63,3,75
71,3,75
688,3,700
752,3,775
567,3,575
462,3,475
88,3,100
492,3,500
580,3,600
72,3,75
769,3,775
526,3,550
624,3,625
643,3,650
380,3,400
587,3,600
702,3,725
503,3,525
642,3,650
694,3,700
734,3,750
77,3,100
103,3,125
114,3,125
129,3,150
301,3,325
367,3,375
68,3,75
629,3,650
32,3,50
31,3,50
263,3,275
276,3,300
313,3,325
100,3,125
408,3,425
428,3,450
83,3,100
616,3,625
444,3,450
451,3,475
407,3,425
531,3,550
766,3,775
547,3,550
48,3,50
515,3,525
711,3,725
749,3,750
710,3,725
774,3,775
350,3,350
414,3,425
33,3,50
733,3,750
794,3,800
633,3,650
775,3,775
805,3,825
278,3,300
667,3,675
669,3,675
59,4,75
522,4,525
43,4,50
483,4,500
618,4,625
23,4,25
155,4,175
460,4,475
812,4,825
3,4,25
565,4,575
12,4,25
65,4,75
101,4,125
198,4,200
279,4,300
329,4,350
363,4,375
381,4,400
467,4,475
555,4,575
640,4,650
740,4,750
742,4,750
360,4,375
292,4,300
54,4,75
76,4,100
693,4,700
654,4,675
480,4,500
393,4,400
62,4,75
389,4,400
495,4,500
69,4,75
373,4,375
468,4,475
452,4,475
454,4,475
488,4,500
541,4,550
668,4,675
70,4,75
81,4,100
556,4,575
718,4,725
789,4,800
717,4,725
74,4,75
551,4,575
51,4,75
319,4,325
706,4,725
52,4,75
375,4,375
431,4,450
58,4,75
773,4,775
750,4,750
798,4,800
730,4,750
732,5,750
9,5,25
793,5,800
796,5,800
808,5,825
751,5,775
334,5,350
178,5,200
7,5,25
41,5,50
64,5,75
320,5,325
659,5,675
709,5,725
11,5,25
20,5,25
67,5,75
53,5,75
275,5,275
712,5,725
637,5,650
358,5,375
665,5,675
683,5,700
5,5,25
200,5,225
743,5,750
762,5,775
778,5,800
664,5,675
42,5,50
55,5,75
731,5,750
27,5,50
478,5,500
241,5,250
729,6,750
738,6,750
678,6,700
170,6,175
772,6,775
2,6,25
49,6,50
748,6,750
725,6,725
630,6,650
800,6,825
682,6,700
133,6,150
242,6,250
323,6,325
658,6,675
690,6,700
716,6,725
429,6,450
433,6,450
776,6,800
680,6,700
501,6,525
753,6,775
804,6,825
499,7,500
656,7,675
40,7,50
