date,freq,25-y
34,1,50
38,1,50
71,1,75
329,1,350
416,1,425
418,1,425
435,1,450
606,1,625
60,1,75
665,1,675
628,1,650
677,1,700
814,1,825
542,1,550
554,1,575
436,1,450
441,1,450
446,1,450
447,1,450
448,1,450
449,1,450
51,1,75
453,1,475
458,1,475
301,1,325
464,1,475
466,1,475
391,1,400
471,1,475
469,1,475
479,1,500
409,1,425
83,1,100
480,1,500
402,1,425
403,1,425
420,1,425
41,1,50
455,1,475
56,1,75
66,1,75
488,1,500
548,1,550
493,1,500
494,1,500
93,1,100
68,1,75
95,1,100
18,1,25
13,1,25
98,1,100
799,1,800
521,1,525
395,1,400
517,1,525
559,1,575
650,1,650
9,1,25
516,1,525
23,1,25
524,1,525
24,1,25
97,1,100
502,1,525
518,1,525
31,1,50
549,1,550
33,1,50
534,1,550
535,1,550
35,1,50
37,1,50
528,1,550
515,1,525
511,1,525
547,1,550
509,1,525
527,1,550
49,1,50
503,1,525
432,1,450
499,1,500
412,1,425
364,1,375
370,1,375
360,1,375
328,1,350
344,1,350
365,1,375
86,1,100
59,1,75
340,1,350
374,1,375
389,1,400
67,1,75
72,1,75
74,1,75
85,1,100
90,1,100
390,1,400
443,2,450
444,2,450
44,2,50
437,2,450
624,2,625
626,2,650
597,2,600
620,2,625
461,2,475
427,2,450
442,2,450
50,2,50
454,2,475
36,2,50
450,2,450
406,2,425
407,2,425
463,2,475
467,2,475
468,2,475
477,2,500
5,2,25
1,2,25
501,2,525
478,2,500
100,2,125
526,2,550
530,2,550
544,2,550
64,2,75
63,2,75
363,2,375
380,2,400
381,2,400
375,2,375
387,3,400
529,3,550
490,3,500
500,3,525
440,3,450
20,3,25
53,3,75
57,3,75
487,3,500
65,3,75
10,3,25
16,3,25
385,4,400
386,4,400
660,4,675
55,4,75
3,4,25
382,4,400
40,5,50
460,6,475
400,9,425
2,15,25
