,section,st_pos,mid_pos,first-century,pre-fatimid,fatimid,ayyubid,mamluk
658,659,340045,340144.0,0,0,1,0,0
659,660,340243,340397.0,0,0,1,0,0
660,661,340551,340655.5,0,0,1,0,0
661,662,340760,340881.5,1,0,1,0,0
662,663,341003,342023.0,0,0,3,0,0
663,664,343043,343285.5,0,0,3,0,0
664,665,343528,343679.5,0,0,3,0,0
665,666,343831,344000.0,0,0,1,0,0
666,667,344169,344558.0,1,0,3,0,0
667,668,344947,345204.0,0,0,3,0,0
668,669,345461,345635.5,0,0,1,0,0
669,670,345810,345971.5,0,0,1,0,0
670,671,346133,346441.0,0,0,4,0,0
671,672,346749,346936.5,0,0,1,0,0
672,673,347124,347219.0,0,0,1,0,0
673,674,347314,347433.5,0,0,2,0,0
674,675,347553,347820.5,0,0,1,0,0
675,676,348088,348331.0,0,0,1,0,0
676,677,348574,348712.5,0,0,3,0,0
677,678,348851,349039.0,0,0,1,0,0
678,679,349227,349364.0,0,0,1,0,0
679,680,349501,349717.5,0,0,1,0,0
680,681,349934,350055.5,0,0,1,0,0
681,682,350177,350430.0,0,0,3,4,4
682,683,350683,350970.5,0,0,2,0,0
683,684,351258,352263.0,0,0,6,0,0
684,685,353268,353526.0,0,0,2,0,0
685,686,353784,353936.5,0,0,1,0,0
686,687,354089,354262.0,0,0,1,0,0
687,688,354435,354601.0,0,0,1,0,0
688,689,354767,355982.0,3,0,3,0,0
689,690,357197,357364.5,0,0,2,0,0
690,691,357532,357790.0,0,0,1,0,0
691,692,358048,358346.5,0,0,1,0,0
692,693,358645,358978.0,0,0,3,0,0
693,694,359311,359469.0,0,0,2,0,0
694,695,359627,359825.0,0,0,1,0,0
695,696,360023,360323.5,0,0,3,0,0
696,697,360624,363327.0,6,1,8,1,0
697,698,366030,366348.0,0,0,1,0,0
698,699,366666,366801.0,1,0,1,0,0
699,700,366936,367172.0,0,0,2,0,0
700,701,367408,367610.5,0,0,1,0,0
701,702,367813,368220.0,0,0,2,0,0
702,703,368627,368856.5,0,0,2,0,0
703,704,369086,369410.0,0,0,1,1,0
704,705,369734,370190.0,0,0,2,0,0
705,706,370646,370816.0,0,0,1,0,0
706,707,370986,371190.0,0,0,1,0,0
707,708,371394,371534.5,0,0,3,0,0
708,709,371675,371994.0,3,0,3,0,0
709,710,372313,372319.0,0,0,0,0,0
710,711,372325,378952.5,13,0,7,25,1
711,712,385580,385726.5,13,0,0,0,0
712,713,385873,386261.5,0,0,2,0,0
713,714,386650,386886.5,0,0,0,1,0
714,715,387123,387580.0,1,0,1,1,0
715,716,388037,388304.5,0,0,0,1,0
716,717,388572,388768.0,0,0,1,1,0
717,718,388964,389282.0,1,0,1,1,0
718,719,389600,389816.0,0,0,0,1,0
719,720,390032,390221.0,0,0,0,1,0
720,721,390410,390590.0,0,0,0,1,0
721,722,390770,391010.5,0,0,1,1,0
722,723,391251,391481.0,0,0,0,1,0
723,724,391711,392067.5,0,0,0,1,0
724,725,392424,392676.5,0,0,1,1,0
725,726,392929,393075.0,0,0,1,1,0
726,727,393221,393528.0,0,0,0,1,0
727,728,393835,394121.5,0,0,0,1,0
728,729,394408,394672.0,0,0,1,2,0
729,730,394936,395193.0,0,0,1,1,0
730,731,395450,395663.0,0,0,0,1,0
731,732,395876,396017.0,0,0,0,1,0
732,733,396158,396594.5,0,0,0,1,0
733,734,397031,397336.5,0,0,0,1,0
