,cluster,begin,end,date,book,label,colour
32,154618995347,17202,17469,375,0375IkhwanSafa.Rasail,fatimid,green
33,403727078208,2066950,2068279,764,0764Safadi.AcyanCasr,mamluk,blue
34,120259252054,2066930,2067600,764,0764Safadi.WafiBiWafayat,mamluk,blue
35,120259252049,2066675,2067751,764,0764Safadi.WafiBiWafayat,mamluk,blue
36,292057947979,2066675,2066950,764,0764Safadi.AcyanCasr,mamluk,blue
37,8590116191,2067342,2067527,764,0764Safadi.AcyanCasr,mamluk,blue
38,352187368592,1696725,1696853,420,0420Musabbihi.AkhbarMisr,fatimid,green
39,120259193500,43465,43754,654,0654SibtIbnJawzi.MiratZaman,mamluk,blue
40,429496734084,2809861,2810320,821,0821Qalqashandi.SubhAcsha,mamluk,blue
41,429496734083,2809135,2809794,845,0845Maqrizi.Suluk,mamluk,blue
42,395137022111,2984584,2984753,350,0350Balawi.SiratAhmadIbnTulun,pre-fatimid,orange
43,326417548771,2984763,2985596,350,0350Balawi.SiratAhmadIbnTulun,pre-fatimid,orange
44,25769978762,407124,407524,764,0764Safadi.WafiBiWafayat,mamluk,blue
45,188978781470,1339033,1339162,845,0845Maqrizi.Muqaffa,mamluk,blue
46,128849078875,3067398,3067605,845,0845Maqrizi.ItticazHunafa,mamluk,blue
47,128849078874,3067778,3068211,845,0845Maqrizi.ItticazHunafa,mamluk,blue
48,77309502209,3344844,3345124,748,0748Dhahabi.Carsh,mamluk,blue
49,77309502210,3345742,3345912,804,0804IbnMulaqqin.IclamBiFawaid,mamluk,blue
50,63826,2000136,2000735,845,0845Maqrizi.ItticazHunafa,mamluk,blue
51,498216261314,2000863,2001773,845,0845Maqrizi.ItticazHunafa,mamluk,blue
52,103079237955,3164508,3165289,764,0764Safadi.WafiBiWafayat,mamluk,blue
53,103079237954,3164564,3165794,764,0764Safadi.WafiBiWafayat,mamluk,blue
54,283467847091,3165289,3165969,845,0845Maqrizi.Muqaffa,mamluk,blue
55,283467847092,3164736,3165080,764,0764Safadi.AcyanCasr,mamluk,blue
56,231928263733,3843703,3844241,821,0821Qalqashandi.SubhAcsha,mamluk,blue
57,42949736339,3049406,3050911,821,0821Qalqashandi.SubhAcsha,mamluk,blue
58,300647731725,76796,77362,821,0821Qalqashandi.SubhAcsha,mamluk,blue
59,300647731728,77025,77454,257,0257IbnCabdHakam.FutuhMisr,pre-fatimid,orange
60,300647731726,75971,76464,821,0821Qalqashandi.SubhAcsha,mamluk,blue
61,274878090820,1783218,1783367,677,0677IbnMuyassar.AkhbarMisr,mamluk,blue
62,274878090819,1783570,1784232,749,0749IbnFadlAllahCumari.MasalikAbsar,mamluk,blue
63,68719670409,2947272,2947472,772,0772IbnHasanJamalDinIsnawi.MatalicDaqaiq,mamluk,blue
64,180388775082,3449534,3449744,807,0807IbnFurat.TarikhDuwal,mamluk,blue
65,180388775081,3449834,3450240,733,0733Nuwayri.NihayatArab,mamluk,blue
66,180388775079,3449473,3449903,733,0733Nuwayri.NihayatArab,mamluk,blue
67,77309430656,401681,402044,733,0733Nuwayri.NihayatArab,mamluk,blue
68,283467921004,400507,401681,733,0733Nuwayri.NihayatArab,mamluk,blue
69,317827784928,1750012,1750571,821,0821Qalqashandi.SubhAcsha,mamluk,blue
70,343597387341,1750571,1751675,821,0821Qalqashandi.SubhAcsha,mamluk,blue
71,137439036868,1164234,1165436,821,0821Qalqashandi.SubhAcsha,mamluk,blue
