,cluster,begin,end,date,book,label,colour
307,326417623451,640350,640672,257,0257IbnCabdHakam.FutuhMisr,pre-fatimid,orange
308,326417623456,641589,641705,257,0257IbnCabdHakam.FutuhMisr,pre-fatimid,orange
309,326417623448,640350,640919,257,0257IbnCabdHakam.FutuhMisr,pre-fatimid,orange
310,283468021389,1625665,1626599,845,0845Maqrizi.ItticazHunafa,mamluk,blue
311,283468021390,1626912,1627353,845,0845Maqrizi.ItticazHunafa,mamluk,blue
312,60129730540,365444,365652,310,0310Tabari.Tarikh,pre-fatimid,orange
313,60129730538,366377,366683,310,0310Tabari.Tarikh,pre-fatimid,orange
314,60129612848,366714,366955,257,0257IbnCabdHakam.FutuhMisr,pre-fatimid,orange
315,489626400538,2790422,2790586,749,0749IbnFadlAllahCumari.MasalikAbsar,mamluk,blue
316,446676677831,2789186,2789804,749,0749IbnFadlAllahCumari.MasalikAbsar,mamluk,blue
317,395137016691,2790589,2790854,749,0749IbnFadlAllahCumari.MasalikAbsar,mamluk,blue
