,pos,date,label,colour
0,8153,760,mamluk,blue
1,10926,457,fatimid,green
2,11063,57,first-century,saddlebrown
3,11515,466,fatimid,green
4,12726,749,mamluk,blue
5,12771,61,first-century,saddlebrown
6,12804,776,mamluk,blue
7,13104,49,first-century,saddlebrown
8,13153,76,first-century,saddlebrown
9,13224,806,mamluk,blue
10,16609,0,,
11,20381,0,,
12,24914,0,,
13,25034,0,,
14,29841,0,,
15,66790,0,,
16,70653,40,first-century,saddlebrown
17,102448,700,mamluk,blue
18,103519,0,,
19,104359,241,pre-fatimid,orange
20,104790,6,first-century,saddlebrown
21,109203,7,first-century,saddlebrown
22,111936,15,first-century,saddlebrown
23,115802,0,,
24,116429,0,,
25,116576,0,,
26,127701,60,first-century,saddlebrown
27,133228,200,pre-fatimid,orange
28,143949,0,,
29,146975,0,,
30,147318,0,,
31,156298,328,pre-fatimid,orange
32,156408,332,pre-fatimid,orange
33,161476,0,,
34,169273,0,,
35,171076,0,,
36,176400,0,,
37,177289,0,,
38,177516,0,,
39,186355,548,fatimid,green
40,186448,8,first-century,saddlebrown
41,186586,21,first-century,saddlebrown
42,186938,30,first-century,saddlebrown
43,187852,91,first-century,saddlebrown
44,202866,0,,
45,206067,0,,
46,206947,0,,
47,207177,0,,
48,222246,7,first-century,saddlebrown
49,222319,247,pre-fatimid,orange
50,222810,266,pre-fatimid,orange
51,222862,259,pre-fatimid,orange
52,223190,0,,
53,224156,0,,
54,225092,0,,
55,226400,0,,
56,227806,197,pre-fatimid,orange
57,227896,165,pre-fatimid,orange
58,227984,199,pre-fatimid,orange
59,228072,356,pre-fatimid,orange
60,230009,0,,
61,230857,345,pre-fatimid,orange
62,231946,806,mamluk,blue
63,231987,0,,
64,232523,543,fatimid,green
65,233093,544,fatimid,green
66,233162,576,ayyubid,red
67,233456,812,mamluk,blue
68,233618,709,mamluk,blue
69,233752,592,ayyubid,red
70,234043,0,,
71,234801,362,fatimid,green
72,236836,3,first-century,saddlebrown
73,237100,0,,
74,249989,0,,
75,259509,0,,
76,261562,0,,
77,262400,0,,
78,263289,0,,
79,263533,0,,
80,263674,10,first-century,saddlebrown
81,263882,0,,
82,264772,702,mamluk,blue
83,266306,0,,
84,267373,0,,
85,267406,755,mamluk,blue
86,268070,0,,
87,275902,150,pre-fatimid,orange
88,276154,506,fatimid,green
89,276395,725,mamluk,blue
90,283640,345,pre-fatimid,orange
91,287116,4,first-century,saddlebrown
92,287495,0,,
93,290541,0,,
94,291033,0,,
95,304598,20,first-century,saddlebrown
96,306764,107,pre-fatimid,orange
97,306869,121,pre-fatimid,orange
98,307118,132,pre-fatimid,orange
99,307399,150,pre-fatimid,orange
100,307758,156,pre-fatimid,orange
101,307838,216,pre-fatimid,orange
102,308528,109,pre-fatimid,orange
103,309794,0,,
104,310046,178,pre-fatimid,orange
105,310712,186,pre-fatimid,orange
106,311078,187,pre-fatimid,orange
107,311504,191,pre-fatimid,orange
108,311589,193,pre-fatimid,orange
109,312227,214,pre-fatimid,orange
110,312873,215,pre-fatimid,orange
111,312945,216,pre-fatimid,orange
112,313201,217,pre-fatimid,orange
113,316959,0,,
114,317112,0,,
115,318672,0,,
116,318825,363,fatimid,green
117,319913,0,,
118,320179,0,,
119,320513,501,fatimid,green
120,321457,0,,
121,321977,515,fatimid,green
122,322114,510,fatimid,green
123,322181,515,fatimid,green
124,322381,510,fatimid,green
125,327658,10,first-century,saddlebrown
126,331111,4,first-century,saddlebrown
127,332830,0,,
128,334648,567,,
129,335809,577,ayyubid,red
130,335884,0,,
131,336467,585,ayyubid,red
132,336588,585,ayyubid,red
133,339264,588,ayyubid,red
134,339430,587,ayyubid,red
135,339473,86,first-century,saddlebrown
136,339574,0,,
137,339709,87,first-century,saddlebrown
138,339811,0,,
139,339948,587,ayyubid,red
140,341907,715,mamluk,blue
141,344272,4,first-century,saddlebrown
142,345760,0,,
143,350074,716,mamluk,blue
144,350136,15,first-century,saddlebrown
145,351775,3,first-century,saddlebrown
146,353678,784,mamluk,blue
147,353807,806,mamluk,blue
148,357778,0,,
149,358545,0,,
150,358626,15,first-century,saddlebrown
151,358693,20,first-century,saddlebrown
152,358744,20,first-century,saddlebrown
153,364032,15,first-century,saddlebrown
154,364221,24,first-century,saddlebrown
155,365819,218,pre-fatimid,orange
156,366140,0,,
157,366212,0,,
158,366526,219,pre-fatimid,orange
159,369138,784,mamluk,blue
160,375776,82,first-century,saddlebrown
161,382092,87,first-century,saddlebrown
162,382297,222,pre-fatimid,orange
163,382479,80,first-century,saddlebrown
164,384951,107,pre-fatimid,orange
165,387599,0,,
166,387951,347,pre-fatimid,orange
167,388273,358,fatimid,green
168,388995,483,fatimid,green
169,389345,480,fatimid,green
170,389510,478,fatimid,green
171,389660,466,fatimid,green
172,389731,463,fatimid,green
173,389831,0,,
174,389943,483,fatimid,green
175,390177,585,ayyubid,red
176,390493,540,fatimid,green
177,390634,0,,
178,391919,0,,
179,394076,0,,
180,394189,0,,
181,395074,806,mamluk,blue
182,395368,572,ayyubid,red
183,400832,0,,
184,403739,167,pre-fatimid,orange
185,403872,250,pre-fatimid,orange
186,409265,564,fatimid,green
187,409519,590,ayyubid,red
188,410110,592,ayyubid,red
189,411464,650,mamluk,blue
190,412279,662,mamluk,blue
191,412724,63,first-century,saddlebrown
192,412928,662,mamluk,blue
193,413105,665,mamluk,blue
194,413613,666,mamluk,blue
195,414045,669,mamluk,blue
196,414171,70,first-century,saddlebrown
197,414268,74,first-century,saddlebrown
198,415202,778,mamluk,blue
199,415918,60,first-century,saddlebrown
200,416484,801,mamluk,blue
201,417521,0,,
202,417789,0,,
203,417849,0,,
204,417919,0,,
205,418702,587,ayyubid,red
206,419056,816,mamluk,blue
207,419612,806,mamluk,blue
208,422827,567,,
209,423190,587,ayyubid,red
210,423371,88,first-century,saddlebrown
211,423476,0,,
212,426162,87,first-century,saddlebrown
213,426395,444,fatimid,green
214,426617,0,,
215,428082,10,first-century,saddlebrown
216,428136,30,first-century,saddlebrown
217,428324,585,ayyubid,red
218,428406,86,first-century,saddlebrown
219,429661,527,fatimid,green
220,429739,531,fatimid,green
221,430562,20,first-century,saddlebrown
222,451742,0,,
223,452433,0,,
224,452482,0,,
225,454588,511,fatimid,green
226,455285,0,,
227,455355,0,,
228,456131,0,,
229,458590,225,pre-fatimid,orange
230,458675,0,,
231,458769,50,first-century,saddlebrown
232,458926,0,,
233,460295,400,fatimid,green
234,468115,611,ayyubid,red
235,468225,579,ayyubid,red
236,473181,593,ayyubid,red
237,474292,0,,
238,475868,755,mamluk,blue
239,478396,711,mamluk,blue
240,478887,780,mamluk,blue
241,488687,500,fatimid,green
242,488960,0,,
243,492126,0,,
244,495064,515,fatimid,green
245,496930,519,fatimid,green
246,510549,0,,
247,513896,0,,
248,514101,0,,
249,514313,0,,
250,518454,0,,
251,520340,100,,
252,526166,600,ayyubid,red
253,526864,750,mamluk,blue
254,529455,0,,
255,532081,0,,
256,536640,0,,
257,537148,0,,
258,540663,0,,
259,540829,0,,
260,541113,0,,
261,542083,60,first-century,saddlebrown
262,548449,0,,
263,551664,0,,
264,552934,0,,
265,555764,0,,
266,557658,0,,
267,559001,0,,
268,560577,20,first-century,saddlebrown
269,561167,0,,
270,561942,300,pre-fatimid,orange
271,562531,0,,
272,572788,0,,
273,579825,0,,
274,579915,0,,
275,591843,0,,
276,592724,0,,
277,592927,26,first-century,saddlebrown
278,592996,0,,
279,594029,4,first-century,saddlebrown
280,594136,304,pre-fatimid,orange
281,594193,0,,
282,594239,0,,
283,594285,0,,
284,594423,0,,
285,594498,3,first-century,saddlebrown
286,594638,0,,
287,594755,0,,
288,594861,700,mamluk,blue
289,595010,0,,
290,603999,0,,
291,605985,358,fatimid,green
292,606666,70,first-century,saddlebrown
293,608814,0,,
294,610127,332,pre-fatimid,orange
295,611175,777,mamluk,blue
296,612392,248,pre-fatimid,orange
297,614937,344,pre-fatimid,orange
298,616388,578,ayyubid,red
299,616939,673,mamluk,blue
300,617024,702,mamluk,blue
301,617086,703,mamluk,blue
302,618846,18,first-century,saddlebrown
303,629845,530,fatimid,green
304,632446,814,mamluk,blue
305,633705,0,,
306,636204,0,,
307,637007,20,first-century,saddlebrown
308,641113,19,first-century,saddlebrown
309,641221,20,first-century,saddlebrown
310,646026,21,first-century,saddlebrown
311,646176,21,first-century,saddlebrown
312,653728,0,,
313,659074,25,first-century,saddlebrown
314,659170,22,first-century,saddlebrown
315,659396,34,first-century,saddlebrown
316,661348,35,first-century,saddlebrown
317,668470,239,pre-fatimid,orange
318,668581,245,pre-fatimid,orange
319,668660,259,pre-fatimid,orange
320,668792,332,pre-fatimid,orange
321,669311,404,fatimid,green
322,669372,662,mamluk,blue
323,669647,664,mamluk,blue
324,670128,0,,
325,670196,710,mamluk,blue
326,670978,0,,
327,672716,0,,
328,673408,826,mamluk,blue
329,674001,199,pre-fatimid,orange
330,674531,182,pre-fatimid,orange
331,675302,99,first-century,saddlebrown
332,677370,201,pre-fatimid,orange
333,677728,203,pre-fatimid,orange
334,678002,204,pre-fatimid,orange
335,678040,5,first-century,saddlebrown
336,678103,205,pre-fatimid,orange
337,678368,212,pre-fatimid,orange
338,678909,345,pre-fatimid,orange
339,679102,216,pre-fatimid,orange
340,679765,261,pre-fatimid,orange
341,680019,302,pre-fatimid,orange
342,680590,303,pre-fatimid,orange
343,680762,304,pre-fatimid,orange
344,680815,307,pre-fatimid,orange
345,681838,307,pre-fatimid,orange
346,682049,358,fatimid,green
347,682186,612,ayyubid,red
348,682548,554,fatimid,green
349,682643,562,fatimid,green
350,684175,671,mamluk,blue
351,684355,27,first-century,saddlebrown
352,692992,0,,
353,693349,0,,
354,693898,101,pre-fatimid,orange
355,694768,360,fatimid,green
356,695393,194,pre-fatimid,orange
357,696026,196,pre-fatimid,orange
358,696465,197,pre-fatimid,orange
359,696773,98,first-century,saddlebrown
360,697163,99,first-century,saddlebrown
361,698302,200,pre-fatimid,orange
362,699217,201,pre-fatimid,orange
363,699595,202,pre-fatimid,orange
364,700370,203,pre-fatimid,orange
365,700563,205,pre-fatimid,orange
366,700946,206,pre-fatimid,orange
367,701291,207,pre-fatimid,orange
368,701905,209,pre-fatimid,orange
369,702459,210,pre-fatimid,orange
370,702888,11,first-century,saddlebrown
371,703058,377,fatimid,green
372,703526,332,pre-fatimid,orange
373,704536,15,first-century,saddlebrown
374,704710,219,pre-fatimid,orange
375,704858,239,pre-fatimid,orange
376,705022,249,pre-fatimid,orange
377,705164,348,pre-fatimid,orange
378,705244,378,fatimid,green
379,705876,379,fatimid,green
380,706248,397,fatimid,green
381,706548,571,ayyubid,red
382,706681,73,first-century,saddlebrown
383,707230,576,ayyubid,red
384,707577,577,ayyubid,red
385,707802,588,ayyubid,red
386,707962,624,ayyubid,red
387,708357,197,pre-fatimid,orange
388,708501,206,pre-fatimid,orange
389,708717,162,pre-fatimid,orange
390,708949,159,pre-fatimid,orange
391,709001,384,fatimid,green
392,709192,402,fatimid,green
393,709249,0,,
394,709709,415,fatimid,green
395,710277,624,ayyubid,red
396,711133,190,pre-fatimid,orange
397,711265,837,mamluk,blue
398,711751,610,ayyubid,red
399,714209,790,mamluk,blue
400,717441,304,pre-fatimid,orange
401,720061,806,mamluk,blue
402,721106,408,fatimid,green
403,721650,644,ayyubid,red
404,725674,9,first-century,saddlebrown
405,725737,415,fatimid,green
406,726005,566,fatimid,green
407,726511,77,first-century,saddlebrown
408,726760,0,,
409,729055,666,mamluk,blue
410,729127,821,mamluk,blue
411,730564,0,,
412,735086,825,mamluk,blue
413,736956,0,,
414,737656,0,,
415,742717,0,,
416,742852,3,first-century,saddlebrown
417,743461,0,,
418,743528,776,mamluk,blue
419,743641,806,mamluk,blue
420,748253,0,,
421,753940,0,,
422,753984,0,,
423,757848,0,,
424,762807,0,,
425,765796,216,pre-fatimid,orange
426,769987,241,pre-fatimid,orange
427,770437,255,pre-fatimid,orange
428,772858,332,pre-fatimid,orange
429,776814,344,pre-fatimid,orange
430,776985,45,first-century,saddlebrown
431,777186,45,first-century,saddlebrown
432,777284,585,ayyubid,red
433,777431,0,,
434,778488,790,mamluk,blue
435,778595,806,mamluk,blue
436,778652,0,,
437,778760,815,mamluk,blue
438,781140,60,first-century,saddlebrown
439,782802,20,first-century,saddlebrown
440,783136,31,first-century,saddlebrown
441,784436,300,pre-fatimid,orange
442,785215,31,first-century,saddlebrown
443,786907,211,pre-fatimid,orange
444,790570,674,mamluk,blue
445,791852,3,first-century,saddlebrown
446,792274,0,,
447,792726,0,,
448,792983,0,,
449,793617,0,,
450,793914,666,mamluk,blue
451,794037,760,mamluk,blue
452,798109,738,mamluk,blue
453,798620,0,,
454,799528,0,,
455,802201,191,pre-fatimid,orange
456,802398,197,pre-fatimid,orange
457,802625,236,pre-fatimid,orange
458,803783,529,fatimid,green
459,804022,531,fatimid,green
460,805488,21,first-century,saddlebrown
461,805531,22,first-century,saddlebrown
462,806841,21,first-century,saddlebrown
463,806884,22,first-century,saddlebrown
464,807553,350,pre-fatimid,orange
465,808363,724,mamluk,blue
466,810422,415,fatimid,green
467,810976,0,,
468,812661,116,pre-fatimid,orange
469,812701,124,pre-fatimid,orange
470,815175,38,first-century,saddlebrown
471,815232,58,first-century,saddlebrown
472,815783,40,first-century,saddlebrown
473,815861,58,first-century,saddlebrown
474,817452,70,first-century,saddlebrown
475,818748,65,first-century,saddlebrown
476,819800,65,first-century,saddlebrown
477,819963,67,first-century,saddlebrown
478,820160,71,first-century,saddlebrown
479,820285,72,first-century,saddlebrown
480,820514,74,first-century,saddlebrown
481,820565,75,first-century,saddlebrown
482,820640,77,first-century,saddlebrown
483,821468,86,first-century,saddlebrown
484,821559,86,first-century,saddlebrown
485,821918,10,first-century,saddlebrown
486,825027,415,fatimid,green
487,825183,577,ayyubid,red
488,826455,239,pre-fatimid,orange
489,826720,343,pre-fatimid,orange
490,826835,349,pre-fatimid,orange
491,828181,509,fatimid,green
492,830519,545,fatimid,green
493,830688,0,,
494,830961,205,pre-fatimid,orange
495,832323,387,fatimid,green
496,833248,0,,
497,833435,652,mamluk,blue
498,836612,90,first-century,saddlebrown
499,836899,121,pre-fatimid,orange
500,837193,238,pre-fatimid,orange
501,837898,39,first-century,saddlebrown
502,837965,7,first-century,saddlebrown
503,838174,357,,
504,838280,408,fatimid,green
505,838676,550,fatimid,green
506,839164,565,fatimid,green
507,840683,577,ayyubid,red
508,840986,588,ayyubid,red
509,841104,615,ayyubid,red
510,841194,614,ayyubid,red
511,842449,615,ayyubid,red
512,849382,16,first-century,saddlebrown
513,852538,18,first-century,saddlebrown
514,854821,18,first-century,saddlebrown
515,856314,10,first-century,saddlebrown
516,856372,646,ayyubid,red
517,856878,47,first-century,saddlebrown
518,868823,648,,
519,870353,0,,
520,874964,648,,
521,875323,659,mamluk,blue
522,878121,500,fatimid,green
523,879907,0,,
524,882582,695,mamluk,blue
525,883464,21,first-century,saddlebrown
526,883927,191,pre-fatimid,orange
527,884656,365,fatimid,green
528,884709,386,fatimid,green
529,885105,0,,
530,885208,728,mamluk,blue
531,886008,166,pre-fatimid,orange
532,887713,490,fatimid,green
533,887800,509,fatimid,green
534,888050,583,ayyubid,red
535,888367,644,ayyubid,red
536,888762,659,mamluk,blue
537,889476,803,mamluk,blue
538,889687,818,mamluk,blue
539,892381,0,,
540,893275,41,first-century,saddlebrown
541,897624,656,mamluk,blue
542,899107,258,pre-fatimid,orange
543,899314,0,,
544,903248,616,ayyubid,red
545,906101,666,mamluk,blue
546,911818,760,mamluk,blue
547,911862,572,ayyubid,red
548,921001,332,pre-fatimid,orange
549,921498,0,,
550,921772,0,,
551,922093,0,,
552,922180,339,pre-fatimid,orange
553,923333,400,fatimid,green
554,923443,662,mamluk,blue
555,924303,800,mamluk,blue
556,924382,806,mamluk,blue
557,924461,776,mamluk,blue
558,924689,0,,
559,925164,700,mamluk,blue
560,929618,734,mamluk,blue
561,930151,810,mamluk,blue
562,932255,0,,
563,934167,0,,
564,935935,578,ayyubid,red
565,936045,780,mamluk,blue
566,939261,0,,
567,952893,0,,
568,954929,0,,
569,956686,0,,
570,960596,100,,
571,965382,0,,
572,965423,0,,
573,965540,0,,
574,965586,100,,
575,965827,0,,
576,967598,422,fatimid,green
577,969919,0,,
578,974813,0,,
