,pos,date,label,colour
0,8145,760,mamluk,blue
1,10914,457,fatimid,green
2,11052,57,first-century,saddlebrown
3,11059,64,first-century,saddlebrown
4,11511,466,fatimid,green
5,12722,749,mamluk,blue
6,12768,61,first-century,saddlebrown
7,12775,0,,
8,12808,776,mamluk,blue
9,13109,49,first-century,saddlebrown
10,13116,61,first-century,saddlebrown
11,13165,76,first-century,saddlebrown
12,13236,806,mamluk,blue
13,16617,0,,
14,20389,0,,
15,24922,0,,
16,25042,0,,
17,29845,0,,
18,66774,0,,
19,70638,40,first-century,saddlebrown
20,70645,0,,
21,102432,700,mamluk,blue
22,103503,0,,
23,104343,241,pre-fatimid,orange
24,104774,6,first-century,saddlebrown
25,109187,7,first-century,saddlebrown
26,111920,15,first-century,saddlebrown
27,115782,0,,
28,116409,0,,
29,116556,0,,
30,127682,60,first-century,saddlebrown
31,127689,0,,
32,133217,200,pre-fatimid,orange
33,133224,0,,
34,143945,0,,
35,146971,0,,
36,147314,0,,
37,156290,328,pre-fatimid,orange
38,156400,332,pre-fatimid,orange
39,161460,0,,
40,169257,0,,
41,171060,0,,
42,176384,0,,
43,177273,0,,
44,177500,0,,
45,186339,548,fatimid,green
46,186432,8,first-century,saddlebrown
47,186570,21,first-century,saddlebrown
48,186922,30,first-century,saddlebrown
49,187836,91,first-century,saddlebrown
50,202843,0,,
51,202850,0,,
52,206051,0,,
53,206931,0,,
54,207161,0,,
55,222222,7,first-century,saddlebrown
56,222295,247,pre-fatimid,orange
57,222786,266,pre-fatimid,orange
58,222838,259,pre-fatimid,orange
59,223166,0,,
60,224132,0,,
61,225067,0,,
62,226375,0,,
63,227781,197,pre-fatimid,orange
64,227871,165,pre-fatimid,orange
65,227959,199,pre-fatimid,orange
66,228047,356,pre-fatimid,orange
67,229984,0,,
68,230832,345,pre-fatimid,orange
69,231921,806,mamluk,blue
70,231962,0,,
71,232498,543,fatimid,green
72,233068,544,fatimid,green
73,233137,576,ayyubid,red
74,233431,812,mamluk,blue
75,233593,709,mamluk,blue
76,233727,592,ayyubid,red
77,234018,0,,
78,234776,362,fatimid,green
79,236811,3,first-century,saddlebrown
80,237075,0,,
81,249956,0,,
82,259468,0,,
83,261521,0,,
84,262359,0,,
85,263248,0,,
86,263492,0,,
87,263633,10,first-century,saddlebrown
88,263837,0,,
89,264727,702,mamluk,blue
90,266262,0,,
91,266269,8,first-century,saddlebrown
92,267337,0,,
93,267344,0,,
94,267377,755,mamluk,blue
95,268041,0,,
96,275849,150,pre-fatimid,orange
97,276097,506,fatimid,green
98,276334,725,mamluk,blue
99,283571,345,pre-fatimid,orange
100,287043,4,first-century,saddlebrown
101,287422,0,,
102,290464,0,,
103,290956,0,,
104,304517,20,first-century,saddlebrown
105,306679,107,pre-fatimid,orange
106,306784,121,pre-fatimid,orange
107,307033,132,pre-fatimid,orange
108,307314,150,pre-fatimid,orange
109,307673,156,pre-fatimid,orange
110,307753,216,pre-fatimid,orange
111,308439,109,pre-fatimid,orange
112,309705,0,,
113,309957,178,pre-fatimid,orange
114,310623,186,pre-fatimid,orange
115,310989,187,pre-fatimid,orange
116,311415,191,pre-fatimid,orange
117,311500,193,pre-fatimid,orange
118,312138,214,pre-fatimid,orange
119,312784,215,pre-fatimid,orange
120,312856,216,pre-fatimid,orange
121,313112,217,pre-fatimid,orange
122,316866,0,,
123,317020,0,,
124,317027,0,,
125,318587,0,,
126,318740,363,fatimid,green
127,319828,0,,
128,320094,0,,
129,320428,501,fatimid,green
130,321372,0,,
131,321892,515,fatimid,green
132,322029,510,fatimid,green
133,322096,515,fatimid,green
134,322296,510,fatimid,green
135,327573,10,first-century,saddlebrown
136,331026,4,first-century,saddlebrown
137,332745,0,,
138,334563,567,,
139,335724,577,ayyubid,red
140,335799,0,,
141,336382,585,ayyubid,red
142,336503,585,ayyubid,red
143,339179,588,ayyubid,red
144,339346,587,ayyubid,red
145,339353,0,,
146,339396,86,first-century,saddlebrown
147,339497,0,,
148,339632,87,first-century,saddlebrown
149,339734,0,,
150,339871,587,ayyubid,red
151,341826,715,mamluk,blue
152,344191,4,first-century,saddlebrown
153,345679,0,,
154,349993,716,mamluk,blue
155,350055,15,first-century,saddlebrown
156,351694,3,first-century,saddlebrown
157,353597,784,mamluk,blue
158,353726,806,mamluk,blue
159,357689,0,,
160,358456,0,,
161,358537,15,first-century,saddlebrown
162,358604,20,first-century,saddlebrown
163,358655,20,first-century,saddlebrown
164,363943,15,first-century,saddlebrown
165,364132,24,first-century,saddlebrown
166,365730,218,pre-fatimid,orange
167,366051,0,,
168,366124,0,,
169,366131,0,,
170,366445,219,pre-fatimid,orange
171,369057,784,mamluk,blue
172,375691,82,first-century,saddlebrown
173,382003,87,first-century,saddlebrown
174,382208,222,pre-fatimid,orange
175,382390,80,first-century,saddlebrown
176,384858,107,pre-fatimid,orange
177,387506,0,,
178,387858,347,pre-fatimid,orange
179,388180,358,fatimid,green
180,388902,483,fatimid,green
181,389252,480,fatimid,green
182,389417,478,fatimid,green
183,389567,466,fatimid,green
184,389638,463,fatimid,green
185,389738,0,,
186,389850,483,fatimid,green
187,390084,585,ayyubid,red
188,390400,540,fatimid,green
189,390541,0,,
